Slice;MSE;MAE;PSNR;SSIM;Weight
0;1872,117214;34,611520;15,407473;0,410922;1493
1;1596,381135;29,973895;16,099438;0,400115;2873
2;1233,648870;25,639397;17,218888;0,488671;4645
3;631,415556;16,806074;20,127651;0,611090;6750
4;323,107799;11,286195;23,037329;0,705217;8924
5;217,369529;9,145990;24,758817;0,736189;11309
6;207,064576;8,745671;24,969746;0,741908;14092
7;187,620839;8,236871;25,397993;0,757768;16642
8;192,945321;8,262824;25,276461;0,751344;19203
9;192,437326;8,180794;25,287910;0,737389;22274
10;168,199382;7,553304;25,872560;0,738406;24576
11;145,945239;6,756855;26,488904;0,764858;26515
12;141,146559;6,448789;26,634101;0,770873;28207
13;135,945805;6,222145;26,797146;0,783980;28711
14;129,540760;6,067263;27,006739;0,797603;28619
15;124,596121;5,872807;27,175758;0,807514;28563
16;123,135207;5,790566;27,226981;0,817183;28534
17;123,215729;5,845728;27,224142;0,818858;28508
18;127,369714;5,955501;27,080142;0,818394;28495
19;132,324568;6,066022;26,914399;0,817517;28521
20;129,334245;6,009883;27,013668;0,821373;28533
21;133,793055;6,026463;26,866468;0,828182;28568
22;137,780531;6,083906;26,738925;0,828745;28651
23;147,625981;6,210299;26,439176;0,825722;28683
24;169,267937;6,457036;25,845057;0,816833;28768
25;198,382913;6,837941;25,155761;0,802599;28829
26;201,172058;7,111857;25,095127;0,795344;28903
27;224,340289;7,373987;24,621731;0,799725;28993
28;255,860931;7,588082;24,050764;0,796609;29115
29;259,754135;7,385817;23,985179;0,795808;29203
30;229,884486;7,172095;24,515707;0,797623;29321
31;242,165625;7,418699;24,289679;0,792163;29446
32;258,857104;7,522824;24,000203;0,790945;29574
33;240,022517;7,416209;24,328284;0,793240;29711
34;239,969661;7,560945;24,329240;0,790035;29830
35;184,186074;6,816159;25,478236;0,811779;30015
36;149,164829;6,108429;26,394139;0,835285;30195
37;125,382396;5,667226;27,148438;0,847227;30390
38;116,968627;5,421127;27,450110;0,852158;30568
39;100,764591;5,129007;28,097724;0,862783;30789
40;85,488068;4,775477;28,811749;0,871348;31008
41;78,099879;4,604767;29,204300;0,874177;31298
42;73,650375;4,469343;29,459054;0,879011;31591
43;67,672047;4,225894;29,826710;0,882265;32648
44;65,537277;4,072844;29,965920;0,882889;33318
