Slice;MSE;MAE;PSNR;SSIM;Weight
0;283,463845;9,393802;23,605827;0,707204;3969
1;245,137974;8,334744;24,236698;0,788164;20801
2;177,570572;7,075170;25,637094;0,803444;26859
3;198,423598;7,429499;25,154870;0,797824;26943
4;201,890382;7,616965;25,079647;0,795766;27021
5;191,811479;7,470786;25,302058;0,801701;27127
6;187,525186;7,234339;25,400208;0,812328;27217
7;163,246635;6,851609;26,002361;0,826850;27340
8;147,747933;6,607730;26,435589;0,834897;27453
9;142,103167;6,491747;26,604766;0,837151;27567
10;132,685713;6,315263;26,902562;0,845364;27669
11;123,331488;6,119377;27,220064;0,849990;27811
12;116,048815;5,993160;27,484397;0,849872;27922
13;113,341853;5,959916;27,586901;0,851824;28091
14;106,760444;5,758778;27,846700;0,856987;28223
15;105,594345;5,778945;27,894397;0,857366;28364
16;99,894521;5,727435;28,135387;0,860598;28584
17;100,082785;5,749139;28,127210;0,861716;28749
18;113,475776;6,183359;27,581772;0,853394;28856
19;114,127049;6,266973;27,556918;0,855360;28973
20;123,262394;6,621124;27,222498;0,848282;29086
21;125,295632;6,635424;27,151444;0,842017;29212
22;122,634510;6,580447;27,244677;0,842952;29336
23;135,371019;6,923680;26,815547;0,832575;29481
24;126,009336;6,616561;27,126776;0,838009;29564
25;126,002732;6,668949;27,127004;0,837800;29645
26;134,719358;6,923737;26,836504;0,836156;29739
27;121,415562;6,584371;27,288060;0,847346;29803
28;133,646537;6,994540;26,871227;0,834247;29856
29;123,732147;6,747232;27,205978;0,844268;29897
30;120,895942;6,652783;27,306686;0,840683;29964
31;126,213564;6,774604;27,119743;0,836421;30005
32;111,468170;6,307324;27,659295;0,854812;30066
33;122,235288;6,593078;27,258838;0,844199;30163
34;114,555909;6,380191;27,540629;0,849470;30219
35;113,789140;6,306723;27,569795;0,852462;30314
36;124,816366;6,643294;27,168088;0,842035;30392
37;114,584471;6,396290;27,539546;0,849556;30460
38;122,296237;6,698256;27,256673;0,838290;30506
39;116,593531;6,559716;27,464059;0,846923;30578
40;122,088561;6,710187;27,264054;0,841075;30668
