Slice;MSE;MAE;PSNR;SSIM;Weight
0;2484,589041;42,866058;14,178258;0,173614;657
1;380,729481;13,344058;22,324639;0,711694;1523
2;465,611511;14,439877;21,450567;0,679337;2919
3;448,630824;12,697871;21,611913;0,719165;4743
4;264,839823;8,825319;23,900971;0,781179;6343
5;198,051743;7,178021;25,163017;0,797871;8117
6;141,246567;6,101133;26,631025;0,796145;9977
7;96,414573;5,468611;28,289377;0,800710;11899
8;91,496896;5,320721;28,516740;0,819835;13532
9;82,711227;5,035551;28,955159;0,832607;15133
10;80,540022;5,055695;29,070686;0,843962;16716
11;78,698965;5,214649;29,171113;0,849558;18267
12;82,711662;5,484442;28,955136;0,850185;19765
13;86,279768;5,648874;28,771714;0,860147;21189
14;87,575843;5,895378;28,706960;0,864615;22395
15;92,308265;5,950720;28,478398;0,862290;23762
16;91,159818;5,866324;28,532769;0,870234;25285
17;77,775336;5,609157;29,222385;0,875384;26297
18;85,723572;5,830617;28,799801;0,852801;26998
19;83,510026;5,893048;28,913417;0,848853;27330
20;87,593648;6,124137;28,706077;0,853905;27518
21;96,533934;6,401093;28,284004;0,831526;27642
22;86,908413;6,200857;28,740185;0,831276;27766
23;82,574581;6,043563;28,962340;0,841570;27822
24;97,315429;6,471799;28,248987;0,816675;27889
25;85,449805;6,104646;28,813693;0,829285;27961
26;77,345683;5,722526;29,246443;0,844963;28017
27;78,738059;5,787033;29,168957;0,832806;28117
28;67,503052;5,456281;29,837570;0,844918;28180
29;65,537055;5,372634;29,965934;0,853910;28269
30;67,372774;5,447258;29,845959;0,843408;28355
31;63,707207;5,307052;30,088918;0,847588;28474
32;68,235193;5,469861;29,790719;0,852325;28568
33;68,811216;5,530617;29,754211;0,841428;28710
34;68,787490;5,591484;29,755709;0,844420;28841
35;74,759578;5,813368;29,394135;0,848830;28816
36;78,269280;5,977311;29,194890;0,833254;28825
37;74,314637;5,796779;29,420060;0,838757;28811
38;81,069990;5,978369;29,042202;0,848152;28847
39;81,503015;5,986416;29,019067;0,839998;28858
40;80,544555;5,918331;29,070442;0,844049;28897
41;84,290489;6,013672;28,873018;0,853090;28965
42;81,404155;5,887515;29,024338;0,831638;29026
43;79,885076;5,827235;29,106147;0,836943;29080
44;85,700833;5,864214;28,800953;0,852875;29171
45;84,512384;5,913498;28,861600;0,837772;29271
46;77,361086;5,662634;29,245578;0,846652;29342
47;77,683191;5,488701;29,227533;0,861205;29472
48;74,443313;5,397266;29,412547;0,853241;29557
49;69,239045;5,111999;29,727293;0,860998;29643
50;70,335554;5,003163;29,659054;0,869234;29721
51;68,201315;4,922372;29,792876;0,862173;29809
52;60,741065;4,534184;30,295980;0,871853;29853
