Slice;MSE;MAE;PSNR;SSIM;Weight
0;791272,662420;811,246218;13,165839;0,086202;157
1;210335,935419;336,251009;18,919966;0,027302;991
2;166446,671937;276,993021;19,936349;0,128418;2024
3;143356,394366;241,567201;20,584930;0,177993;3550
4;88029,839268;177,049657;22,702802;0,340893;5139
5;76132,246144;161,740724;23,333414;0,451298;6549
6;62891,145523;152,445460;24,163205;0,502004;7930
7;51187,531676;141,000317;25,057458;0,521860;9455
8;51212,450909;142,746773;25,055345;0,527194;11000
9;43689,078144;130,356845;25,745372;0,558048;12221
10;37302,207029;118,556622;26,431755;0,592485;13515
11;33641,958766;107,777692;26,880287;0,619131;14842
12;36828,198627;107,734246;26,487296;0,633629;16171
13;49520,230295;121,293694;25,201274;0,616856;17508
14;58134,593506;125,965713;24,504754;0,617889;18571
15;63998,995923;129,547518;24,087369;0,618078;19377
16;64485,025580;131,282483;24,054512;0,627545;20172
17;61153,857619;125,526034;24,284862;0,641990;21309
18;56605,926777;118,301036;24,620482;0,655216;22288
19;52011,908201;111,159998;24,988072;0,669696;23094
20;48297,628247;105,592350;25,309843;0,680348;23790
21;43755,492422;101,659581;25,738775;0,682359;24414
22;40076,464164;99,578957;26,120206;0,674192;24431
23;38243,770859;98,216638;26,323493;0,666707;24474
24;37379,652813;96,697732;26,422748;0,663749;24494
25;37905,778069;97,017689;26,362046;0,664038;24422
26;38499,932770;96,673772;26,294501;0,674284;24394
27;37970,500739;94,779942;26,354637;0,683349;24364
28;37183,156339;93,840335;26,445638;0,692663;24351
29;36671,388401;93,267892;26,505827;0,702969;24382
30;36398,193400;92,979448;26,538302;0,707530;24426
31;35021,169628;91,151983;26,705794;0,708315;24483
32;32510,930028;87,787637;27,028806;0,714484;24524
33;30700,140622;85,133093;27,277697;0,721975;24605
34;29510,736842;84,204519;27,449300;0,724788;24700
35;28211,585751;83,138197;27,644825;0,730248;24787
36;26407,425890;80,900482;27,931840;0,735437;24929
37;25271,960773;79,723824;28,122711;0,741567;25085
38;24043,152400;78,247615;28,339186;0,748951;25210
39;22964,740647;76,937465;28,538485;0,755038;25340
40;22703,623005;76,908162;28,588149;0,756127;25507
41;23281,801835;78,418407;28,478935;0,749237;25716
42;24322,341343;80,606153;28,289047;0,744099;25886
43;25501,400100;82,978682;28,083461;0,739874;26081
44;26352,221417;85,044489;27,940928;0,737233;26231
45;26784,766721;86,185671;27,870222;0,740113;26419
46;26823,143738;87,088990;27,864004;0,737629;26590
47;26803,734150;87,825793;27,867147;0,736942;26767
48;26957,073301;89,186251;27,842373;0,729498;26930
49;27241,493727;90,713321;27,796791;0,723640;27100
50;28284,241363;92,711412;27,633655;0,715938;27295
51;31299,879140;96,594426;27,193674;0,707158;27503
52;37429,839328;105,436880;26,416921;0,693927;27721
53;50243,260446;121,848177;25,138322;0,670845;27952
54;60771,728585;133,134581;24,312085;0,660736;28193
55;74678,191424;147,679992;23,417163;0,640709;28429
56;75249,839772;146,591310;23,384045;0,634883;28447
57;81620,813960;154,023448;23,031091;0,610684;28424
58;87542,930090;161,879196;22,726890;0,588469;28451
59;84875,498404;157,431583;22,861277;0,601902;28509
60;94653,635595;159,900353;22,387728;0,615175;28611
61;101000,632672;160,476177;22,105860;0,620955;28691
62;102605,257334;161,119873;22,037404;0,622573;28772
63;102693,873390;163,134766;22,033655;0,618936;28876
64;106214,729917;168,574629;21,887253;0,605830;28943
65;102269,908137;167,485326;22,051622;0,602576;29065
66;116245,256476;165,416229;21,495348;0,611633;29145
67;116857,067360;162,469329;21,472551;0,621912;29246
68;94792,877693;145,345304;22,381343;0,640807;29377
69;59804,238934;118,803051;24,381781;0,670495;29481
70;29979,986624;94,736599;27,380786;0,693765;29605
71;20153,174739;83,444535;29,105666;0,726157;29753
72;19141,171479;81,194098;29,329415;0,734154;29887
73;20089,678433;82,128164;29,119371;0,734822;30028
74;21323,543699;83,867924;28,860507;0,741509;30138
75;22007,129865;86,086263;28,723466;0,743624;30239
76;23327,989451;90,546070;28,470328;0,739993;30334
77;21531,692976;89,212132;28,818319;0,755525;30395
78;21479,120795;88,687215;28,828935;0,773826;30473
79;20228,792610;87,703156;29,089401;0,783884;30527
80;18007,212240;84,231896;29,594635;0,789502;30588
81;18760,945338;85,809573;29,416553;0,792087;30643
82;19463,676747;87,306659;29,256852;0,801266;30688
83;19560,722732;88,029748;29,235251;0,805055;30750
84;19257,450341;86,936034;29,303113;0,813227;30790
85;19450,561195;87,074160;29,259779;0,811364;30795
86;19639,907116;87,122722;29,217706;0,814599;30834
87;19634,505024;87,226532;29,218901;0,815275;30850
88;19182,926147;87,131001;29,319952;0,816849;30872
89;20031,024340;88,886409;29,132069;0,815591;30896
90;21236,259559;90,641093;28,878320;0,813057;30914
91;21399,850842;90,858896;28,844993;0,815398;30947
92;22512,789460;93,643002;28,624807;0,814821;30968
93;23508,482231;95,861948;28,436854;0,815681;30981
94;23921,691057;96,573042;28,361181;0,815505;30996
95;24969,585958;99,959490;28,174987;0,812356;30992
96;26901,994192;104,167820;27,851255;0,806741;30990
97;27657,694403;104,765606;27,730941;0,801997;30982
98;27911,604779;106,802131;27,691253;0,794311;30970
99;26992,884869;105,506638;27,836607;0,796841;30956
100;26556,576191;105,089630;27,907380;0,800393;30955
101;26254,256914;103,246543;27,957103;0,805532;30952
102;26366,250598;102,065218;27,938617;0,810287;30950
103;26273,966654;101,175674;27,953844;0,812352;30948
104;24948,642259;97,471694;28,178631;0,815365;30947
105;23225,064926;93,170305;28,489531;0,823583;30943
106;21194,646667;89,074166;28,886839;0,829538;30934
107;19600,905075;85,420947;29,226339;0,830179;30919
108;18075,161420;80,935557;29,578278;0,838193;30938
109;17109,730502;77,786321;29,816669;0,845122;30939
110;16298,490854;75,621178;30,027627;0,850667;30942
111;15919,308035;74,304076;30,129859;0,854486;30938
112;15519,246913;72,846197;30,240394;0,855223;30934
113;15259,679142;72,534435;30,313647;0,852288;30942
114;15475,348116;72,892584;30,252696;0,848484;30938
115;15393,662700;72,640762;30,275681;0,846428;30928
116;14944,809079;71,429888;30,404197;0,848765;30929
117;14218,822616;70,006316;30,620464;0,848802;30916
118;13374,985015;67,527114;30,886167;0,859535;30897
