Slice;MSE;MAE;PSNR;SSIM;Weight
0;85320,331938;176,730206;22,838575;0,461318;5254
1;38309,891235;108,509252;26,315991;0,614502;18995
2;40515,962606;111,095602;26,072839;0,626211;20431
3;42493,464917;114,637766;25,865879;0,624926;20651
4;42280,954580;113,549341;25,887653;0,630774;20784
5;40514,127110;113,515686;26,073035;0,627945;20911
6;41730,866393;114,930931;25,944526;0,631570;21189
7;43901,271051;116,389001;25,724330;0,632604;21365
8;43028,038148;115,176855;25,811585;0,642484;21495
9;42369,611585;112,495780;25,878556;0,655129;21683
10;40634,945910;112,878571;26,060103;0,646352;21945
11;40320,643071;112,428171;26,093826;0,653661;22094
12;39676,263697;111,600986;26,163792;0,651748;22268
13;43367,369774;118,595602;25,777470;0,626236;22557
14;43004,120188;117,695394;25,814000;0,619587;22731
15;42677,988765;117,944019;25,847061;0,611172;22963
16;42350,405100;115,537402;25,880525;0,642202;23214
17;38943,713108;110,441130;26,244727;0,665580;23535
18;38075,132257;112,191012;26,342686;0,655263;23666
19;36085,322597;110,725340;26,575794;0,662948;23844
20;37817,391725;120,175236;26,372185;0,614792;23999
21;42250,547420;128,434192;25,890777;0,597054;24241
22;40077,966358;127,767755;26,120044;0,597604;24374
23;42625,659018;134,089984;25,852389;0,580510;24535
24;39134,846800;127,345265;26,223464;0,609323;24752
25;41763,746937;133,977214;25,941106;0,582660;24895
26;40692,247245;130,612272;26,053983;0,596437;25044
27;38184,152972;126,077758;26,330269;0,619518;25155
28;42542,121621;134,284342;25,860909;0,600658;25341
29;35423,961060;119,434426;26,656129;0,649866;25475
30;39958,868040;129,155973;26,132969;0,618292;25591
31;35858,660757;122,042196;26,603160;0,635460;25719
32;33245,012740;117,528106;26,931835;0,650010;25902
33;38154,809064;129,622898;26,333608;0,609884;25993
34;35623,449164;126,187471;26,631741;0,628463;26084
35;45961,107336;144,535309;25,525195;0,591026;26254
36;50346,440086;150,969038;25,129413;0,583695;26363
37;47344,300654;147,097282;25,396424;0,595063;26449
38;50826,303959;153,180747;25,088215;0,573785;26497
39;44948,771677;142,720185;25,621922;0,613471;26664
40;45653,256732;142,797445;25,554383;0,612711;26736
41;40343,359511;133,759108;26,091380;0,635192;26817
42;37268,113810;127,996290;26,435726;0,650121;26887
43;38487,718162;127,790562;26,295879;0,656011;27051
44;33102,359791;116,906460;26,950511;0,696366;27138
45;35521,058123;119,059244;26,644241;0,685937;27218
46;31306,932915;110,935758;27,192695;0,700595;27443
47;27739,459821;103,994328;27,718121;0,718940;27502
48;29694,936430;105,878284;27,422276;0,720183;27560
49;26041,857427;98,167210;27,992381;0,746502;27621
50;27098,456530;99,203261;27,819655;0,745110;27766
51;26190,457921;96,397023;27,967669;0,753716;27817
52;23466,089676;90,250233;28,444694;0,767628;27878
53;22397,587888;87,551657;28,647088;0,766034;27939
54;19251,845332;79,864559;29,304377;0,788078;28086
55;19208,685714;78,997992;29,314124;0,790401;28140
56;18229,753572;76,018125;29,541293;0,801401;28276
57;16878,878491;72,561081;29,875664;0,809505;28319
58;18147,133024;73,426368;29,561020;0,803878;28476
59;13854,383273;65,891140;30,733229;0,824745;28601
60;15358,376126;67,101205;30,285647;0,822522;28751
61;14515,129967;64,296878;30,530891;0,835776;28969
62;13103,010586;60,958786;30,975390;0,845273;29189
63;17405,934316;69,184786;29,742127;0,819868;30053
64;14799,561877;64,898370;30,446612;0,835821;30092
65;16133,181549;67,380380;30,071901;0,832222;30113
66;15939,006128;67,417520;30,124488;0,833920;30189
67;14923,092034;66,175551;30,410512;0,843155;30217
68;17295,440833;70,505869;29,769784;0,836163;30245
69;16076,717108;68,905306;30,087127;0,845817;30266
70;17398,072356;71,725444;29,744089;0,841100;30267
71;17734,858578;71,768656;29,660823;0,845468;30271
72;16062,356805;68,805067;30,091008;0,853141;30263
73;16841,246537;68,572850;29,885358;0,851718;30247
74;13073,321033;63,047308;30,985241;0,867423;30243
75;13017,118188;62,392823;31,003952;0,868801;30206
76;11939,549311;60,423855;31,379221;0,874337;30176
77;11519,495888;59,369121;31,534766;0,876665;30152
78;11572,209127;59,086233;31,514938;0,877460;30087
79;10977,288526;58,355350;31,744150;0,879858;30025
80;10597,210941;57,650851;31,897185;0,883088;29980
81;10913,251211;58,486716;31,769559;0,882148;29923
82;10546,688017;57,850189;31,917940;0,883742;29851
83;10710,937882;58,180432;31,850825;0,883276;29782
84;10985,992797;59,304626;31,740707;0,880057;29711
85;10894,898024;58,906114;31,776869;0,880322;29605
86;10989,676029;58,899128;31,739251;0,878640;29515
87;12453,244067;59,809434;31,196276;0,876908;29455
88;13220,730530;60,179550;30,936546;0,875848;29365
89;11748,212426;60,009778;31,449382;0,877688;29262
90;11219,257919;58,885511;31,649459;0,882375;29172
91;11061,743180;58,939140;31,710865;0,883853;29071
92;11141,126980;59,106474;31,679809;0,883417;28973
93;11430,167059;59,488645;31,568574;0,880883;28876
94;11293,424648;59,728629;31,620844;0,879363;28765
95;11566,818103;60,286655;31,516962;0,878260;28659
96;11669,891786;60,344144;31,478432;0,879048;28536
97;11778,600830;60,392804;31,438163;0,878889;28434
98;11860,933522;61,112602;31,407911;0,877191;28280
99;11609,695522;60,773321;31,500892;0,878629;28140
100;12017,856928;61,301168;31,350830;0,876466;27986
101;12023,882175;61,467661;31,348653;0,873540;27838
102;12115,596174;61,790146;31,315653;0,872947;27705
103;12527,542625;62,880022;31,170442;0,869812;27531
104;12108,378837;62,551168;31,318240;0,872225;27368
105;13318,518889;65,401002;30,904541;0,866795;27185
106;13061,822704;65,855165;30,989063;0,865234;27017
107;13109,786904;65,956588;30,973144;0,866760;26833
108;14365,268263;68,901518;30,575963;0,857257;26638
109;13734,345547;67,745571;30,771021;0,861060;26445
110;14819,239735;70,195565;30,440841;0,852704;26254
111;14075,438583;69,347817;30,664481;0,851749;26027
112;14402,175251;70,153669;30,564819;0,848259;25803
113;16194,889176;74,896178;30,055321;0,830447;25563
114;15004,693662;72,949360;30,386829;0,835309;25338
115;16670,031338;77,537568;29,929736;0,820605;25081
116;16814,448122;78,177382;29,892274;0,818595;24837
117;17909,831094;80,969572;29,618186;0,812016;24558
118;19089,934022;84,869734;29,341056;0,794905;24281
119;17877,374173;82,582244;29,626063;0,800236;24029
120;21786,730220;91,444598;28,767180;0,774979;23749
121;21312,543461;90,007595;28,862748;0,775416;23435
122;22066,730189;92,915654;28,711720;0,767559;23131
123;25052,973087;99,735919;28,160508;0,744187;22814
124;23847,764946;97,645797;28,374624;0,743231;22497
125;28245,399738;107,736793;27,639623;0,708532;22167
126;27562,736042;107,202114;27,745877;0,700560;21833
127;29430,795479;110,995860;27,461080;0,686579;21499
