Slice;MSE;MAE;PSNR;SSIM;Weight
0;899878,500000;948,061328;12,607262;0,101996;40
1;856084,043956;898,714457;12,823937;0,062563;364
2;535233,471264;609,167146;14,863668;-0,141567;1044
3;243903,707270;349,762368;18,276917;0,045583;2077
4;157270,942701;250,526958;20,182616;0,255096;3473
5;141949,061042;199,983246;20,627775;0,432643;5357
6;122376,938500;183,904609;21,272105;0,483372;7561
7;77670,389159;154,764927;23,246546;0,455889;9446
8;70083,820318;145,728706;23,692922;0,456305;11576
9;60217,350167;139,894092;24,351884;0,448165;13782
10;59663,008762;136,921829;24,392049;0,474805;16093
11;49423,002733;123,509325;25,209809;0,515662;18659
12;53291,491644;123,056792;24,882522;0,562267;20584
13;46076,830935;115,442881;25,514274;0,606500;22033
14;43011,116285;109,819460;25,813293;0,636491;23967
15;41198,767696;109,075489;26,000258;0,644260;25656
16;42790,753580;109,594972;25,835601;0,645242;26463
17;39759,367825;105,318333;26,154706;0,660691;26828
18;40989,068496;105,365191;26,022420;0,668589;27257
19;38059,688095;101,234372;26,344448;0,685425;27611
20;38624,959165;101,511736;26,280420;0,688065;27991
21;36412,923013;100,616434;26,536545;0,698196;28849
22;40844,893481;105,188789;26,037723;0,686649;29713
23;37252,000926;102,649423;26,437605;0,690609;30233
24;41406,890681;106,882944;25,978374;0,677592;30635
25;40119,378142;106,803007;26,115558;0,691407;30991
26;44858,690099;109,601616;25,630634;0,690704;31410
27;37819,607863;101,489461;26,371930;0,706506;31693
28;39280,058007;100,414786;26,207379;0,714712;31996
29;34035,843332;95,289105;26,829736;0,726684;32272
30;35589,319796;94,949631;26,635904;0,722516;32699
31;31068,527871;90,171874;27,225894;0,733699;32902
32;33479,141656;91,352355;26,901357;0,730148;33059
33;29219,658248;87,120408;27,492349;0,746832;33100
34;29155,534305;88,049217;27,501890;0,745055;33129
35;27167,974876;86,291679;27,808527;0,752918;33116
36;29361,152557;88,700150;27,471369;0,745379;33109
37;27441,440712;86,580655;27,765032;0,759608;33017
38;28751,005249;87,707103;27,562570;0,759267;32957
39;27238,382121;85,713516;27,797288;0,769032;32932
40;28534,761584;86,535290;27,595358;0,765394;32913
41;26897,175334;85,420304;27,852034;0,766549;32903
42;28163,772718;87,814786;27,652192;0,753791;32893
43;26439,593912;86,153756;27,926553;0,762946;32919
44;27546,316812;86,706375;27,748465;0,763204;32928
45;27071,436397;86,284360;27,823987;0,769269;32931
46;29541,457447;88,358021;27,444781;0,770110;32959
47;30644,614247;89,284162;27,285559;0,773891;32990
48;32286,503622;90,771941;27,058890;0,764007;32997
49;28486,088410;87,244921;27,602772;0,768989;33028
50;25774,884149;85,650169;28,037133;0,765139;33051
51;24016,914203;82,624002;28,343929;0,775509;33078
52;25331,069009;83,810043;28,112565;0,780180;33126
53;23912,824228;81,524333;28,362792;0,793638;33185
54;25813,093446;84,524602;28,030700;0,783922;33260
55;24525,766705;83,210595;28,252875;0,789196;33314
56;25807,335831;85,854181;28,031669;0,780741;33365
57;25438,009688;86,262589;28,094269;0,777064;33442
58;25707,188918;87,327121;28,048554;0,763922;33496
59;23818,665395;84,438219;28,379926;0,769239;33562
60;23874,096676;82,447336;28,369831;0,776632;33638
61;23110,343198;80,705594;28,511036;0,790698;33689
62;24062,420878;80,571078;28,335707;0,794391;33720
63;23136,691384;80,487048;28,506088;0,797391;33741
64;24701,801867;83,840747;28,221814;0,784062;33745
65;24525,314838;86,803767;28,252955;0,779576;33738
66;25579,652905;88,915862;28,070154;0,774864;33766
67;24380,881328;89,907653;28,278606;0,776548;33799
68;25695,537219;91,574291;28,050524;0,772461;33813
69;26871,648557;95,912848;27,856157;0,761948;33849
70;30950,443789;98,576907;27,242432;0,755404;33908
71;23586,362973;95,030716;28,422490;0,764568;33964
72;25808,118116;99,396744;28,031537;0,764788;34136
73;25256,786441;99,917417;28,125319;0,760693;34220
74;24035,083448;99,007463;28,340645;0,761184;34237
75;20066,261812;90,464132;29,124436;0,776836;34139
76;21450,116043;93,500030;28,834804;0,777904;33436
77;19645,895429;89,925757;29,216382;0,782194;33451
78;20950,188323;93,867627;28,937221;0,781565;33485
79;19713,397397;90,949018;29,201486;0,789119;33571
80;21125,199988;93,852751;28,901092;0,795673;33637
81;20372,952155;91,437611;29,058561;0,798245;33692
82;22415,623256;96,046826;28,643592;0,801125;33763
83;20259,439142;90,883012;29,082827;0,811079;33841
84;22679,899976;95,036374;28,592689;0,811275;33912
85;20436,202292;89,625674;29,045099;0,817316;33951
86;22189,524667;92,044112;28,687620;0,821934;33993
87;20179,463220;87,839645;29,100005;0,822725;34040
88;22068,184558;91,388477;28,711434;0,822067;34049
89;19991,326576;87,113582;29,140684;0,828385;34035
90;21518,686707;89,204387;28,820943;0,829501;34064
91;19694,049353;84,596997;29,205750;0,835570;34081
92;21142,121580;86,734876;28,897615;0,834466;34101
93;18531,943920;80,773076;29,469890;0,840473;34094
94;19387,980069;82,682697;29,273775;0,837071;34118
95;17567,523787;78,974323;29,701995;0,838436;34136
96;18748,424874;80,455286;29,419452;0,831682;34156
97;17019,766041;77,496906;29,839565;0,837769;34177
98;16745,317286;75,867390;29,910166;0,840991;34149
99;14424,345422;70,476925;30,558139;0,848572;34138
100;15302,417989;72,543553;30,301500;0,837293;34154
101;14271,838029;70,186950;30,604302;0,841387;34179
102;14260,034628;69,003839;30,607895;0,842893;34192
103;13396,490440;66,748758;30,879190;0,849996;34206
104;13514,265458;66,571366;30,841176;0,851497;34190
105;12731,425363;63,921862;31,100330;0,855092;34199
106;12691,053478;62,509832;31,114124;0,861969;34201
107;11988,426805;60,353256;31,361478;0,869392;34217
108;12466,926550;60,848040;31,191506;0,872165;34241
109;11665,947826;58,910311;31,479900;0,876297;34270
110;11668,586427;58,041810;31,478918;0,880170;34289
111;11366,457399;57,356029;31,592849;0,882319;34342
112;11975,695342;58,308974;31,366093;0,878971;34373
113;11507,324911;57,429315;31,539357;0,882113;34431
114;12055,655682;58,531287;31,337192;0,878533;34503
115;11625,827005;57,745499;31,494862;0,879186;34579
116;12248,806624;59,039249;31,268163;0,878547;34663
117;11776,314953;58,360805;31,439007;0,880704;34748
118;12211,309568;59,088318;31,281478;0,877754;34813
119;11759,592377;58,437151;31,445178;0,882913;34895
120;12295,213947;59,060339;31,251739;0,884541;34990
121;12565,863841;59,546908;31,157177;0,886894;35106
122;15714,613338;62,574270;30,186063;0,882124;35253
123;21444,087078;70,241725;28,836025;0,876514;35922
124;20904,121656;69,367494;28,946781;0,874060;36036
125;18156,120152;68,349700;29,558870;0,878076;36121
126;25041,002515;74,664133;28,162583;0,867497;36181
127;20667,715659;71,254716;28,996176;0,876041;36210
128;22857,915742;70,988432;28,558735;0,874685;36222
129;18814,338419;67,191268;29,404211;0,883695;36245
130;18752,879034;66,734438;29,418421;0,882537;36258
131;15751,322408;63,942297;30,175930;0,890844;36246
132;16486,183063;65,013960;29,977900;0,888347;36228
133;15535,015140;64,104093;30,235984;0,892854;36196
134;16226,663128;64,504521;30,046808;0,890432;36168
135;15605,410684;63,922661;30,216348;0,892987;36130
136;16388,549654;65,071365;30,003695;0,889056;36110
137;16220,878049;64,659500;30,048357;0,892858;36080
138;17443,132104;66,318763;29,732856;0,889370;36055
139;16574,942692;65,452577;29,954580;0,891574;36016
140;16916,541213;65,776133;29,865984;0,887671;36008
141;16125,030377;64,903743;30,074095;0,892095;35948
142;16241,540226;65,459273;30,042828;0,889685;35922
143;16006,547543;64,934909;30,106124;0,893864;35873
144;16770,638550;66,277866;29,903605;0,889544;35850
145;16901,138282;66,776746;29,869941;0,891446;35847
146;17263,496597;67,560548;29,777813;0,887882;35852
147;17393,800970;67,302280;29,745156;0,889917;35874
148;18381,074635;69,005594;29,505391;0,886355;35841
149;17405,003883;68,074495;29,742360;0,890739;35801
150;17827,676443;69,273193;29,638153;0,888012;35765
151;17559,844930;69,100126;29,703894;0,890058;35700
152;18891,888730;71,096032;29,386347;0,894733;40622
153;18528,343255;70,819545;29,470735;0,897695;40553
154;19900,101050;73,127003;29,160548;0,891318;40495
155;18924,098873;71,515115;29,378948;0,895440;40456
156;20215,080410;73,527896;29,092346;0,889690;40418
157;19072,023780;72,379967;29,345132;0,893505;40370
158;20611,083974;74,526884;29,008092;0,888569;40322
159;19712,251205;73,177287;29,201738;0,892323;40254
160;21730,861452;76,684478;28,778330;0,885425;40181
161;20373,117383;75,494197;29,058526;0,890656;40108
162;22675,657371;79,214986;28,593501;0,883753;40020
163;20994,101091;77,713248;28,928127;0,890906;39964
164;23259,734941;80,709696;28,483053;0,884845;39810
165;21764,835247;79,701860;28,771546;0,890231;39629
166;25242,342307;84,970088;28,127804;0,878729;39298
167;23723,707398;84,446486;28,397275;0,883499;38742
168;28141,889688;89,763724;27,655568;0,872970;38364
169;26743,407158;88,408250;27,876933;0,879421;38000
170;33833,885965;93,966180;26,855581;0,863284;37655
171;23662,536873;85,607837;28,408488;0,880276;37290
172;25772,385079;89,034900;28,037554;0,872695;36834
173;24315,405399;87,856260;28,290285;0,876267;36300
174;26834,794352;91,101619;27,862118;0,869233;35483
175;22384,725682;85,350330;28,649583;0,873152;34748
176;26792,894475;90,148815;27,868904;0,860760;32779
177;24968,877400;89,470641;28,175110;0,860862;32341
178;29241,157448;95,228633;27,489155;0,850223;31801
179;26790,216444;93,369694;27,869338;0,857465;31380
180;30698,513016;98,509310;27,277927;0,848227;30962
181;27466,603587;95,802325;27,761051;0,855200;30607
182;31588,187806;101,071965;27,153853;0,844259;30244
183;28609,690420;98,863084;27,583969;0,849274;29834
184;32527,928407;103,491763;27,026537;0,841565;29500
185;29010,402416;101,089941;27,523563;0,844194;29144
186;33595,331293;106,726087;26,886311;0,831182;28760
187;29559,387346;103,058607;27,442146;0,840101;28401
188;34413,371429;108,953304;26,781828;0,827976;28000
189;30548,808350;105,732540;27,299158;0,835984;27592
190;36264,849563;113,262347;26,554242;0,817121;27214
191;31604,563073;108,572417;27,151603;0,829298;26810
192;36688,775336;114,689815;26,503768;0,814199;26435
193;32448,294874;110,874794;27,037182;0,821894;26045
194;38219,651774;117,871042;26,326233;0,805400;25673
195;32207,001976;111,623715;27,069598;0,818559;25298
196;37609,409045;118,347717;26,396136;0,802629;24919
197;32737,407953;114,112479;26,998658;0,807676;24569
198;38269,926269;120,755166;26,320524;0,792413;24196
199;31649,415858;113,873146;27,145444;0,803910;23799
200;37296,225237;120,152333;26,432452;0,788155;23442
201;31011,091573;113,084046;27,233929;0,799451;23020
202;36838,785214;120,018549;26,486047;0,786572;22562
203;30689,065798;114,299959;27,279264;0,790293;22098
204;37285,124217;122,623950;26,433744;0,772994;21551
205;33108,316736;121,066201;26,949729;0,769789;21027
206;42245,024819;134,276554;25,891345;0,746838;20468
207;39443,197434;134,232123;26,189379;0,751061;19956
208;51181,335256;150,559919;25,057984;0,729958;19418
209;43455,786948;142,196645;25,768624;0,744017;18925
210;50713,638868;153,708085;25,097853;0,715330;18442
211;54622,298921;160,058125;24,775401;0,707578;18172
212;81254,486026;182,970414;23,050627;0,654314;17855
213;50266,886746;150,380677;25,136281;0,681529;17836
214;50599,041631;145,493685;25,107678;0,645173;17655
215;49034,485146;148,030300;25,244084;0,659065;17335
216;53613,189638;145,977592;24,856384;0,656793;16869
217;45599,002071;140,210638;25,559547;0,706933;16418
218;37150,954039;122,742971;26,449401;0,774160;15970
219;31190,084363;118,521067;27,208935;0,753486;15623
220;40353,544482;128,568215;26,090284;0,743465;15332
221;63986,920502;183,283571;24,088189;0,660012;15296
222;102040,068511;220,525815;22,061393;0,610532;16231
223;69634,844974;190,148957;23,720834;0,665715;16107
224;106060,596617;238,159886;21,893560;0,588192;15608
225;84535,067230;209,978171;22,878731;0,649853;13491
226;67551,610997;180,396297;23,852743;0,686457;10694
227;66076,202158;173,159086;23,948650;0,712684;8805
228;58272,717420;140,462400;24,494448;0,742296;8341
229;55120,022660;133,404194;24,736007;0,754200;7767
230;54414,363080;129,372845;24,791965;0,736107;7194
Total;26541,588174;89,062273;27,654431;0,777848;6913652
