Slice;MSE;MAE;PSNR;SSIM;Weight
0;806,872611;23,407643;19,062754;0,273726;157
1;346,549950;10,229062;22,733145;0,661556;991
2;440,654150;12,210474;21,689825;0,605200;2024
3;681,192958;16,177183;19,798102;0,590267;3550
4;836,624051;18,817085;18,905500;0,516675;5139
5;951,887311;20,260192;18,344948;0,510506;6549
6;952,357251;19,861412;18,342805;0,521788;7930
7;884,875833;19,469170;18,661980;0,521924;9455
8;326,014909;9,925818;22,998429;0,687238;11000
9;285,580558;9,269618;23,573517;0,703172;12221
10;270,796300;8,914983;23,804376;0,716589;13515
11;253,999596;8,458968;24,082473;0,735015;14842
12;265,736504;8,476594;23,886291;0,729899;16171
13;356,527245;10,022218;22,609876;0,698366;17508
14;355,686877;9,728017;22,620125;0,696392;18571
15;379,070135;9,946122;22,343608;0,687728;19377
16;389,143268;10,225461;22,229708;0,685582;20172
17;374,479469;9,907973;22,396523;0,691893;21309
18;331,701813;8,926508;22,923325;0,718272;22288
19;287,890621;8,113363;23,538528;0,733983;23094
20;243,065784;7,331526;24,273565;0,747770;23790
21;236,472639;7,263660;24,392995;0,745551;24414
22;213,626090;6,968483;24,834261;0,741532;24431
23;212,477364;6,943246;24,857677;0,748182;24474
24;209,550788;6,971299;24,917911;0,741676;24494
25;208,374376;6,640611;24,942360;0,760247;24422
26;208,280520;6,777855;24,944317;0,754694;24394
27;197,715810;6,535298;25,170390;0,756249;24364
28;196,867808;6,408690;25,189057;0,773394;24351
29;205,638258;6,521368;24,999764;0,767375;24382
30;211,209572;6,735651;24,883668;0,770056;24426
31;195,688641;6,416656;25,215147;0,775610;24483
32;185,942138;6,150587;25,437025;0,784236;24524
33;171,187360;5,862345;25,796087;0,795964;24605
34;166,571903;5,784130;25,914786;0,795190;24700
35;163,873522;5,775568;25,985716;0,801550;24787
36;159,912913;5,717718;26,091968;0,801398;24929
37;151,694439;5,567829;26,321107;0,806830;25085
38;147,662198;5,593653;26,438110;0,798115;25210
39;154,971942;5,788990;26,228273;0,790698;25340
40;139,327596;5,436194;26,690432;0,797889;25507
41;151,169972;5,569023;26,336148;0,798376;25716
42;150,731824;5,565479;26,348754;0,797632;25886
43;151,400636;5,603006;26,329527;0,798457;26081
44;144,492051;5,441386;26,532364;0,806602;26231
45;158,730308;5,695825;26,124205;0,799509;26419
46;157,156939;5,760248;26,167468;0,796773;26590
47;161,035678;5,829940;26,061583;0,801585;26767
48;138,377200;5,385815;26,720158;0,809701;26930
49;154,223911;5,921181;26,249286;0,789415;27100
50;174,060927;5,964865;25,723791;0,797347;27295
51;183,344690;6,499036;25,498120;0,773696;27503
52;191,714945;6,944915;25,304244;0,765561;27721
53;248,453349;8,173226;24,178355;0,735463;27952
54;302,987940;9,028518;23,316550;0,719791;28193
55;402,549158;10,117275;22,082614;0,696286;28429
56;394,199037;9,961543;22,173648;0,707840;28447
57;443,332395;10,123417;21,663509;0,710863;28424
58;493,888405;10,825876;21,194515;0,695194;28451
59;442,913536;10,245957;21,667614;0,707596;28509
60;457,809444;10,337912;21,523956;0,695889;28611
61;498,135025;10,633578;21,157333;0,695735;28691
62;528,555193;10,921382;20,899900;0,701865;28772
63;500,053712;10,950582;21,140637;0,697806;28876
64;481,232733;11,019417;21,307252;0,694305;28943
65;444,573232;10,767762;21,651371;0,697242;29065
66;458,943181;10,329765;21,513214;0,698126;29145
67;461,189428;10,287971;21,492010;0,705155;29246
68;403,874834;9,581816;22,068336;0,727230;29377
69;268,839524;7,666090;23,835872;0,776167;29481
70;144,865428;5,930518;26,521156;0,819949;29605
71;114,818270;5,459013;27,530694;0,824955;29753
72;127,827550;5,651420;27,064559;0,820491;29887
73;118,547789;5,449347;27,391869;0,828193;30028
74;115,172805;5,218462;27,517304;0,841351;30138
75;124,209498;5,567016;27,189256;0,834742;30239
76;123,701952;5,690545;27,207038;0,835124;30334
77;115,478533;5,623228;27,505791;0,832001;30395
78;132,295409;6,045286;26,915356;0,819263;30473
79;116,325744;5,845186;27,474045;0,824032;30527
80;107,809370;5,682784;27,804239;0,828770;30588
81;100,752439;5,586561;28,098248;0,830390;30643
82;106,636438;5,661464;27,851747;0,830424;30688
83;105,710309;5,591089;27,889630;0,835489;30750
84;102,325658;5,559240;28,030958;0,838141;30790
85;109,925800;5,734795;27,719807;0,840034;30795
86;118,142440;5,850749;27,406744;0,839927;30834
87;111,802690;5,774036;27,646281;0,840789;30850
88;106,258325;5,701445;27,867174;0,840375;30872
