Slice;MSE;MAE;PSNR;SSIM;Weight
0;616,326277;11,371533;20,232697;0,720671;2740
1;342,173484;8,931690;22,788340;0,777852;10145
2;233,503698;7,028952;24,447866;0,811140;18928
3;189,047538;6,046247;25,365093;0,832146;24780
4;175,358139;6,023743;25,691544;0,826702;25102
5;194,546923;6,502382;25,240560;0,814697;25190
6;221,910208;6,966382;24,669031;0,805020;25314
7;205,490607;6,862482;25,002884;0,806561;25444
8;181,786903;6,706697;25,535178;0,813088;25547
9;188,141672;6,981113;25,385954;0,802079;25679
10;188,924463;6,904784;25,367922;0,801184;25815
11;168,075688;6,598961;25,875755;0,812880;25975
12;173,935125;6,661653;25,726931;0,810686;26127
13;160,587939;6,248145;26,073674;0,825525;26416
14;151,279641;6,208669;26,332999;0,824301;26602
15;139,819072;5,840305;26,675139;0,830727;26751
16;133,066996;5,672600;26,890100;0,838876;26912
17;136,220965;5,743021;26,788364;0,842103;27045
18;129,154449;5,597455;27,019710;0,842739;27187
19;134,420390;5,638160;26,846152;0,842098;27327
20;133,057204;5,621017;26,890420;0,839958;27463
21;115,885352;5,300670;27,490518;0,850499;27615
22;108,658401;5,191884;27,770171;0,853826;27746
23;114,708896;5,359169;27,534833;0,846684;27856
24;123,213642;5,510725;27,224216;0,838323;27972
25;131,122691;5,700385;26,954025;0,834056;28046
26;137,537798;5,906082;26,746583;0,830684;28163
27;122,711974;5,542940;27,241934;0,840867;28237
28;122,552498;5,649894;27,247582;0,838229;28420
29;117,039811;5,578709;27,447468;0,841015;28510
30;130,205392;5,887395;26,984514;0,833881;28560
31;119,973511;5,680279;27,339950;0,841476;28578
32;113,661510;5,557026;27,574669;0,848230;28636
33;111,188877;5,507985;27,670190;0,848445;28680
34;108,649990;5,473679;27,770507;0,854183;28722
35;113,833524;5,627915;27,568102;0,847556;28773
36;117,801894;5,747979;27,419281;0,843093;28823
37;116,876761;5,712847;27,453522;0,839225;28887
38;127,819700;6,032603;27,064826;0,831375;28924
39;134,345575;6,200746;26,848570;0,828694;28972
40;134,650183;6,240092;26,838734;0,828514;29018
41;143,317180;6,447223;26,567821;0,821884;29075
42;135,461631;6,227574;26,812641;0,829617;29151
43;133,918029;6,197252;26,862413;0,832551;29181
44;148,298012;6,390133;26,419450;0,827610;29331
45;129,865609;6,027859;26,995862;0,839550;29362
46;115,181453;5,564491;27,516978;0,851387;29407
47;101,495432;5,197134;28,066339;0,861157;29447
48;101,000441;5,175288;28,087571;0,861873;29500
49;98,180313;4,932167;28,210559;0,865927;29543
50;95,317180;4,808974;28,339092;0,867443;29551
51;82,575389;4,548614;28,962297;0,873602;29580
52;77,116606;4,361032;29,259325;0,877393;29604
53;73,808414;4,182536;29,449745;0,881986;29616
54;70,120598;4,021353;29,672348;0,889326;29644
55;68,214543;3,913428;29,792034;0,894426;29663
56;68,832991;3,884324;29,752837;0,895240;29669
57;68,415583;3,798949;29,779253;0,896413;29674
58;69,231612;3,778164;29,727759;0,898586;29666
59;64,986466;3,741478;30,002574;0,897529;29777
60;70,424511;3,891299;29,653565;0,893653;29733
61;63,816464;3,712385;30,081476;0,898173;29689
62;58,577979;3,536033;30,453460;0,899937;29681
63;62,480167;3,719374;30,173382;0,897209;29648
64;64,345873;3,751992;30,045597;0,898308;29612
65;61,115301;3,671143;30,269304;0,900384;29566
66;62,987300;3,881193;30,138274;0,899578;29527
67;54,853328;3,684230;30,738774;0,905675;29474
68;50,676487;3,519640;31,082739;0,904467;29430
69;53,572317;3,691656;30,841399;0,907182;29412
70;50,228452;3,655059;31,121306;0,909527;29376
71;46,689867;3,368905;31,438577;0,916080;29368
72;46,222896;3,334242;31,482232;0,915714;29332
