Slice;MSE;MAE;PSNR;SSIM;Weight
0;76995,834865;176,126379;23,284428;0,369600;5983
1;98162,471016;191,127401;22,229646;0,370676;11817
2;118666,903047;200,741292;21,405805;0,411762;14440
3;102754,780599;188,015222;22,031080;0,421433;14535
4;67681,026593;145,150784;23,844431;0,453557;15305
5;58775,588645;131,341942;24,457131;0,487298;17367
6;45083,340940;109,602515;25,608940;0,537413;17528
7;48277,715972;115,922565;25,311634;0,524338;17618
8;47102,077362;107,816682;25,418700;0,558536;17709
9;46445,208205;109,433176;25,479691;0,538144;17795
10;41506,144090;106,965609;25,967976;0,545493;17850
11;35204,031018;98,398201;26,683176;0,560016;17925
12;35758,027349;99,205239;26,615365;0,572712;17990
13;29482,615811;89,262986;27,453441;0,598433;18038
14;34406,118479;94,386066;26,782744;0,592082;18096
15;35280,649804;95,764245;26,673735;0,598046;18147
16;33518,777210;91,861848;26,896219;0,617306;18201
17;29928,349121;87,522142;27,388273;0,609448;18263
18;30726,288896;87,913691;27,273999;0,611719;18318
19;29348,186639;83,082961;27,473288;0,633933;18367
20;26981,894372;79,190774;27,838376;0,642922;18442
21;27953,572764;79,184673;27,684727;0,653507;18505
22;26659,892265;79,299720;27,890516;0,663835;18564
23;27958,313439;82,097460;27,683991;0,638112;18632
24;24655,190848;77,762202;28,230017;0,658800;18706
25;24706,576437;76,469794;28,220974;0,665600;18767
26;25663,175915;79,738577;28,055997;0,656311;18833
27;23665,359865;75,664526;28,407970;0,683893;18896
28;19876,411467;70,960516;29,165721;0,694728;18976
29;22568,841133;74,879460;28,614008;0,694575;19060
30;19524,349190;69,366270;29,243335;0,718545;19130
31;20284,956907;71,563324;29,077359;0,712646;19191
32;20144,107996;70,278965;29,107620;0,724099;19260
33;21880,436123;73,068713;28,748541;0,723145;19334
34;20803,265171;71,498331;28,967785;0,730531;19395
35;18790,590073;68,662567;29,409696;0,733980;19462
36;19885,170492;70,819839;29,163807;0,722098;19520
37;19857,666854;71,494227;29,169818;0,729854;19553
38;19092,335168;69,904887;29,340510;0,727310;19620
39;20545,533879;72,621353;29,021926;0,720247;19673
40;22369,448125;74,085821;28,652548;0,725307;19711
41;18922,511350;69,490817;29,379312;0,730342;19779
42;21618,510769;75,343266;28,800843;0,690815;19825
43;20720,249748;75,126378;28,985151;0,694216;19860
