Slice;MSE;MAE;PSNR;SSIM;Weight
0;89905,775671;161,796480;22,611225;0,678378;2532
1;80070,334858;137,188404;23,114384;0,563713;13558
2;59756,717360;129,417034;24,385233;0,503093;20213
3;58091,801765;123,131269;24,507952;0,549327;20279
4;53050,256210;117,085391;24,902226;0,566728;20491
5;55964,633623;118,266506;24,669964;0,566386;20599
6;54206,729950;118,223794;24,808568;0,576789;20711
7;56127,072286;119,702026;24,657377;0,579749;20834
8;50017,947852;112,213260;25,157842;0,598362;21094
9;57857,428921;120,857984;24,525509;0,566651;21230
10;60510,114647;124,333220;24,330821;0,558273;21335
11;56703,804444;122,603310;24,612978;0,546548;21600
12;61948,820168;126,350255;24,228770;0,537681;21737
13;57300,686278;122,666248;24,567502;0,544420;21892
14;64464,367490;129,365148;24,055903;0,542896;21987
15;57417,400854;122,507055;24,558665;0,552370;22255
16;48999,578309;112,660718;25,247177;0,569813;22443
17;44934,762777;105,990564;25,623276;0,581918;22599
18;37531,464545;99,861316;26,405145;0,582654;22874
19;38622,539396;99,436806;26,280692;0,603527;23048
20;33946,147753;93,546625;26,841196;0,626878;23228
21;40840,299374;106,137437;26,038211;0,613727;23489
22;47810,721217;116,104913;25,353847;0,605623;23660
23;50054,531435;122,327506;25,154666;0,616598;23811
24;50258,067727;122,466700;25,137042;0,633073;23949
25;44389,204636;115,842088;25,676327;0,659196;24243
26;46809,456664;118,906682;25,445764;0,665364;24379
27;44259,740056;113,096938;25,689012;0,682616;24513
28;41643,596040;108,420913;25,953618;0,706316;24745
29;41485,416613;108,753008;25,970146;0,703142;24848
30;36814,881397;101,273925;26,488867;0,712147;24974
31;35797,798692;100,395179;26,610537;0,718846;25076
32;32876,346038;96,844753;26,980265;0,723026;25292
33;31618,437399;94,035446;27,149696;0,731384;25391
34;33428,355876;97,447729;26,907950;0,723947;25492
35;31413,284347;91,313867;27,177967;0,751536;25694
36;32788,406769;95,692585;26,991897;0,736307;25764
37;33005,806956;95,832063;26,963197;0,738328;25849
38;33196,434672;95,190909;26,938186;0,751021;26015
39;33804,312601;99,756749;26,859380;0,730540;26078
40;36621,363821;104,184988;26,511755;0,728754;26153
41;38842,330041;109,298606;26,256048;0,715357;26221
42;36918,896280;106,782806;26,476613;0,727167;26398
43;38922,924884;107,848899;26,247046;0,726980;26479
44;37998,959708;107,574658;26,351383;0,735395;26531
45;39757,238981;109,759014;26,154938;0,733870;26680
46;40977,126626;112,511969;26,023685;0,737157;26756
47;39854,034209;109,355059;26,144378;0,739896;26835
48;43491,659657;112,155570;25,765040;0,740789;26914
49;40636,567167;107,654408;26,059930;0,751429;27089
50;39863,601192;106,326478;26,143335;0,753720;27181
51;35715,798797;101,357824;26,620497;0,763539;27276
52;34742,938136;100,444251;26,740435;0,758517;27431
53;34145,544283;98,428356;26,815760;0,759082;27539
54;33616,160562;95,341131;26,883619;0,771384;27603
55;30284,309287;90,180409;27,336924;0,773516;27780
56;27105,769156;83,245761;27,818484;0,792286;27837
57;25050,823529;77,542504;28,160880;0,802957;27880
58;25243,921939;76,645934;28,127532;0,808026;27927
59;21987,066025;69,678550;28,727427;0,826917;28065
60;24706,694953;72,894301;28,220954;0,822981;28094
61;22292,809272;68,792438;28,667453;0,829447;28129
62;22097,666820;69,173435;28,705636;0,828096;28231
63;17708,178174;60,823977;29,667362;0,851266;28242
64;18188,767368;63,643979;29,551068;0,840889;28242
65;17343,914021;61,090221;29,757629;0,851353;28286
66;17197,797514;60,879468;29,794372;0,853377;28397
67;17994,945858;63,543804;29,597595;0,847297;28425
68;16545,855301;61,689334;29,962208;0,850848;28459
69;14844,574629;59,257758;30,433423;0,854478;28568
70;14147,322233;57,607672;30,642358;0,857281;28588
71;13968,097275;57,753721;30,697728;0,852349;28620
72;14243,528102;57,750896;30,612925;0,848227;28752
73;13707,253602;57,429092;30,779596;0,841846;28805
74;13304,016600;56,671203;30,909273;0,842939;28916
75;14238,906304;59,352310;30,614334;0,840878;28966
76;13605,103572;57,221096;30,812082;0,846971;29062
77;13542,233780;57,205304;30,832198;0,842851;29147
