Slice;MSE;MAE;PSNR;SSIM;Weight
0;62199,474786;160,147370;24,211234;0,616111;3153
1;24870,206828;79,745883;28,192306;0,816768;19978
2;22918,277218;77,475783;28,547281;0,845100;33829
3;19841,087729;73,738189;29,173446;0,855592;34185
4;18092,932303;70,878199;29,574011;0,862573;34152
5;18628,021295;72,907016;29,447433;0,860771;34186
6;16521,689639;68,484536;29,968556;0,871050;34128
7;15554,098176;68,599347;30,230652;0,869018;34163
8;15705,449284;66,641055;30,188597;0,878613;34141
9;15400,106342;66,852762;30,273864;0,877751;34154
10;15654,840695;68,289702;30,202614;0,876483;34186
11;16706,054187;68,682778;29,920361;0,874635;34178
12;17985,677812;74,156213;29,599832;0,865970;34216
13;21425,632462;76,399934;28,839764;0,867382;34255
14;28348,203896;86,338869;27,623845;0,843768;34292
15;22609,854485;81,630790;28,606123;0,860083;34347
16;25494,146546;93,150827;28,084696;0,824309;34392
17;27815,619578;97,882235;27,706213;0,805313;34467
18;26049,000637;97,336065;27,991190;0,806485;34538
19;24933,461249;98,201519;28,181274;0,802297;34606
20;25539,881362;95,394886;28,076912;0,808263;34660
21;23574,134894;91,458166;28,424743;0,819241;34679
22;21020,260626;81,319876;28,922720;0,847829;34701
23;19918,414282;78,518126;29,156553;0,846910;34730
24;18288,042367;73,812147;29,527429;0,861240;34744
25;17462,664634;71,976507;29,727995;0,867466;34765
26;18387,496603;73,523669;29,503875;0,862337;34740
27;17720,528293;71,129012;29,664334;0,869153;34708
28;18201,368139;72,834326;29,548061;0,865774;34669
29;18454,759087;73,667384;29,488016;0,863788;34639
30;17671,503104;72,630519;29,676366;0,866006;34631
31;17513,358482;72,789059;29,715406;0,863720;34621
32;17268,231650;69,726267;29,776622;0,870524;34604
33;17694,307123;74,901054;29,670765;0,856917;34592
34;17254,159894;71,960077;29,780162;0,864265;34598
35;17635,586598;72,683660;29,685201;0,863242;34591
36;16498,631284;70,617358;29,974621;0,868230;34593
37;16797,289264;70,483062;29,896708;0,868470;34612
38;17460,498845;73,168865;29,728534;0,861546;34640
39;17819,077988;73,791266;29,640248;0,859444;34659
40;17053,331334;72,766639;29,831008;0,861259;34678
41;17830,662557;73,684877;29,637426;0,858799;34711
42;16285,020855;70,398210;30,031217;0,867374;34716
43;16202,896754;69,642773;30,053174;0,870052;34723
44;16511,735157;71,051476;29,971173;0,866238;34798
45;15799,395298;68,382264;30,162696;0,871465;34794
46;16089,306301;68,666289;30,083727;0,870777;34822
47;16533,200069;68,126984;29,965531;0,876613;34898
48;16106,163306;68,101494;30,079179;0,875856;34965
49;15755,838489;66,703219;30,174685;0,880148;34945
50;17165,683011;70,337756;29,802490;0,871417;34935
51;15735,042712;68,692538;30,180421;0,878860;34932
52;16147,857327;68,667548;30,067952;0,880881;34905
53;18020,474479;70,736666;29,591438;0,874534;34893
54;16999,330122;70,848188;29,844782;0,877534;34872
55;17904,119983;73,084794;29,619571;0,873847;34805
56;19851,844683;74,577637;29,171092;0,869880;34716
57;17934,613112;70,970763;29,612180;0,880186;34656
58;19695,043322;73,024640;29,205531;0,879537;34486
59;20770,043864;74,759012;28,974727;0,872812;34288
60;19866,537920;73,825294;29,167879;0,879985;33927
61;21424,701935;76,094366;28,839952;0,873408;33439
62;20052,546520;76,605941;29,127405;0,863310;32943
63;15635,973788;69,249278;30,207851;0,874469;32199
64;17358,461882;71,702484;29,753988;0,875660;31363
65;17476,277704;72,840986;29,724611;0,871580;30925
66;14337,535141;68,305479;30,584356;0,877033;30392
67;15493,401504;69,896757;30,247633;0,870232;29651
68;16353,113491;69,838625;30,013096;0,870534;29227
69;14956,244534;69,458728;30,400875;0,875508;28724
70;16198,688125;71,452712;30,054302;0,865674;28210
71;17801,017898;77,092336;29,644652;0,854231;27657
72;16145,871153;73,066044;30,068486;0,864551;27226
73;17658,697775;74,978731;29,679514;0,862777;26917
74;19878,294115;79,198759;29,165309;0,851158;26595
75;19558,938983;78,868697;29,235648;0,855033;26337
76;20718,015737;83,202174;28,985619;0,847592;26053
77;19525,711540;80,184240;29,243032;0,850160;25806
78;17745,551739;77,475730;29,658205;0,855626;25561
79;18288,735139;78,716754;29,527264;0,858274;25334
80;18478,841098;76,736958;29,482353;0,857516;25072
81;19483,746990;80,142192;29,252376;0,850014;24837
82;19713,223526;81,844700;29,201524;0,847201;24637
83;19351,616521;80,798334;29,281928;0,852955;24429
84;19002,312110;81,664923;29,361036;0,851316;24203
85;17844,054507;80,528972;29,634165;0,851370;23997
86;20911,290130;83,295308;28,945292;0,852149;23779
