Slice;MSE;MAE;PSNR;SSIM;Weight
0;913,806430;21,330877;18,522262;0,354485;1493
1;2470,211974;33,291681;14,203461;0,450467;2873
2;3557,926803;38,016792;12,618834;0,497435;4645
3;2903,338222;36,043704;13,501827;0,519340;6750
4;2141,138055;31,475571;14,824357;0,518979;8924
5;1929,398974;29,704748;15,276583;0,525562;11309
6;1849,835651;28,864746;15,459472;0,541565;14092
7;1809,453551;27,631414;15,555329;0,600223;16642
8;1550,895693;24,658855;16,224978;0,624442;19203
9;2015,143890;27,123507;15,087743;0,627318;22274
10;1968,007568;27,090332;15,190536;0,601417;24576
11;1942,716877;26,467056;15,246708;0,606631;26515
12;1834,414188;25,927217;15,495830;0,591302;28207
13;1582,894779;24,561666;16,136283;0,611563;28711
14;1791,326846;25,890667;15,599055;0,612095;28619
15;1819,984525;26,610580;15,530127;0,602489;28563
16;1782,888098;26,643688;15,619563;0,617048;28534
17;1758,448295;26,375754;15,679508;0,613657;28508
18;1885,614002;27,337322;15,376276;0,606128;28495
19;2052,421654;28,339259;15,008138;0,571827;28521
20;1976,474819;27,983668;15,171891;0,584396;28533
21;1529,028038;25,058002;16,286649;0,607991;28568
22;1790,097728;27,019022;15,602036;0,596873;28651
23;1638,842346;25,843775;15,985432;0,602095;28683
24;1627,743917;25,454985;16,014943;0,603726;28768
25;1951,733047;27,939852;15,226599;0,586470;28829
26;1843,262983;27,383386;15,474931;0,588161;28903
27;1907,250405;27,336219;15,326726;0,580658;28993
28;1518,412502;24,250524;16,316906;0,583395;29115
29;1361,780947;23,136835;16,789731;0,537116;29203
30;1478,059821;24,008049;16,433883;0,512539;29321
31;1473,767303;23,858181;16,446514;0,512748;29446
32;1582,736728;24,490093;16,136717;0,500643;29574
33;1593,425768;24,941503;16,107485;0,503965;29711
34;1481,284915;23,891686;16,424418;0,507612;29830
35;1474,736665;23,734833;16,443659;0,527652;30015
36;1502,136678;24,275840;16,363709;0,541708;30195
37;1424,832182;23,919184;16,593166;0,532281;30390
38;1466,156046;24,106124;16,469002;0,545112;30568
39;1339,586898;23,468934;16,861095;0,544832;30789
40;1333,141834;23,362165;16,882040;0,561111;31008
41;1205,428622;22,679436;17,319389;0,573429;31298
