Slice;MSE;MAE;PSNR;SSIM;Weight
0;1111,669620;23,093624;17,671046;0,522461;15573
1;1384,022438;25,815509;16,719372;0,521596;23844
2;1409,471260;26,146064;16,640241;0,518171;23921
3;1499,937737;26,928944;16,370071;0,524336;23995
4;1547,805078;27,417476;16,233641;0,521914;24102
5;1652,470919;28,524703;15,949465;0,514181;24208
6;1623,192621;28,003249;16,027103;0,524888;24312
7;1580,928493;27,565090;16,141681;0,535147;24543
8;1538,305431;26,894909;16,260378;0,532212;24693
9;1594,407999;27,260603;16,104809;0,519254;24804
10;1435,335177;26,130416;16,561270;0,517045;24951
11;1330,372080;25,051534;16,891072;0,542218;25129
12;1332,007248;25,094585;16,885738;0,529037;25247
13;1288,630117;24,044088;17,029521;0,540849;25381
14;1256,178902;23,599303;17,140289;0,550392;25528
15;1259,716046;23,927803;17,128077;0,560712;25652
16;1421,660245;25,009419;16,602845;0,544404;25798
17;1452,586589;25,403065;16,509383;0,532170;25904
18;1461,184133;25,624822;16,483754;0,535450;26041
19;1350,897244;24,993807;16,824580;0,538742;26159
20;1536,592361;26,449640;16,265217;0,516858;26261
21;1521,635365;26,858517;16,307698;0,537777;26399
22;1546,594732;26,933910;16,237038;0,535736;26464
23;1666,463033;28,223494;15,912847;0,535896;26551
24;1707,423813;28,576862;15,807390;0,529791;26632
25;1823,096084;29,569833;15,522708;0,525162;26685
26;1786,008110;29,425683;15,611969;0,537795;26757
27;1799,049748;29,571173;15,580372;0,535554;26815
28;1781,539355;29,441041;15,622849;0,544339;26934
29;1729,935557;29,222350;15,750504;0,552901;27016
30;1765,138639;29,358335;15,663015;0,555187;27092
31;1699,323138;28,901023;15,828044;0,553907;27168
32;1702,703991;28,571108;15,819412;0,567568;27212
33;1758,956830;29,230377;15,678252;0,563395;27264
34;1786,923029;29,355369;15,609745;0,577579;27335
35;1775,708709;29,217938;15,637086;0,567062;27361
36;1713,400015;28,678427;15,792216;0,575971;27409
37;1840,979583;29,651743;15,480314;0,568189;27428
38;1770,778963;29,102451;15,649160;0,570067;27457
39;1819,873461;29,533375;15,530392;0,573230;27446
40;1896,348270;30,253770;15,351623;0,564652;27450
41;1953,307435;30,799047;15,223098;0,570924;27479
42;2052,550674;31,549838;15,007865;0,571712;27539
43;1992,831065;31,227363;15,136099;0,581235;27555
44;2072,661784;32,093173;14,965519;0,573491;27583
45;2122,437882;32,620813;14,862454;0,560996;27617
46;2052,806907;32,302853;15,007323;0,576557;27624
47;2068,556415;32,587568;14,974130;0,580969;27670
48;2045,491514;32,548566;15,022827;0,583138;27694
49;2030,645686;32,581626;15,054462;0,590541;27724
50;1927,286409;31,618086;15,281341;0,591619;27768
51;1996,410734;32,278468;15,128305;0,586261;27838
52;1884,841577;31,228507;15,378055;0,600708;27881
53;1765,605915;30,034661;15,661866;0,594719;27928
54;1639,330118;28,911085;15,984139;0,591755;27993
55;1512,919198;27,792897;16,332646;0,600647;28044
56;1435,853134;27,165456;16,559703;0,622611;28080
57;1404,660538;26,810762;16,655090;0,632473;28118
58;1306,846977;25,916397;16,968556;0,647976;28133
59;1292,338648;25,840175;17,017040;0,654184;28162
60;1306,390328;25,974063;16,970074;0,645052;28184
61;1289,242764;25,702823;17,027457;0,654691;28192
62;1280,564327;25,400475;17,056790;0,651093;28184
63;1220,812806;24,959028;17,264313;0,657191;28190
64;1204,786211;24,737031;17,321704;0,659992;28182
65;1206,731532;24,638174;17,314697;0,666789;28171
66;1161,770424;24,142091;17,479600;0,664199;28165
67;1187,394044;24,447386;17,384855;0,668720;28139
68;1160,861190;24,347753;17,483001;0,667300;28132
69;1122,467084;23,928472;17,629067;0,677297;28087
70;1207,995401;24,782582;17,310151;0,668541;28052
71;1241,474803;25,088912;17,191425;0,665431;28039
72;1230,345522;25,051564;17,230533;0,664862;28004
73;1211,156858;24,854727;17,298800;0,671588;27968
74;1237,851878;25,122361;17,204117;0,680164;27950
75;1237,827768;25,100788;17,204201;0,674291;27910
76;1205,901843;24,741895;17,317684;0,682556;27884
77;1227,343253;24,834508;17,241143;0,683076;27959
78;1213,428244;24,815393;17,290663;0,687424;27935
79;1215,659405;24,708368;17,282684;0,692525;28001
80;1206,563903;24,530951;17,315300;0,697449;27980
81;1218,214650;24,731393;17,273565;0,698806;28041
82;1230,150690;24,791880;17,231220;0,701944;28104
83;1224,205821;24,616256;17,252259;0,705569;28175
84;1244,459121;24,816097;17,180997;0,706253;28254
85;1224,985636;24,583524;17,249494;0,707608;28405
86;1221,948809;24,551419;17,260273;0,706142;28579
87;1309,985201;25,695533;16,958140;0,695892;29123
88;1300,646240;25,564236;16,989212;0,695667;29096
89;1299,879670;25,639009;16,991772;0,700059;29070
90;1261,086357;25,326407;17,123355;0,697411;29019
91;1284,476503;25,831068;17,043542;0,689475;28982
92;1295,803182;25,817500;17,005413;0,692217;28915
93;1275,955481;25,855980;17,072448;0,694495;28864
94;1332,804013;26,441273;16,883141;0,690499;28803
95;1345,595874;26,582864;16,841657;0,687462;28746
96;1374,409443;26,849153;16,749642;0,691092;28678
97;1392,170604;26,913615;16,693879;0,695858;28616
98;1417,130851;27,165744;16,616704;0,683720;28544
99;1374,554986;26,803238;16,749182;0,694864;28471
100;1344,334637;26,563013;16,845730;0,696817;28383
101;1338,387671;26,452212;16,864984;0,689706;28323
102;1366,146610;26,681289;16,775831;0,684402;28245
103;1371,054118;26,671132;16,760258;0,691234;28142
104;1382,865819;26,864109;16,723003;0,691092;28074
105;1400,183562;26,945876;16,668954;0,685099;27936
106;1390,724349;26,940198;16,698393;0,692898;27825
107;1418,432624;27,055215;16,612716;0,685037;27710
108;1432,338396;27,306463;16,570347;0,688119;27589
109;1412,665223;26,979031;16,630411;0,679974;27469
110;1455,717329;27,333394;16,500033;0,679586;27364
111;1480,807839;27,754647;16,425817;0,677195;27222
112;1498,981421;27,871902;16,372841;0,692797;27073
113;1525,774166;28,035920;16,295901;0,682352;26949
