Slice;MSE;MAE;PSNR;SSIM;Weight
0;3009,052965;35,025056;13,346505;0,437652;3153
1;1734,527380;26,215737;15,738992;0,648948;19978
2;1287,341955;21,562476;17,033864;0,609887;33829
3;1231,242884;21,237560;17,227366;0,613612;34185
4;1165,856582;20,545268;17,464352;0,620531;34152
5;1118,468408;20,244515;17,644566;0,615651;34186
6;1040,250820;19,559482;17,959423;0,626562;34128
7;1007,570237;19,524281;18,098050;0,628765;34163
8;970,211593;18,949884;18,262139;0,646234;34141
9;970,120630;19,091409;18,262546;0,643332;34154
10;961,837068;18,955830;18,299789;0,643594;34186
11;972,256656;19,037627;18,252994;0,642801;34178
12;983,214870;19,332067;18,204319;0,646883;34216
13;975,570924;19,382397;18,238215;0,636967;34255
14;1000,045346;19,668873;18,130607;0,638090;34292
15;975,128483;19,469532;18,240185;0,641335;34347
16;945,107583;19,129042;18,375991;0,653422;34392
17;955,470479;19,211681;18,328631;0,641631;34467
18;911,682437;18,630204;18,532368;0,661235;34538
19;923,397850;18,663758;18,476915;0,661399;34606
20;881,504155;18,410214;18,678560;0,665209;34660
21;859,515615;18,159289;18,788266;0,667040;34679
22;857,321720;18,119564;18,799365;0,672097;34701
23;865,348863;18,124734;18,758891;0,664465;34730
24;872,840347;18,174735;18,721455;0,661046;34744
25;871,728808;18,368589;18,726990;0,656977;34765
26;866,573287;18,280541;18,752751;0,657333;34740
27;864,875360;18,188487;18,761268;0,664105;34708
28;846,838126;18,102772;18,852800;0,667556;34669
29;859,617628;18,179999;18,787750;0,663284;34639
30;844,694580;18,142820;18,863807;0,660909;34631
31;838,250224;17,860056;18,897067;0,675077;34621
32;826,689978;17,643567;18,957377;0,678210;34604
33;842,692125;17,924029;18,874114;0,674736;34592
34;828,844933;17,679895;18,946071;0,678312;34598
35;821,691538;17,714261;18,983715;0,670488;34591
36;837,971815;17,836585;18,898509;0,671142;34593
37;846,717959;17,927193;18,853416;0,667662;34612
38;857,647864;17,935277;18,797714;0,667089;34640
39;879,761851;18,149802;18,687152;0,669734;34659
40;881,968799;18,225792;18,676271;0,674309;34678
41;865,832791;17,925153;18,756463;0,675346;34711
42;891,537562;18,054096;18,629407;0,690642;34716
43;888,926158;18,197016;18,642147;0,680976;34723
44;894,645008;18,171533;18,614296;0,675635;34798
45;901,459361;18,240990;18,581342;0,674977;34794
46;907,148498;18,408908;18,554020;0,670096;34822
47;913,350421;18,466531;18,524429;0,669974;34898
48;905,893808;18,298441;18,560031;0,671961;34965
49;898,872657;18,322192;18,593822;0,666486;34945
50;895,342951;18,251954;18,610909;0,673488;34935
51;936,294172;18,649948;18,416680;0,659915;34932
52;925,872368;18,267039;18,465292;0,668293;34905
53;931,458659;18,225919;18,439168;0,666705;34893
54;903,747448;18,102116;18,570333;0,654805;34872
55;914,035340;18,194570;18,521174;0,650270;34805
56;917,733408;18,055853;18,503638;0,648369;34716
57;937,561028;18,183085;18,410808;0,638361;34656
58;963,208780;18,381604;18,293599;0,626782;34486
59;951,897078;18,244255;18,344904;0,629994;34288
60;964,866743;18,237451;18,286130;0,639229;33927
61;987,951613;18,488890;18,183447;0,636158;33439
62;1033,609386;18,668245;17,987239;0,661874;32943
63;1011,399112;18,498897;18,081578;0,665841;32199
64;1058,270319;18,899212;17,884837;0,654098;31363
65;1074,909329;19,019143;17,817085;0,642663;30925
66;1064,246414;18,812615;17,860382;0,638704;30392
67;1104,298405;19,156521;17,699939;0,644378;29651
68;1095,815274;19,151025;17,733430;0,643837;29227
69;1144,308975;19,643747;17,545371;0,631792;28724
70;1131,348564;19,441297;17,594839;0,642048;28210
71;1184,948838;19,806487;17,393808;0,631423;27657
72;1192,922905;19,868986;17,364680;0,630286;27226
73;1226,528216;20,191478;17,244028;0,627726;26917
74;1269,549615;20,447302;17,094307;0,631099;26595
75;1333,002126;21,006607;16,882495;0,624760;26337
76;1367,576786;21,101984;16,771286;0,611690;26053
77;1392,884949;21,573239;16,691651;0,602550;25806
78;1520,685654;22,448652;16,310409;0,601971;25561
79;1562,694995;22,786966;16,192061;0,597376;25334
80;1640,845206;23,501476;15,980127;0,584295;25072
81;1729,895317;23,978661;15,750605;0,566656;24837
82;1799,403864;24,368754;15,579517;0,565778;24637
83;1742,759589;24,154652;15,718429;0,577087;24429
84;1810,195926;24,546213;15,553548;0,559967;24203
85;1898,948535;25,025128;15,345672;0,558644;23997
86;1808,160730;24,390008;15,558433;0,543985;23779
87;1903,339171;24,771002;15,335642;0,538330;23581
88;1898,178457;24,927164;15,347433;0,530121;23395
89;1832,483343;24,489730;15,500403;0,521463;23174
90;1916,901571;24,975687;15,304805;0,507950;22910
91;1895,302048;24,450380;15,354019;0,512673;22652
92;1759,274418;24,097001;15,677468;0,513254;22371
93;1795,328684;23,838964;15,589364;0,478812;22082
94;1772,294120;23,871817;15,645446;0,493282;21719
95;1649,142222;22,815673;15,958223;0,517941;21375
96;1749,177759;23,012663;15,702464;0,516999;21006
97;1602,149473;21,511993;16,083773;0,488338;20512
98;1419,668539;20,102600;16,608934;0,496064;20117
99;1529,676178;20,854049;16,284809;0,456784;19486
100;1296,520286;18,701003;17,003010;0,484336;18338
101;1065,466596;17,548461;17,855405;0,467996;17932
102;911,275587;14,620299;18,534306;0,514716;17577
103;866,065424;14,748031;18,755297;0,508556;17272
104;596,242605;12,287861;20,376574;0,519870;16970
105;239,954363;8,824476;24,329517;0,482401;16653
106;177,468330;8,157178;25,639595;0,513099;16230
107;175,138522;8,117932;25,696987;0,510192;15687
108;124,544150;6,950767;27,177570;0,539987;15051
109;96,075519;5,793646;28,304676;0,583038;14354
110;71,797001;4,793428;29,569741;0,589202;12872
111;64,491154;4,911624;30,035802;0,549728;12096
112;82,003215;5,166309;28,992495;0,548233;11196
113;69,266982;4,752507;29,725541;0,577599;10570
114;97,095304;5,537745;28,258821;0,549464;10094
Total;1059,722172;18,993986;18,556235;0,611345;3284972
