Slice;MSE;MAE;PSNR;SSIM;Weight
0;1118675,642857;1028,197126;11,662059;-0,056210;224
1;415256,745592;421,212413;15,965934;0,039705;794
2;264110,789290;265,759568;17,931239;0,338270;1718
3;138740,353111;189,665091;20,727073;0,451686;2764
4;149690,695797;169,016846;20,397152;0,487919;4211
5;83471,429714;134,658269;22,933722;0,487020;6004
6;55914,696607;119,648020;24,673840;0,467689;8194
7;37348,086396;94,293056;26,426417;0,531522;10556
8;38038,489294;94,076988;26,346868;0,505590;12937
9;27164,268246;83,408450;27,809121;0,551166;15538
10;25137,309450;79,076618;28,145913;0,586725;18646
11;28540,430540;86,002677;27,594495;0,539061;21480
12;38280,104943;101,069504;26,319369;0,541469;24013
13;55201,985845;121,449369;24,729554;0,549637;26846
14;53284,273431;120,504185;24,883110;0,552870;29331
15;47393,935438;113,129943;25,391873;0,580957;31133
16;49515,662038;114,739616;25,201675;0,589367;32406
17;50851,176108;117,137590;25,086091;0,588953;32815
18;51893,038825;118,389826;24,998010;0,583560;32814
19;53032,958440;119,286555;24,903642;0,596199;32820
20;53538,303407;120,019938;24,862454;0,592971;32814
21;51114,271797;117,270275;25,063679;0,604658;32848
22;53881,495222;119,417542;24,834704;0,604513;32862
23;52679,693383;117,510843;24,932668;0,614546;32901
24;52168,607346;116,555397;24,975008;0,618754;32917
25;51647,304812;115,762713;25,018624;0,621888;32958
26;51731,232960;115,254862;25,011572;0,620045;33010
27;53371,461899;117,852679;24,876010;0,608921;33057
28;54038,360375;118,560895;24,822079;0,605727;33110
29;52408,940793;117,800422;24,955047;0,606475;33155
30;54203,308336;118,491401;24,808842;0,608731;33230
31;53509,597477;118,147732;24,864784;0,612148;33295
32;53277,133785;117,396314;24,883692;0,611935;33382
33;52973,604951;117,509477;24,908505;0,607057;33449
34;54888,820880;119,283578;24,754261;0,608250;33564
35;54573,620523;120,140996;24,779273;0,614256;33641
36;55181,842041;120,763707;24,731139;0,604872;33743
37;54653,819363;120,607362;24,772895;0,608152;33869
38;57189,818439;124,767531;24,575913;0,587900;33983
39;56680,691428;125,863522;24,614749;0,583260;34086
40;58057,208593;127,032398;24,510539;0,583777;34215
41;56750,890165;125,817054;24,609374;0,581375;34297
42;57031,575692;123,825700;24,587947;0,597840;34409
43;56198,447138;122,606058;24,651857;0,604865;34486
44;57300,050422;123,180149;24,567550;0,590941;34588
45;55270,025560;121,924805;24,724204;0,597283;34663
46;56797,805041;125,100314;24,605785;0,584551;34756
47;56098,782209;126,561033;24,659566;0,571290;34850
48;58913,943861;130,694254;24,446920;0,542353;34949
49;58038,870728;130,106855;24,511911;0,566761;34996
50;65644,719726;141,864795;23,977103;0,554265;35080
51;66622,921062;141,208851;23,912864;0,571099;35116
52;70786,409052;148,129727;23,649602;0,547660;35174
53;67798,355006;148,155617;23,836909;0,554640;35205
54;66983,771467;145,869550;23,889405;0,568220;35251
55;64690,815420;144,130967;24,040674;0,554677;35280
56;63472,062990;141,097318;24,123274;0,569444;35307
57;61950,454947;139,524609;24,228655;0,572225;35292
58;61631,122294;137,565241;24,251100;0,586116;35292
59;62943,309274;141,095462;24,159605;0,574769;35302
60;62061,892400;141,126727;24,220850;0,572661;35316
61;65345,852813;144,578834;23,996920;0,578300;35302
62;65323,278332;143,010554;23,998421;0,592468;35296
63;65635,042956;146,536354;23,977742;0,584350;35292
64;66769,285095;147,626385;23,903334;0,584628;35297
65;66336,381567;147,084714;23,931583;0,602141;35307
66;67267,341336;147,861608;23,871058;0,604612;35320
67;69124,500127;149,579401;23,752781;0,599686;35327
68;69036,503947;149,118079;23,758313;0,613660;35345
69;71951,315682;152,137248;23,578713;0,609949;35352
70;74486,260791;154,477386;23,428339;0,613218;35354
71;74176,641050;153,594986;23,446429;0,613776;35342
72;72076,130968;150,943360;23,571186;0,615674;35337
73;70585,845143;149,972483;23,661924;0,620094;35323
74;67612,738467;147,256110;23,848816;0,616483;35311
75;67296,435177;148,237208;23,869180;0,623409;35296
76;70217,107630;153,541137;23,684671;0,601526;35297
77;70680,666742;154,127282;23,656094;0,610564;35276
78;68615,292930;151,362620;23,784891;0,609083;35278
79;69060,495845;152,343822;23,756804;0,614436;35261
80;68595,532043;150,978104;23,786142;0,622902;35234
81;66842,038334;151,528892;23,898603;0,617417;35217
82;67231,583755;151,734365;23,873367;0,617293;35210
83;68248,956707;153,715725;23,808141;0,611562;35179
84;67086,828447;151,408593;23,882728;0,618994;35167
85;62944,787774;146,105459;24,159503;0,624407;35137
86;61866,630224;143,521481;24,234536;0,628859;35124
87;63044,785047;145,271256;24,152609;0,623755;35096
88;59221,495111;138,148516;24,424307;0,631711;35077
89;59476,730748;138,606636;24,405629;0,625003;35049
90;56977,275782;133,700682;24,592084;0,632381;35053
91;53744,307508;129,868607;24,845776;0,638989;35017
92;53974,631359;127,093610;24,827204;0,651123;35007
93;52767,743064;125,709947;24,925415;0,652926;34997
94;51732,975389;122,886580;25,011426;0,659289;34985
95;53505,040263;124,854242;24,865154;0,664008;34945
96;52533,905739;123,305103;24,944704;0,663909;34903
97;48863,487515;118,666616;25,259256;0,671545;34842
98;48039,981849;115,695762;25,333072;0,678801;34819
99;46051,575615;112,866718;25,516655;0,685408;34742
100;46873,728365;113,730325;25,439806;0,687197;34701
101;44537,574290;110,990499;25,661835;0,690948;34601
102;43719,169601;108,886476;25,742381;0,693740;34528
103;45646,019933;111,763998;25,555071;0,696330;34415
104;43660,737430;109,122221;25,748190;0,692397;34368
105;43098,669626;109,120630;25,804462;0,690984;34237
106;44096,303513;109,640706;25,705079;0,691699;34160
107;39407,264460;105,124313;26,193337;0,690771;34043
108;40839,637348;107,478114;26,038282;0,689622;33972
109;40470,773354;106,333786;26,077686;0,692375;33881
110;38948,850835;102,777272;26,244155;0,703526;33835
111;36718,091456;100,575705;26,500299;0,705511;33743
112;37555,106506;100,331928;26,402410;0,710083;33679
113;37049,360790;99,914385;26,461293;0,708471;33604
114;38124,275135;100,358121;26,337085;0,714840;33569
115;35579,376026;97,699351;26,637117;0,714873;33495
116;36180,884331;98,831878;26,564309;0,708355;33449
117;37379,991604;99,769843;26,422709;0,709369;33350
118;65257,303933;124,684613;24,002810;0,688048;39591
119;64101,034045;123,019705;24,080450;0,696716;39507
120;65995,958826;125,845888;23,953927;0,686772;39442
121;62738,302451;122,488432;24,173773;0,695453;39332
122;65194,605872;125,055621;24,006984;0,697119;39302
123;64765,019160;125,065494;24,035695;0,694019;39248
124;65228,333869;125,664945;24,004738;0,693196;39213
125;64136,430433;124,141894;24,078053;0,700138;39142
126;66711,079393;126,478593;23,907121;0,705604;39122
127;66335,505273;126,975402;23,931640;0,696534;39068
128;66944,728466;126,435885;23,891936;0,706143;39008
129;64955,165746;124,572490;24,022964;0,700687;38909
130;65605,311798;125,661737;23,979710;0,700025;38881
131;63943,530963;122,770492;24,091134;0,706373;38820
132;63901,274401;122,541401;24,094005;0,709207;38779
133;63366,207745;121,040936;24,130524;0,714046;38682
134;63576,936291;121,742111;24,116105;0,711039;38629
135;60859,256799;117,771149;24,305834;0,726852;38536
136;61345,873256;118,656001;24,271247;0,719877;38487
137;60560,886156;116,469559;24,327179;0,734469;38386
138;59931,518263;116,776025;24,372548;0,723343;38328
139;61580,300864;117,552840;24,254683;0,728974;38210
140;62933,271769;119,708844;24,160297;0,724855;38117
141;60387,591493;116,803564;24,339623;0,728682;37992
142;63626,914729;118,784159;24,112692;0,734987;37926
143;60983,503466;115,969191;24,296977;0,738831;37798
144;63361,459095;118,987514;24,130849;0,728767;37722
145;63831,253997;120,312595;24,098767;0,729715;37587
146;62963,530673;120,592978;24,158209;0,724695;37509
147;64764,336597;121,763093;24,035741;0,723964;37386
148;62140,149950;120,370803;24,215377;0,725620;37319
149;62805,865706;119,626348;24,169098;0,735987;37187
150;17715,499623;69,927991;29,665566;0,819071;37124
151;17685,118824;68,881264;29,673021;0,824034;36996
152;18674,324090;69,462156;29,436652;0,820471;36928
153;15575,388866;65,944698;30,224712;0,828400;36771
154;17093,915482;69,901112;29,820685;0,812914;36655
155;15147,683486;65,717062;30,345638;0,834447;36485
156;16115,765689;68,009309;30,076591;0,824857;36362
157;16233,955732;68,052751;30,044857;0,834790;36189
158;17214,443694;70,275467;29,790171;0,819212;36106
159;14966,398398;66,336638;30,397927;0,826847;35954
160;17034,319587;69,217503;29,835852;0,823732;35865
161;16408,442454;68,173561;29,998427;0,827258;35728
162;16011,413474;68,523328;30,104804;0,822771;35579
163;16266,273746;68,094864;30,036220;0,829093;35427
164;18450,345312;72,736410;29,489055;0,817010;35284
165;15948,595939;67,459752;30,121876;0,825946;35064
166;17709,131452;70,960083;29,667127;0,821482;34872
167;17551,591047;71,094621;29,705936;0,822112;34625
168;16015,107344;68,206016;30,103802;0,826925;34450
169;14934,660972;66,333389;30,407147;0,835589;34186
170;19091,338333;73,630069;29,340737;0,816394;34005
171;15349,119583;67,154052;30,288266;0,830439;33784
172;16538,515075;70,300150;29,964135;0,825217;33599
173;16459,005159;70,925210;29,985064;0,834830;33340
174;16558,655288;70,752940;29,958850;0,821026;33161
175;14289,715694;66,451252;30,598864;0,831641;32873
176;15452,993111;68,922101;30,258974;0,825017;32661
177;16427,234726;71,392493;29,993456;0,819820;32391
178;17575,089320;74,323235;29,700125;0,809731;32143
179;17686,243584;74,396907;29,672744;0,819555;31874
180;18249,016821;75,302485;29,536706;0,808720;31628
181;18881,025569;76,109602;29,388845;0,813911;31327
182;22282,777799;82,390556;28,669407;0,801779;31098
183;21318,614531;79,685271;28,861510;0,806439;30817
184;29025,270107;90,163790;27,521338;0,786557;30536
185;30457,625827;96,942114;27,312140;0,790830;30232
186;35251,419790;99,600905;26,677334;0,782400;29934
187;34172,969762;101,573704;26,812273;0,778546;29632
188;36332,409764;102,452984;26,546158;0,778258;29373
189;43577,916082;115,128413;25,756436;0,760215;29076
190;39712,467056;108,133314;26,159832;0,766997;28776
191;39884,100453;111,931105;26,141102;0,761529;28471
192;42268,373712;113,188748;25,888945;0,762794;28150
193;40191,246869;113,251832;26,107786;0,765932;27703
194;42482,308528;117,747780;25,867019;0,741222;27252
195;43805,235097;122,842673;25,733840;0,733998;26874
196;49266,008585;129,197492;25,223627;0,723239;26558
197;46892,091500;128,443883;25,438104;0,724440;26142
198;47437,896632;125,367104;25,387847;0,737311;25772
199;45822,034345;126,403892;25,538357;0,719182;25331
200;48395,376297;125,987013;25,301062;0,720876;24967
201;44195,840000;126,699714;25,695286;0,706033;24450
202;53448,095745;137,080005;24,869778;0,686414;24064
203;43155,739312;125,890457;25,798715;0,712583;23461
204;55755,815900;137,796897;24,686199;0,680300;22944
205;51781,375942;139,721869;25,007365;0,674592;22155
206;37056,930125;119,150120;26,460406;0,684121;20780
207;35311,558461;125,137357;26,669932;0,717201;20039
208;37168,709107;125,525288;26,447326;0,717447;19337
209;46213,538995;156,274778;25,501408;0,684354;18464
210;66437,991362;178,281604;23,924935;0,625025;17134
211;57608,218196;170,369600;24,544256;0,613599;15069
212;70751,944348;182,740681;23,651717;0,569628;13225
213;58103,879000;176,862124;24,507049;0,629600;12562
214;85862,726420;209,185848;22,811054;0,567806;10666
215;86424,957338;210,665087;22,782709;0,618445;10337
216;102763,295246;216,503895;22,030720;0,580622;10012
217;95444,623409;218,827170;22,351586;0,548976;9586
218;84392,256121;208,794145;22,886075;0,526263;9027
219;52342,114306;169,287103;24,960588;0,619269;8591
220;60484,517693;154,082497;24,332658;0,660084;8167
221;56588,072006;166,706594;24,621852;0,645929;7666
222;76662,735084;185,198147;23,303258;0,584883;6704
223;67937,004323;203,879323;23,828037;0,587075;6245
224;214581,625806;345,843145;18,833175;0,393611;4960
225;230879,744000;339,421189;18,515242;0,450183;4625
226;267382,592163;347,836367;17,877769;0,424426;4313
227;224492,469046;318,860282;18,637083;0,450565;4119
228;199294,401211;296,356990;19,154149;0,476543;3963
229;69736,554636;184,014568;23,714496;0,609271;3505
230;27861,688456;86,510991;27,699026;0,766278;1438
231;18309,416294;68,944186;29,522356;0,802981;1117
232;17161,723356;63,324927;29,803491;0,800937;882
233;5060,510538;41,604356;35,107157;0,880432;688
234;4844,689926;30,307200;35,296440;0,941353;541
235;3281,610976;27,814398;36,988229;0,957209;410
236;4311,551027;29,442921;35,802765;0,947654;365
237;8058,529152;35,581362;33,086543;0,925462;283
238;23179,044922;64,312531;28,498145;0,843558;256
239;6476,670173;37,342856;34,035583;0,914172;202
240;9219,633242;40,185346;32,501964;0,906021;182
241;9547,990000;44,422257;32,349981;0,898676;175
242;5158,110833;38,028613;35,024194;0,893170;150
243;4074,349472;31,935592;36,048518;0,932946;142
244;2097,485151;28,012519;38,932112;0,943115;141
245;9721,833333;41,830253;32,271619;0,897527;123
Total;50486,074509;118,059778;25,743083;0,674583;6980845
