Slice;MSE;MAE;PSNR;SSIM;Weight
0;79786,336105;154,747512;23,129815;0,481323;3969
1;67800,820345;135,572040;23,836751;0,547407;20801
2;58606,167020;131,853410;24,469667;0,527787;26859
3;60960,922837;133,415395;24,298585;0,547174;26943
4;62817,877059;134,455599;24,168267;0,568350;27021
5;58487,973753;130,747327;24,478434;0,559194;27127
6;57585,783003;127,518031;24,545947;0,558717;27217
7;49711,084711;118,786101;25,184568;0,580555;27340
8;42631,217572;112,769533;25,851823;0,574649;27453
9;42183,659013;110,198480;25,897658;0,592149;27567
10;39316,220752;108,636353;26,203382;0,587056;27669
11;36937,552479;106,420104;26,474419;0,583881;27811
12;34482,297830;102,975297;26,773139;0,603117;27922
13;33864,577836;102,199343;26,851643;0,601209;28091
14;35166,230096;104,638283;26,687842;0,588974;28223
15;34052,918911;101,808252;26,827557;0,607969;28364
16;34421,051217;102,689258;26,780859;0,606344;28584
17;34874,387840;101,698346;26,724035;0,628703;28749
18;36855,740505;103,782108;26,484049;0,621314;28856
19;35245,727539;102,176941;26,678035;0,625054;28973
20;35785,219556;103,089717;26,612064;0,628692;29086
21;41694,777489;112,725909;25,948284;0,596554;29212
22;41963,108808;114,466909;25,920424;0,617852;29336
23;43955,380618;117,706455;25,718980;0,615052;29481
24;43279,950210;117,489853;25,786233;0,621204;29564
25;47004,639703;121,009217;25,427694;0,637493;29645
26;50026,057635;126,545580;25,157138;0,632369;29739
27;45900,719256;122,697639;25,530906;0,645683;29803
28;50675,781350;128,754672;25,101096;0,630012;29856
29;49647,910626;127,821002;25,190091;0,631633;29897
30;45991,202243;123,105527;25,522352;0,642326;29964
31;51231,448625;129,543843;25,053734;0,620009;30005
32;47589,034258;125,551753;25,374032;0,632613;30066
33;52652,485761;130,044525;24,934911;0,624418;30163
34;53547,124127;132,259812;24,861739;0,619573;30219
35;51969,908557;129,955466;24,991581;0,634393;30314
36;55744,758094;135,446112;24,687060;0,625086;30392
37;54579,926986;133,317014;24,778771;0,646836;30460
38;51883,331017;131,996648;24,998822;0,646360;30506
