Slice;MSE;MAE;PSNR;SSIM;Weight
0;127719,772727;258,051965;21,086519;-0,020231;1056
1;160625,643132;285,645960;20,090952;-0,011331;1558
2;136678,199905;256,783456;20,792108;0,074165;2111
3;146396,128071;263,087328;20,493805;0,113469;2686
4;146445,080719;263,081975;20,492353;0,086832;3283
5;83163,166411;192,433996;22,949790;0,203144;3906
6;94136,385988;193,524964;22,411525;0,236395;4539
7;95526,706807;184,697244;22,347852;0,359777;5215
8;112766,067843;187,082980;21,627316;0,327050;5896
9;107240,287665;173,193484;21,845521;0,389455;6591
10;102512,967972;172,908055;22,041312;0,402235;7306
11;97985,826065;167,868350;22,237468;0,424063;8026
12;86907,150519;161,534934;22,758545;0,422633;8763
13;86971,169811;154,835986;22,755347;0,477341;9487
14;80596,886977;156,277571;23,085918;0,446877;10228
15;78364,805256;156,972668;23,207890;0,445727;10958
16;72320,920627;147,893056;23,556461;0,466340;11679
17;68044,492585;143,402392;23,821171;0,490931;12408
18;77839,142094;155,469930;23,237120;0,462376;13111
19;81852,051330;160,583919;23,018805;0,463743;13793
20;78492,990352;152,384136;23,200792;0,479643;14407
21;81093,988129;155,387613;23,059214;0,475685;14995
22;81354,424742;153,352416;23,045289;0,474800;15520
23;76535,945007;149,252687;23,310446;0,479096;16002
24;85379,229644;155,925037;22,835578;0,466474;16408
25;83384,735670;154,987278;22,938235;0,478183;16801
26;92409,026888;165,630027;22,491956;0,460804;17108
27;91253,943015;168,269009;22,546584;0,460219;17373
28;85919,074388;161,415142;22,808205;0,477866;17597
29;84800,512173;162,836142;22,865115;0,470811;17744
30;89941,156521;166,598729;22,609516;0,464063;17857
31;84872,078811;163,573329;22,861452;0,468461;17967
32;90409,562303;168,240847;22,586957;0,449058;18081
33;87400,455886;165,959337;22,733964;0,448116;18180
34;96668,957882;173,636747;22,296230;0,438532;18282
35;93137,909694;172,049777;22,457835;0,435445;18382
36;104954,582084;184,468051;21,939087;0,417941;18475
37;104254,785814;186,076668;21,968141;0,411850;18554
38;108842,063023;190,187875;21,781133;0,407403;18660
39;114539,834400;199,152315;21,559535;0,412121;18744
40;131157,215620;212,867944;20,971178;0,403649;18848
41;131178,569769;219,092228;20,970472;0,376756;18934
42;152434,283795;237,691252;20,318274;0,361839;19056
43;142801,235657;230,959949;20,601781;0,373057;19138
44;142635,708615;231,246103;20,606818;0,367074;19246
45;135663,919000;226,440516;20,824456;0,358329;19358
46;142627,411952;231,828477;20,607070;0,344187;19461
47;138910,116876;231,584536;20,721762;0,328952;19542
48;138061,281296;226,332552;20,748382;0,351034;19627
49;126881,770462;220,730326;21,115108;0,345068;19683
50;144077,396253;235,460177;20,563142;0,326621;19750
51;148044,832282;243,518235;20,445168;0,314775;19825
52;171824,829987;259,998440;19,798241;0,310837;19875
53;175725,415212;266,274333;19,700755;0,304690;19932
54;179284,371650;266,606837;19,613676;0,304799;19965
55;177642,248115;267,357571;19,653638;0,302156;20031
56;186353,004184;273,984808;19,445736;0,292693;20076
57;181051,279523;271,696794;19,571085;0,295363;20120
58;198214,316834;281,035438;19,177750;0,296401;20162
59;190475,733122;278,715403;19,350704;0,303522;20204
60;215424,663736;302,509408;18,816146;0,282857;20249
61;208286,594568;298,388722;18,962487;0,296892;20287
62;243119,705541;323,674565;18,290899;0,293635;20322
63;241249,105618;326,283211;18,324443;0,280700;20347
64;282326,421342;353,654742;17,641585;0,269277;20392
65;275134,595611;355,430128;17,753649;0,261649;20416
66;312227,255086;379,580790;17,204393;0,244172;20448
67;298424,445963;373,864224;17,400756;0,248665;20486
68;321517,496980;386,088399;17,077054;0,250332;20532
69;293035,596188;372,532678;17,479897;0,248276;20564
70;288705,159454;359,187479;17,544555;0,270384;20589
71;280569,618313;358,727145;17,668694;0,259229;20619
72;289932,269221;362,076112;17,526135;0,266276;20667
73;282400,544049;360,999300;17,640445;0,265150;20704
74;312191,487679;373,304335;17,204890;0,263928;20737
75;314179,412512;379,286141;17,177323;0,258476;20780
76;326514,619523;379,042659;17,010074;0,273090;20816
77;307901,011410;368,963132;17,264989;0,283557;20858
78;332476,732254;372,504215;16,931488;0,309300;20878
79;316003,907217;365,063800;17,152176;0,315879;20909
80;328027,188303;369,579172;16,990002;0,310467;20929
81;305851,642190;358,375358;17,293992;0,321570;20972
82;315928,472741;355,045463;17,153213;0,343670;20984
83;293041,150148;342,375631;17,479814;0,355826;21006
84;301117,950611;341,436742;17,361734;0,366062;21017
85;284442,958248;331,898898;17,609148;0,364644;21053
86;292509,190851;331,943319;17,487705;0,380536;21074
87;272545,493910;321,113181;17,794710;0,369185;21099
88;274332,161332;317,338763;17,766333;0,383928;21149
89;252305,505100;301,482291;18,129833;0,397836;21176
90;257171,505796;300,834912;18,046872;0,394715;21222
91;240707,974407;288,478477;18,334196;0,412374;21256
92;236560,721805;279,917599;18,409674;0,424838;21280
93;228048,063841;270,267591;18,568837;0,448355;21303
94;236705,835636;274,240412;18,407011;0,446985;21355
95;228856,509652;269,164151;18,553468;0,447399;21395
96;229464,252789;267,146744;18,541950;0,452800;21425
97;226345,876801;264,162789;18,601375;0,448772;21445
98;227164,337242;261,342965;18,585698;0,479960;21492
99;219283,817591;255,638014;18,739035;0,490069;21534
100;222814,210278;258,787637;18,669672;0,477486;21581
101;215575,505368;253,864957;18,813106;0,489481;21608
102;224281,395276;258,658046;18,641168;0,487763;21633
103;223053,314644;258,567872;18,665013;0,502072;21688
104;224846,669491;258,852242;18,630236;0,495452;21718
105;227626,486208;259,634562;18,576873;0,506333;21752
106;233698,416315;258,529510;18,462542;0,520474;21772
107;234801,256053;257,715884;18,442096;0,533701;21808
108;240606,580616;258,305720;18,336026;0,530886;21801
109;241838,064498;258,419515;18,313854;0,529004;21799
110;243728,465364;257,889600;18,280038;0,536020;21798
111;249705,013011;260,718779;18,174828;0,540190;21828
112;255807,126820;264,442221;18,069974;0,536891;21842
113;260383,755300;267,204497;17,992962;0,542116;21839
114;262389,196976;268,524307;17,959641;0,538252;21825
115;260898,862718;267,298979;17,984379;0,535495;21831
116;264183,093614;269,044312;17,930050;0,540399;21845
117;266507,946198;269,264892;17,891999;0,543668;21858
118;264968,580548;267,677077;17,917157;0,539096;21869
119;271372,223930;270,486347;17,813446;0,542495;21864
120;278284,105735;274,721074;17,704216;0,542302;21866
121;281235,536134;275,286534;17,658399;0,545491;21877
