Slice;MSE;MAE;PSNR;SSIM;Weight
0;781,898089;17,898089;19,199302;0,434472;157
1;494,984864;13,059536;21,184884;0,610429;991
2;403,884387;12,102767;22,068233;0,601808;2024
3;684,036056;16,427606;19,780014;0,568844;3550
4;927,330220;20,505935;18,458459;0,489961;5139
5;1054,997862;22,007177;17,898288;0,492899;6549
6;1049,756873;21,479193;17,919916;0,501056;7930
7;1002,995664;20,910629;18,117813;0,522115;9455
8;867,032364;19,112545;18,750451;0,519652;11000
9;469,304476;12,799771;21,416257;0,603664;12221
10;368,639438;10,324232;22,464786;0,692454;13515
11;260,631990;8,099043;23,970526;0,741956;14842
12;249,728959;7,796859;24,156115;0,749569;16171
13;388,562257;9,996687;22,236197;0,703802;17508
14;380,874159;9,695547;22,322989;0,706966;18571
15;407,277391;10,364866;22,031901;0,679501;19377
16;357,388459;9,496034;22,599398;0,697705;20172
17;334,834108;9,009151;22,882507;0,718954;21309
18;282,251974;7,887922;23,624434;0,736578;22288
19;253,093228;7,269724;24,097998;0,754923;23094
20;232,585414;6,903783;24,464979;0,766051;23790
21;211,727329;6,385721;24,873034;0,782439;24414
22;203,096353;6,433179;25,053782;0,772340;24431
23;190,798071;6,259704;25,325064;0,776682;24474
24;189,811301;6,168368;25,347583;0,776393;24494
25;196,349521;6,246171;25,200505;0,776019;24422
26;191,878987;6,085103;25,300529;0,786231;24394
27;197,214168;6,317600;25,181422;0,773239;24364
28;192,244836;6,125662;25,292257;0,781184;24351
29;190,005537;6,148019;25,343141;0,789088;24382
30;196,093589;6,212642;25,206170;0,784697;24426
31;184,693665;6,019401;25,466284;0,789242;24483
32;167,736218;5,692261;25,884535;0,799803;24524
33;157,924446;5,502337;26,146310;0,807368;24605
34;158,117490;5,514089;26,141004;0,808516;24700
35;152,983620;5,413443;26,284354;0,816169;24787
36;150,535842;5,429259;26,354404;0,811285;24929
37;149,330835;5,418696;26,389309;0,813765;25085
38;134,336176;5,055177;26,848874;0,824796;25210
39;119,150631;4,812431;27,369840;0,830870;25340
40;126,141491;4,953346;27,122224;0,825184;25507
41;128,357559;5,008438;27,046589;0,822646;25716
42;136,885768;5,110137;26,767221;0,820777;25886
43;130,990491;5,028296;26,958406;0,821322;26081
44;141,425146;5,188861;26,625537;0,822234;26231
45;128,537000;5,000606;27,040522;0,824456;26419
46;133,930575;5,078751;26,862006;0,827273;26590
47;121,630067;4,834460;27,280394;0,834010;26767
48;125,084404;4,900297;27,158772;0,833817;26930
49;132,673395;5,145572;26,902965;0,832951;27100
50;141,097783;5,376149;26,635602;0,821218;27295
51;142,617424;5,462786;26,589078;0,819515;27503
52;171,028174;6,285704;25,800127;0,797537;27721
53;214,099993;7,424478;24,824637;0,765665;27952
54;294,726386;8,603093;23,436613;0,744718;28193
55;367,448626;9,585951;22,478837;0,727071;28429
56;380,259395;9,440609;22,330004;0,724656;28447
57;411,108746;9,670384;21,991236;0,726867;28424
58;467,570384;10,259077;21,432334;0,721049;28451
59;410,493178;10,148865;21,997744;0,717767;28509
60;430,353675;10,279648;21,792548;0,704249;28611
61;490,674985;10,395176;21,222864;0,713909;28691
