Slice;MSE;MAE;PSNR;SSIM;Weight
0;126,829177;5,229864;27,098612;0,832984;15718
1;120,951102;5,132724;27,304705;0,838749;15747
2;154,741646;5,610127;26,234731;0,834221;15800
3;154,391321;5,699754;26,244575;0,832791;15877
4;150,739857;5,672359;26,348523;0,833019;16045
5;155,268262;5,707181;26,219977;0,837179;16126
6;153,219998;5,854901;26,277649;0,838389;16182
7;135,443397;5,651205;26,813225;0,837955;16342
8;122,247474;5,252466;27,258405;0,846173;16426
9;115,435809;5,131348;27,507398;0,850057;16521
10;118,453196;5,301293;27,395336;0,850436;16708
11;117,948536;5,112827;27,413878;0,857333;16769
12;114,413497;5,139649;27,546031;0,850496;16878
13;115,724441;5,228092;27,496553;0,846971;16980
14;118,543850;5,211915;27,392013;0,848546;17172
15;103,592037;4,889995;27,977540;0,854268;17281
16;102,557461;4,976866;28,021131;0,851648;17377
17;102,646939;4,937014;28,017344;0,846454;17623
18;104,512422;4,829024;27,939124;0,848037;17751
19;111,488145;5,218429;27,658517;0,832939;17841
20;119,784721;5,496246;27,346789;0,823437;18116
21;134,247654;5,864073;26,851737;0,817718;18223
22;151,677425;6,286329;26,321594;0,806694;18374
23;135,350359;5,930802;26,816209;0,813870;18541
24;147,920488;6,343239;26,430520;0,804023;18777
25;148,206906;6,102793;26,422119;0,808277;18941
26;135,070385;5,777795;26,825202;0,818888;19095
27;120,688225;5,315076;27,314155;0,828298;19389
28;123,313706;5,337708;27,220690;0,829643;19582
29;119,000304;5,265943;27,375323;0,831263;19726
30;120,015674;5,304947;27,338424;0,825509;20033
31;111,924318;5,285997;27,641559;0,827000;20203
32;123,381137;5,432145;27,218316;0,817888;20389
33;126,041392;5,364288;27,125672;0,820499;20632
34;121,311913;5,479730;27,291769;0,815793;20868
35;127,785762;5,598327;27,065979;0,813331;21042
36;133,888905;5,847580;26,863358;0,815878;21198
37;139,915912;6,248437;26,672133;0,797333;21430
38;150,965964;6,482982;26,342013;0,796076;21595
39;183,500759;7,359763;25,494425;0,764320;21731
40;193,075261;7,666166;25,273537;0,758569;21990
41;189,445645;7,661165;25,355957;0,755934;22114
42;178,325998;7,426578;25,618657;0,749397;22221
43;159,167978;7,076614;26,112247;0,775700;22372
44;185,115304;7,661759;25,456380;0,761274;22549
45;166,340445;7,246507;25,920825;0,775942;22685
46;163,432980;7,253176;25,997407;0,785768;22747
47;171,107426;7,501175;25,798115;0,767822;22974
48;160,001344;7,239051;26,089567;0,786475;23062
49;184,520093;7,714712;25,470367;0,767538;23117
50;183,593249;7,683152;25,492237;0,778672;23314
51;182,617167;7,540198;25,515388;0,785480;23347
52;184,838900;7,486376;25,462870;0,785356;23414
53;161,906239;6,813075;26,038168;0,810921;23464
54;165,533977;6,864430;25,941932;0,801050;23604
55;153,671436;6,533426;26,264872;0,816019;23694
56;145,347630;6,257892;26,506724;0,825441;23758
57;151,079945;6,388870;26,338735;0,808262;23954
58;131,305465;5,890192;26,947976;0,825986;24042
59;143,260433;6,148345;26,569541;0,818262;24106
60;128,771399;5,688107;27,032609;0,825941;24300
61;121,761961;5,507851;27,275687;0,835201;24391
62;130,111649;5,629545;26,987642;0,829931;24559
63;113,844684;5,222772;27,567676;0,843986;24653
64;115,497806;5,284155;27,505066;0,841858;24835
65;102,575364;4,904406;28,020373;0,852041;25012
66;103,736213;4,923016;27,971500;0,853456;25187
67;107,932390;4,998306;27,799286;0,852558;25381
68;95,624752;4,631099;28,325100;0,864943;25679
69;98,629228;4,532418;28,190747;0,867393;25927
70;94,984472;4,615720;28,354277;0,865814;27048
71;93,680622;4,534307;28,414306;0,871492;27181
72;94,995716;4,540368;28,353763;0,864983;27311
73;89,623569;4,396187;28,606581;0,872904;27434
74;95,549045;4,580578;28,328540;0,869751;27526
75;88,885695;4,405590;28,642485;0,876715;27619
76;88,352304;4,456666;28,668625;0,880961;27692
77;101,424979;4,674880;28,069354;0,872832;27759
78;91,715184;4,458529;28,506391;0,881609;27839
79;99,507593;4,535559;28,152241;0,878498;27855
80;89,981363;4,301699;28,589278;0,885331;27902
81;79,611669;4,066944;29,121036;0,892442;27904
82;74,195150;3,888168;29,427048;0,899355;27917
83;66,646819;3,655581;29,893009;0,904984;27963
84;66,220731;3,708995;29,920864;0,904049;27948
85;62,555842;3,558274;30,168125;0,904673;27954
86;63,646392;3,524169;30,093066;0,907507;27949
87;67,043391;3,624826;29,867244;0,902463;27955
