Slice;MSE;MAE;PSNR;SSIM;Weight
0;180,119088;8,045958;25,575206;0,692995;2981
1;135,915613;6,703919;26,798110;0,742525;4823
2;115,056941;5,816924;27,521675;0,792030;6937
3;152,757944;6,140968;26,290766;0,794172;9378
4;165,313147;6,696056;25,947730;0,784132;12170
5;148,105823;5,844138;26,425082;0,795964;15148
6;144,493014;5,915827;26,532335;0,781768;17464
7;138,484790;6,090136;26,716783;0,774091;18705
8;151,128513;6,466920;26,337340;0,758502;19710
9;157,799285;6,541719;26,149753;0,753788;20686
10;149,323831;6,423302;26,389512;0,745824;21363
11;135,025906;6,189884;26,826633;0,750717;21887
12;144,451143;6,158274;26,533594;0,747990;22044
13;139,395364;6,009727;26,688320;0,756637;22000
14;120,843129;5,716400;27,308584;0,771090;21897
15;134,344493;5,869156;26,848605;0,776169;21774
16;119,827847;5,574060;27,345226;0,788301;21719
17;118,110238;5,394382;27,407928;0,793226;21644
18;116,824738;5,377841;27,455455;0,800474;21562
19;116,599693;5,373424;27,463830;0,803992;21501
20;112,103472;5,272337;27,634613;0,811119;21455
21;112,974086;5,261054;27,601015;0,821820;21417
22;104,474280;5,094463;27,940710;0,821628;21384
23;111,159721;5,216660;27,671329;0,818688;21356
24;115,026201;5,281650;27,522836;0,815729;21335
25;119,853410;5,472887;27,344300;0,815765;21318
26;111,152752;5,184007;27,671601;0,825369;21309
27;115,064927;5,512323;27,521374;0,816906;21301
28;109,778206;5,212451;27,725642;0,824984;21299
29;104,533909;5,193790;27,938232;0,824961;21322
30;109,307833;5,105142;27,744291;0,824025;21333
31;105,937067;5,362053;27,880324;0,826193;21356
32;102,935937;5,196591;28,005133;0,827914;21354
33;96,500445;4,901680;28,285510;0,829940;21369
34;88,489349;4,758993;28,661894;0,840323;21406
35;86,552175;4,646817;28,758024;0,845711;21428
36;89,056490;4,743556;28,634148;0,844347;21455
37;93,258964;4,951150;28,433898;0,846370;21474
38;90,346653;4,702889;28,571683;0,851719;21497
39;91,588183;4,807031;28,512409;0,851490;21563
40;89,353578;4,823813;28,619684;0,852563;21602
41;80,116117;4,520423;29,093605;0,858844;21642
42;85,389757;4,530217;28,816746;0,852037;21693
43;76,354981;4,352313;29,302430;0,858334;21742
44;82,979439;4,532792;28,941099;0,849257;21789
45;84,324240;4,378707;28,871279;0,855160;21848
46;88,305494;4,595350;28,670926;0,847975;21935
47;80,089059;4,443202;29,095072;0,850159;22008
48;80,973730;4,445149;29,047362;0,849609;22078
49;86,033341;4,568419;28,784136;0,839550;22165
50;89,680390;4,797025;28,603829;0,836370;22249
51;84,572273;4,630198;28,858524;0,846590;22339
52;87,483302;4,818595;28,711552;0,840640;22458
53;81,669842;4,705773;29,010186;0,848249;22571
54;72,933853;4,470912;29,501512;0,855885;22707
55;75,023292;4,647636;29,378842;0,848709;22840
56;72,081706;4,574814;29,552553;0,856657;22997
57;80,555954;4,798773;29,069827;0,852106;23153
58;80,060353;4,755673;29,096629;0,852408;23313
59;75,571672;4,660868;29,347213;0,856243;23454
60;79,147453;4,780139;29,146434;0,859170;23533
61;69,610591;4,457986;29,704050;0,867459;23623
62;74,106370;4,613306;29,432248;0,855293;23719
63;69,265735;4,475429;29,725619;0,860863;23768
64;79,146549;4,827986;29,146484;0,854704;23876
65;76,642387;4,691920;29,286113;0,860931;23984
66;80,854768;4,787949;29,053747;0,856347;24065
67;75,622730;4,589808;29,344280;0,858347;24118
68;76,346205;4,665289;29,302929;0,861476;24188
69;78,238390;4,518606;29,196605;0,863840;24267
70;76,950899;4,495771;29,268667;0,857661;24358
71;70,705810;4,282046;29,636253;0,866576;24457
72;72,511161;4,243055;29,526755;0,868482;24550
73;64,849605;4,075238;30,011730;0,872476;24655
74;60,151182;3,914771;30,338362;0,878609;24745
75;62,052621;3,841815;30,203202;0,879855;24876
76;64,359134;4,019841;30,044702;0,877649;24999
77;65,692874;4,101420;29,955621;0,877433;25133
78;66,773002;4,050140;29,884795;0,878993;25269
79;69,256811;4,258506;29,726179;0,872201;25365
80;58,535493;4,066437;30,456611;0,881058;25498
81;61,600117;4,049785;30,234988;0,877495;25610
82;55,135367;3,877614;30,716501;0,888045;25730
83;52,611782;3,794860;30,919973;0,888870;25836
84;56,529607;3,959652;30,608044;0,886415;25974
85;52,633673;3,829721;30,918167;0,887175;26116
86;54,804448;3,880803;30,742646;0,888577;26259
87;60,692646;4,103007;30,299443;0,878567;26406
88;50,735371;3,836769;31,077695;0,884689;26539
89;46,486447;3,827892;31,457540;0,888247;26710
90;52,658404;3,730460;30,916127;0,884888;26868
91;45,904348;3,549565;31,512265;0,889511;27025
92;46,366742;3,629946;31,468738;0,894793;27169
93;48,786824;3,694220;31,247778;0,889312;27353
94;42,977396;3,578551;31,798403;0,894294;27517
95;41,142005;3,533991;31,987949;0,901555;27654
96;44,196837;3,476334;31,676892;0,901724;27825
97;42,633816;3,560143;31,833262;0,904733;27975
98;47,627826;3,602872;31,352196;0,898279;28132
99;45,616921;3,404221;31,539544;0,901223;28284
100;51,073174;3,567355;31,048875;0,897027;28439
101;56,441657;3,710612;30,614806;0,893180;28581
102;62,240834;3,812507;30,190050;0,889127;28721
103;55,771342;3,882812;30,666693;0,884273;28851
104;50,864869;3,930882;31,066624;0,887276;28994
105;52,374678;4,002438;30,939590;0,883598;29121
106;53,617697;4,074531;30,837722;0,870107;29236
107;48,338534;3,890199;31,287869;0,883714;29353
108;54,200210;3,935254;30,790794;0,882014;29469
109;57,026418;4,063931;30,570043;0,869674;29563
110;51,588402;3,899013;31,005283;0,885300;29677
111;63,349247;3,991634;30,113389;0,881974;29764
112;58,833941;4,083548;30,434524;0,875926;29899
113;50,533682;3,859568;31,094994;0,883373;29986
114;60,224755;3,951753;30,333053;0,884730;30095
115;61,177624;4,210181;30,264878;0,870216;30193
116;59,187273;4,189320;30,408520;0,875186;30282
117;59,968191;4,202509;30,351594;0,880921;30369
118;56,697469;4,226012;30,595167;0,881439;30463
119;60,683573;4,395780;30,300092;0,878826;30522
120;70,356956;4,570053;29,657733;0,875780;30634
