Slice;MSE;MAE;PSNR;SSIM;Weight
0;37247,542704;109,018636;26,438124;0,439819;5983
1;62553,763561;143,588643;24,186566;0,425518;11817
2;52535,525762;126,582514;24,944570;0,483152;14440
3;62211,289164;139,127339;24,210408;0,462692;14535
4;58957,987586;129,174379;24,443674;0,471963;15305
5;47830,427823;111,701632;25,352058;0,508881;17367
6;45834,176175;106,845961;25,537206;0,557253;17528
7;43841,907140;103,947348;25,730206;0,579025;17618
8;44039,860410;104,065447;25,710641;0,564125;17709
9;45342,530823;103,490601;25,584043;0,579655;17795
10;36706,495462;96,536282;26,501671;0,577592;17850
11;35041,490656;92,006360;26,703275;0,603096;17925
12;32246,380434;87,815926;27,064291;0,619546;17990
13;29023,772924;85,287421;27,521562;0,616621;18038
14;28155,711760;82,894051;27,653435;0,626075;18096
15;28043,737036;81,108551;27,670742;0,641788;18147
16;25283,147080;77,137987;28,120789;0,665066;18201
17;23331,201227;73,848635;28,469730;0,669452;18263
18;24404,693962;73,827942;28,274367;0,660403;18318
19;23969,313660;73,902672;28,352545;0,664958;18367
20;21486,830496;69,581878;28,827377;0,691278;18442
21;21180,965145;67,723001;28,889643;0,694505;18505
22;19601,192846;67,024907;29,226275;0,695961;18564
23;20826,863031;67,193397;28,962862;0,710174;18632
24;18302,504865;64,734604;29,523995;0,701057;18706
25;17431,326051;63,224896;29,735796;0,729355;18767
26;16133,462752;62,091727;30,071825;0,725446;18833
27;16368,738357;62,020110;30,008948;0,731134;18896
28;14473,273187;58,377964;30,543433;0,755468;18976
29;16094,195173;62,901259;30,082408;0,737200;19060
30;15872,200732;62,451392;30,142729;0,745897;19130
31;16382,092439;64,048701;30,005406;0,744829;19191
32;19365,775286;68,611228;29,278751;0,727970;19260
33;17360,365780;67,045121;29,753512;0,727805;19334
34;16059,936272;64,266776;30,091662;0,752817;19395
35;16924,885829;66,557349;29,863843;0,735152;19462
36;18010,501639;68,680706;29,593843;0,724691;19520
37;16672,338772;65,632492;29,929136;0,739278;19553
38;17347,257085;67,345336;29,756792;0,724475;19620
39;19038,932954;70,457238;29,352675;0,717314;19673
40;16094,204454;65,379268;30,082405;0,735180;19711
41;17971,626473;69,158179;29,603227;0,717126;19779
42;16884,807667;66,690076;29,874140;0,727159;19825
43;18153,013494;69,978235;29,559613;0,710483;19860
44;18104,235755;70,439016;29,571298;0,698619;19919
45;23266,787066;77,626320;28,481736;0,673699;19978
46;25525,638460;78,730206;28,079334;0,684722;20031
47;25279,306635;79,395067;28,121449;0,682599;20076
48;26380,905840;83,213852;27,936203;0,660972;20136
49;23344,611147;79,239844;28,467234;0,665516;20185
50;23584,199160;79,724981;28,422890;0,667494;20245
51;21499,355652;76,353350;28,824846;0,672878;20312
52;17104,718342;69,280492;29,817941;0,705018;20358
53;16633,379959;68,062347;29,939296;0,723299;20418
54;16218,879187;67,526913;30,048892;0,720925;20478
55;13486,382233;60,102377;30,850146;0,744080;20532
56;13891,347644;62,625316;30,721657;0,750870;20590
57;14823,279841;62,625109;30,439658;0,749394;20651
58;14096,823882;61,057313;30,657888;0,759208;20702
59;14472,980456;61,493610;30,543521;0,746803;20774
60;15643,201688;59,947138;30,205844;0,758152;20854
61;18121,492940;62,441284;29,567161;0,753575;20893
62;16742,016794;60,973127;29,911023;0,758803;20960
63;17106,447077;62,371408;29,817502;0,750797;21021
64;17998,309276;66,937355;29,596783;0,729974;21075
65;17486,675246;69,208424;29,722028;0,732290;21136
66;15570,291753;68,052262;30,226133;0,734021;21196
67;17885,136175;73,151776;29,624178;0,732187;21208
68;18333,527451;75,050711;29,516640;0,740703;21238
69;17734,696729;74,937297;29,660863;0,742078;21245
70;19176,189545;79,595877;29,321478;0,729630;21272
71;23749,265461;88,779690;28,392599;0,712844;21295
72;26973,042597;91,188989;27,839801;0,716069;21316
73;25325,644830;90,861641;28,113495;0,712742;21325
74;27194,498524;93,484488;27,804290;0,710950;21347
75;30973,164140;92,906607;27,239245;0,731572;21372
76;25343,733620;87,034630;28,110395;0,743580;21383
77;24418,427710;84,102487;28,271923;0,747873;21393
78;25110,673705;83,549966;28,150517;0,759429;21407
79;26515,431988;88,590702;27,914113;0,741368;21408
80;25575,666729;86,042301;28,070831;0,743680;21412
81;29606,718447;89,182751;27,435198;0,741982;21424
82;25355,894334;84,689869;28,108311;0,744531;21426
83;25070,485185;83,450656;28,157473;0,757516;21431
84;28612,277213;88,804397;27,583576;0,741192;21442
85;23862,289635;83,552959;28,371979;0,745857;21427
86;25284,034529;86,833501;28,120637;0,732652;21431
87;27375,067693;89,398355;27,775548;0,733450;21435
88;25646,365214;89,652281;28,058842;0,722559;21434
89;27899,000000;95,280533;27,693214;0,706164;21440
90;32233,901064;99,430955;27,065972;0,700418;21428
91;30040,045189;100,704974;27,372095;0,703514;21421
92;30126,909447;97,917681;27,359555;0,710854;21435
93;32825,877612;99,961859;26,986937;0,729932;21440
94;29483,428465;96,019920;27,453321;0,734619;21423
95;35549,121598;109,636897;26,640812;0,701993;21423
96;40173,302095;114,813016;26,109725;0,688123;21427
97;34685,138697;105,855656;26,747666;0,715019;21428
98;34479,489942;105,522999;26,773492;0,690110;21425
99;34596,501470;104,356285;26,758779;0,681978;21433
100;29629,507658;99,315360;27,431856;0,699181;21416
101;31027,904571;100,640646;27,231576;0,706518;21419
102;30442,427671;96,719058;27,314307;0,705251;21423
103;27882,425623;93,574890;27,695795;0,700728;21418
104;27619,656844;92,701069;27,736917;0,707804;21413
