Slice;MSE;MAE;PSNR;SSIM;Weight
0;41464,588083;108,174336;25,972327;0,622326;8475
1;44357,821063;103,179694;25,679398;0,698004;18174
2;37010,233028;92,932139;26,465882;0,724101;18221
3;36319,975511;93,283221;26,547645;0,726532;18294
4;32334,553007;87,983117;27,052432;0,752177;18488
5;34979,036370;90,671440;26,711022;0,744200;18559
6;32880,877217;86,186760;26,979666;0,763062;18659
7;30558,703487;83,289930;27,297751;0,768640;18758
8;28230,443454;80,399367;27,641923;0,772380;18852
9;31917,163868;83,458647;27,108857;0,772399;19119
10;32101,630801;83,928941;27,083829;0,764053;19220
11;30693,943919;82,176020;27,278573;0,767627;19365
12;35786,966651;89,284834;26,611851;0,765912;19521
13;32303,792483;86,657577;27,056566;0,764473;19661
14;31501,646445;85,585800;27,165768;0,761013;19946
15;34216,965860;88,386919;26,806686;0,756603;20094
16;32167,440979;87,393506;27,074935;0,753512;20264
17;32068,395441;87,945666;27,088328;0,752904;20443
18;28574,953111;83,615462;27,589245;0,745936;20602
19;23426,032474;75,403641;28,452113;0,776354;20940
20;23954,098373;75,459209;28,355302;0,779736;21083
21;25956,648750;77,444636;28,006614;0,767499;21284
22;22076,165658;71,871330;28,709864;0,780968;21490
23;21385,034673;70,499255;28,848001;0,787208;21804
24;20300,385266;71,076199;29,074058;0,785014;21990
25;23815,570436;75,692943;28,380490;0,773998;22162
26;19321,448819;71,624670;29,288703;0,784953;22352
27;24437,226936;80,606464;28,268581;0,770365;22557
28;21820,228217;78,016351;28,760508;0,786756;22873
29;22136,390911;78,297246;28,698032;0,785538;23105
30;25950,050307;83,261588;28,007719;0,778526;23257
31;21595,608699;78,554989;28,805446;0,783355;23450
32;24751,487713;83,007508;28,213088;0,772192;23643
33;23005,149998;80,932336;28,530850;0,774594;23927
34;22330,926375;82,007349;28,660033;0,764154;24068
35;26179,745412;87,432695;27,969447;0,761671;24196
36;23933,281458;82,257208;28,359078;0,788087;24366
37;24079,878349;82,332034;28,332557;0,796431;24595
38;22865,557293;80,406704;28,557283;0,801311;24689
39;21397,483853;77,023102;28,845473;0,814884;24803
40;24775,564314;80,880318;28,208865;0,813335;24917
41;26921,685069;83,751459;27,848078;0,811515;25015
42;30550,569142;88,622425;27,298907;0,807050;25238
43;33278,921504;92,144382;26,927408;0,799339;25339
44;26577,482203;84,169914;27,903962;0,806228;25454
45;23620,389602;81,766853;28,416230;0,815738;25544
46;22727,394512;80,354576;28,583604;0,820025;25619
47;24321,211153;84,976509;28,289248;0,805280;25787
48;24752,506357;85,203370;28,212909;0,810119;25879
49;23672,806852;83,105062;28,406603;0,816546;25918
50;26916,707295;89,675457;27,848881;0,793717;25975
51;28941,439042;93,462815;27,533900;0,790362;26059
52;27821,950844;91,491255;27,705225;0,798046;26243
53;28049,323765;93,073110;27,669877;0,792613;26337
54;26332,189467;90,017190;27,944231;0,807742;26411
55;30781,034217;98,384753;27,266268;0,789895;26478
56;32989,206540;102,618419;26,965382;0,779642;26668
57;33587,972319;104,134422;26,887263;0,774290;26733
58;35687,429019;105,720510;26,623948;0,768356;26831
59;31681,684711;99,073543;27,141018;0,784498;26896
60;31574,614615;97,086336;27,155720;0,789962;26973
61;31061,702749;95,271277;27,226848;0,786912;27142
62;31248,317507;96,281071;27,200834;0,786553;27212
63;31234,281443;96,786591;27,202785;0,777734;27295
64;27244,469429;91,700091;27,796317;0,787537;27395
65;29868,762938;94,156863;27,396928;0,789206;27457
66;28606,880852;91,339904;27,584395;0,796702;27621
67;27550,891850;89,156059;27,747743;0,794688;27693
68;29419,593101;89,234651;27,462734;0,803626;27771
69;23454,250449;79,574538;28,446885;0,823830;27838
70;23950,320683;79,657615;28,355987;0,827342;27878
71;24175,684530;78,674315;28,315313;0,828010;28047
72;21693,257989;73,643958;28,785853;0,834448;28102
73;19653,343380;70,073245;29,214736;0,840697;28135
74;15879,127025;62,809747;30,140834;0,852179;28152
75;14112,360949;59,489516;30,653103;0,855592;28281
76;14134,469432;58,336031;30,646306;0,854253;28298
77;12645,070291;55,724448;31,129888;0,863966;28325
78;11850,226536;53,761374;31,411834;0,867060;28331
79;11842,431666;53,990854;31,414692;0,863167;28346
80;11224,705700;52,804254;31,647351;0,869112;28454
81;12102,439580;54,592660;31,320371;0,857907;28459
82;12760,143565;56,555874;31,090545;0,860081;28475
