Slice;MSE;MAE;PSNR;SSIM;Weight
0;68574,522727;159,961870;23,787473;0,289368;1056
1;62196,857510;149,277289;24,211416;0,451452;1558
2;62019,107532;146,806445;24,223846;0,453072;2111
3;59799,868950;146,646105;24,382098;0,450517;2686
4;74717,192811;157,310596;23,414895;0,434949;3283
5;60276,890937;142,601446;24,347592;0,438663;3906
6;60682,913417;139,699287;24,318436;0,432274;4539
7;59769,446596;132,888974;24,384308;0,497600;5215
8;63635,044776;135,385918;24,112137;0,494605;5896
9;54670,419663;130,016557;24,771576;0,506845;6591
10;54776,597865;128,307401;24,763150;0,507509;7306
11;48786,539746;119,866925;25,266101;0,559638;8026
12;58425,916239;125,382888;24,483045;0,585629;8763
13;65807,907241;135,373485;23,966319;0,553421;9487
14;73262,091513;141,352513;23,500307;0,543151;10228
15;68704,595729;133,947949;23,779243;0,567074;10958
16;83367,625310;150,436424;22,939126;0,523471;11679
17;77327,489362;146,754695;23,265761;0,519232;12408
18;88535,533216;158,809626;22,677924;0,522317;13111
19;82603,941130;151,735681;22,979093;0,535151;13793
20;84107,940862;154,940220;22,900731;0,499412;14407
21;81087,090897;149,422241;23,059583;0,517900;14995
22;83699,109278;150,872519;22,921892;0,497038;15520
23;80404,749406;147,312867;23,096284;0,528431;16002
24;76735,734764;143,323226;23,299124;0,515177;16408
25;74145,544670;142,981013;23,448250;0,494441;16801
26;80227,104980;148,931304;23,105889;0,493868;17108
27;82939,660393;152,717637;22,961478;0,504184;17373
28;78497,773029;148,097787;23,200527;0,519898;17597
29;80593,392245;152,372732;23,086106;0,508219;17744
30;86944,672005;157,558982;22,756671;0,509973;17857
31;85800,785885;157,576390;22,814188;0,522166;17967
32;88702,039047;159,598985;22,669765;0,512979;18081
33;87485,296370;159,118014;22,729750;0,521930;18180
34;90203,417569;159,792597;22,596870;0,524292;18282
35;87395,102165;156,642327;22,734229;0,533249;18382
36;88780,654506;157,481827;22,665917;0,524054;18475
37;90448,177644;162,376159;22,585102;0,509683;18554
