Slice;MSE;MAE;PSNR;SSIM;Weight
0;4334,707006;54,235669;11,761206;0,088532;157
1;675,388496;18,827447;19,835267;0,325567;991
2;643,052866;16,642787;20,048337;0,428811;2024
3;848,125915;20,668451;18,846200;0,403057;3550
4;704,528702;19,470909;19,651817;0,426713;5139
5;645,032829;18,816919;20,034985;0,419630;6549
6;475,040353;14,967718;21,363499;0,490356;7930
7;369,848546;12,268218;22,450564;0,580242;9455
8;277,710182;10,377091;23,694886;0,614228;11000
9;261,837002;9,126094;23,950493;0,666102;12221
10;240,296707;8,328376;24,323325;0,694645;13515
11;219,910659;7,282846;24,708341;0,721945;14842
12;209,857090;6,870385;24,911567;0,751679;16171
13;283,720185;8,117146;23,601901;0,716643;17508
14;321,471434;8,708739;23,059380;0,719172;18571
15;310,776488;8,547247;23,206322;0,716545;19377
16;289,991969;8,387567;23,506944;0,729809;20172
17;233,847435;7,221503;24,441477;0,753443;21309
18;233,113918;6,949435;24,455122;0,762985;22288
19;197,515329;6,364554;25,174796;0,769964;23094
20;152,580118;5,604245;26,295824;0,787740;23790
21;146,306300;5,401409;26,478173;0,794256;24414
22;162,239777;5,769309;26,029230;0,779120;24431
23;167,694819;5,935074;25,885607;0,771739;24474
24;159,087736;5,780803;26,114437;0,770979;24494
25;162,562198;5,826959;26,020608;0,770523;24422
26;169,477003;5,830368;25,839696;0,776854;24394
27;158,953333;5,725374;26,118107;0,777347;24364
28;143,379492;5,371196;26,565933;0,789428;24351
29;162,434624;5,748380;26,024018;0,777541;24382
30;155,949439;5,645910;26,200965;0,784484;24426
31;163,387861;5,733080;25,998606;0,776754;24483
32;154,802724;5,594846;26,233018;0,782170;24524
33;157,318512;5,629669;26,163005;0,781569;24605
34;153,169352;5,621417;26,279085;0,783095;24700
35;151,838706;5,632872;26,316979;0,783666;24787
36;142,215973;5,432709;26,601320;0,788102;24929
37;116,404943;5,005541;27,471089;0,797765;25085
38;120,893415;5,076359;27,306777;0,801883;25210
39;117,674428;5,075927;27,423983;0,799019;25340
40;117,202807;5,035402;27,441423;0,795144;25507
41;141,289392;5,463369;26,629708;0,791369;25716
42;144,507456;5,499343;26,531901;0,796633;25886
43;131,464361;5,110387;26,942723;0,802865;26081
44;125,854485;5,042621;27,132117;0,811134;26231
45;140,173322;5,238768;26,664150;0,808366;26419
46;138,228281;5,249041;26,724835;0,807917;26590
47;132,035716;5,066238;26,923889;0,808467;26767
48;136,607427;5,171779;26,776061;0,812933;26930
49;132,498893;5,133801;26,908681;0,814675;27100
50;158,977725;5,549478;26,117441;0,810784;27295
51;158,911064;5,710613;26,119262;0,810602;27503
52;177,251686;6,326828;25,644900;0,791406;27721
53;254,444906;7,892387;24,074866;0,753092;27952
54;316,039620;8,690207;23,133388;0,740539;28193
55;445,611066;10,095220;21,641244;0,706887;28429
56;420,058635;9,738953;21,897704;0,724462;28447
57;466,997502;9,956762;21,437658;0,717527;28424
58;511,707778;10,513444;21,040583;0,700025;28451
59;461,574731;9,966958;21,488383;0,705164;28509
60;516,548670;10,435776;20,999691;0,688484;28611
61;541,722631;10,649890;20,793034;0,696029;28691
62;619,504066;11,009141;20,210362;0,708105;28772
63;631,345824;11,358221;20,128130;0,692097;28876
64;644,772484;11,505649;20,036739;0,685668;28943
65;545,210838;11,056288;20,765159;0,688311;29065
66;503,757351;10,337897;21,108590;0,699225;29145
67;537,648704;10,460986;20,825818;0,698596;29246
68;438,092658;9,157981;21,715144;0,737173;29377
69;264,442963;7,092398;23,907483;0,786133;29481
70;150,585104;5,344638;26,352983;0,836190;29605
71;87,651262;4,253487;28,703222;0,864096;29753
72;101,734835;4,564761;28,056107;0,852661;29887
73;95,690389;4,503830;28,322120;0,855911;30028
74;95,745736;4,514268;28,319609;0,851772;30138
75;108,976157;4,937597;27,757489;0,839972;30239
76;101,054230;4,910892;28,085259;0,842283;30334
77;98,344662;4,940944;28,203296;0,845090;30395
78;101,117514;5,108522;28,082540;0,840466;30473
79;100,883349;5,089003;28,092609;0,843953;30527
80;93,924121;5,021152;28,403032;0,833789;30588
81;83,310805;4,745652;28,923790;0,840954;30643
82;82,049075;4,749544;28,990067;0,848633;30688
83;85,004748;4,746016;28,836372;0,854250;30750
