Slice;MSE;MAE;PSNR;SSIM;Weight
0;299,344690;8,254853;23,369088;0,761614;5254
1;126,427902;5,372256;27,112374;0,827644;18995
2;126,492976;5,392688;27,110139;0,822076;20431
3;144,066050;5,820638;26,545187;0,815996;20651
4;132,130774;5,542052;26,920764;0,822135;20784
5;146,400698;5,839558;26,475372;0,815749;20911
6;130,957808;5,538204;26,959490;0,819908;21189
7;144,462251;5,840861;26,533260;0,810438;21365
8;143,923191;5,803629;26,549496;0,814494;21495
9;137,065674;5,660333;26,761517;0,819573;21683
10;147,888540;5,859376;26,431458;0,814718;21945
11;140,518512;5,696569;26,653468;0,823508;22094
12;136,345024;5,729971;26,784411;0,816848;22268
13;136,744026;5,840715;26,771720;0,813539;22557
14;119,425102;5,418855;27,359847;0,835025;22731
15;132,945260;5,811784;26,894075;0,820516;22963
16;134,463772;5,614801;26,844751;0,831651;23214
17;136,021542;5,681963;26,794727;0,827919;23535
18;127,377673;5,599425;27,079871;0,826319;23666
19;121,946989;5,462926;27,269093;0,835461;23844
20;141,135964;6,101921;26,634427;0,819681;23999
21;156,903882;6,424446;26,174467;0,811808;24241
22;166,103225;6,722163;25,927023;0,797912;24374
23;167,498675;6,965559;25,890690;0,789093;24535
24;154,475032;6,736425;26,242221;0,806268;24752
25;140,232215;6,419401;26,662326;0,817222;24895
26;139,389435;6,374501;26,688505;0,824110;25044
27;152,544067;6,586762;26,296850;0,815626;25155
28;160,252239;6,758613;26,082763;0,810767;25341
29;143,045378;6,346026;26,576065;0,826160;25475
30;159,193584;6,759525;26,111548;0,811590;25591
31;134,988763;6,331039;26,827827;0,824406;25719
32;127,321597;6,139526;27,081783;0,831199;25902
33;130,510753;6,313546;26,974341;0,824465;25993
34;136,965189;6,602592;26,764702;0,819359;26084
35;160,089282;7,140702;26,087181;0,802586;26254
36;185,710845;7,818040;25,442431;0,784814;26363
37;157,682559;7,254792;26,152967;0,803309;26449
38;174,055893;7,675775;25,723916;0,789940;26497
39;160,008401;7,282928;26,089376;0,807317;26664
40;159,519150;7,198085;26,102675;0,808324;26736
41;153,637469;7,018086;26,265832;0,820863;26817
42;141,817942;6,633131;26,613492;0,830035;26887
43;155,391446;6,854460;26,216533;0,818475;27051
44;129,707127;6,245118;27,001165;0,838012;27138
45;148,739621;6,639907;26,406537;0,824144;27218
46;132,952155;6,227672;26,893850;0,832321;27443
47;115,133045;5,799905;27,518804;0,844435;27502
48;116,856205;5,804753;27,454286;0,844855;27560
49;107,562688;5,492524;27,814187;0,853122;27621
50;101,859504;5,363718;28,050788;0,856202;27766
51;104,803286;5,336916;27,927055;0,853479;27817
52;92,399742;5,029270;28,474096;0,862381;27878
53;81,466230;4,701564;29,021027;0,872215;27939
54;73,077476;4,350780;29,492968;0,882740;28086
55;70,986923;4,211514;29,619020;0,889613;28140
56;67,196138;4,143090;29,857360;0,891037;28276
57;61,575727;3,988524;30,236708;0,897117;28319
58;69,846256;4,160065;29,689372;0,889836;28476
59;53,655676;3,614769;30,834647;0,902424;28601
60;56,709993;3,623700;30,594208;0,900987;28751
61;51,062204;3,471608;31,049808;0,908290;28969
62;50,822502;3,408750;31,070243;0,908616;29189
63;63,030712;3,749110;30,135281;0,898433;30053
64;57,418716;3,658514;30,540269;0,902432;30092
65;58,210872;3,659615;30,480763;0,903272;30113
66;55,898572;3,609262;30,656796;0,907017;30189
67;45,727537;3,374094;31,529025;0,913721;30217
68;46,378244;3,403736;31,467661;0,915445;30245
69;41,916738;3,284808;31,906929;0,919547;30266
70;52,056431;3,517494;30,966060;0,913942;30267
71;60,115160;3,642496;30,340964;0,908119;30271
72;53,336483;3,547434;30,860560;0,909611;30263
73;56,164711;3,541574;30,636168;0,912575;30247
74;43,771517;3,286182;31,718888;0,922173;30243
75;42,498808;3,270708;31,847036;0,922466;30206
76;40,633053;3,265807;32,042009;0,925144;30176
77;38,059565;3,141483;32,326165;0,927692;30152
78;40,239871;3,247682;32,084238;0,926219;30087
79;37,723897;3,146644;32,364638;0,926045;30025
80;37,186724;3,141828;32,426924;0,928301;29980
81;39,207533;3,219898;32,197108;0,925516;29923
82;37,348531;3,146260;32,408068;0,925468;29851
83;38,015580;3,181922;32,331187;0,927303;29782
84;38,429269;3,170879;32,284182;0,925750;29711
85;38,408309;3,212093;32,286552;0,922612;29605
86;39,810164;3,239743;32,130864;0,922045;29515
87;46,611475;3,265897;31,445875;0,920534;29455
88;47,481321;3,300630;31,365576;0,923022;29365
89;42,019377;3,285114;31,896308;0,919645;29262
90;41,501303;3,228918;31,950186;0,921345;29172
91;41,116129;3,268721;31,990681;0,920873;29071
92;44,255272;3,411314;31,671153;0,920247;28973
93;43,977836;3,366256;31,698465;0,920398;28876
94;42,148618;3,335269;31,882970;0,919547;28765
95;45,444921;3,451411;31,555950;0,917123;28659
96;45,086382;3,418944;31,590350;0,919037;28536
97;49,397939;3,584336;31,193715;0,916992;28434
98;43,674646;3,388366;31,728510;0,918870;28280
99;42,593213;3,362509;31,837400;0,920683;28140
100;43,566462;3,442543;31,739281;0,918556;27986
101;43,646706;3,439363;31,731289;0,920151;27838
102;43,923660;3,419274;31,703818;0,920873;27705
103;45,516472;3,505140;31,549118;0,918851;27531
104;45,101432;3,511108;31,588900;0,922509;27368
105;46,007467;3,495200;31,502520;0,917829;27185
106;49,153570;3,623200;31,215253;0,918125;27017
107;49,012969;3,649722;31,227693;0,917977;26833
108;50,837112;3,680794;31,068995;0,915227;26638
109;47,173341;3,508527;31,393837;0,915286;26445
110;47,927630;3,580559;31,324944;0,914155;26254
111;52,740116;3,764437;30,909393;0,911397;26027
112;51,613650;3,696741;31,003158;0,912687;25803
113;53,707507;3,756640;30,830454;0,907348;25563
114;55,225432;3,804089;30,709412;0,908745;25338
115;58,592959;3,962761;30,452349;0,901913;25081
116;57,756653;3,955631;30,514783;0,903145;24837
117;59,916158;4,010221;30,355364;0,898078;24558
118;69,894403;4,351715;29,686380;0,888791;24281
119;63,110034;4,124308;30,129819;0,893318;24029
120;71,165691;4,394374;29,608097;0,885902;23749
121;77,991423;4,528312;29,210335;0,882747;23435
122;73,368942;4,453028;29,475681;0,889307;23131
123;78,462041;4,625186;29,184208;0,883917;22814
124;77,440325;4,530782;29,241132;0,887450;22497
125;89,821537;4,954843;28,596999;0,877529;22167
126;88,882655;4,906014;28,642633;0,877629;21833
127;89,675799;5,002372;28,604051;0,874071;21499
128;106,929189;5,539163;27,839841;0,859104;21155
129;103,950521;5,370495;27,962537;0,862724;20837
130;95,472327;5,219188;28,332029;0,860450;20471
131;95,102256;5,197655;28,348895;0,866813;20126
132;95,577461;5,276124;28,327249;0,867588;19752
133;87,054127;5,153910;28,732910;0,865526;19362
134;95,469346;5,253713;28,332164;0,866549;18986
135;89,688207;5,311901;28,603450;0,871426;18570
136;96,641062;5,409523;28,279187;0,869957;18187
137;95,935214;5,321852;28,311023;0,869300;17797
138;95,408260;5,488550;28,334944;0,865770;17337
139;96,032228;5,444353;28,306634;0,867243;16973
140;95,151841;5,622785;28,346632;0,866763;16537
141;99,605668;5,715553;28,147963;0,858501;16126
142;90,742815;5,442618;28,552681;0,871948;15693
143;99,064395;5,759653;28,171628;0,861897;15203
144;110,926928;6,023885;27,680434;0,847397;14821
145;104,013832;6,196717;27,959893;0,846851;14315
146;103,786859;6,190903;27,969380;0,847631;13850
147;109,196639;6,259522;27,748711;0,852233;13390
148;122,934314;6,756868;27,234072;0,826516;12849
149;106,093546;6,214407;27,873914;0,854779;12411
150;100,255041;6,365393;28,119741;0,830580;11853
151;102,086584;6,395146;28,041117;0,840112;11330
152;96,042087;6,325132;28,306188;0,855194;10811
153;143,512661;7,847181;26,561901;0,793347;10110
154;95,971485;6,446456;28,309381;0,825044;9609
155;120,873627;7,456573;27,307488;0,819148;8831
156;117,023518;7,425021;27,448072;0,806227;8249
157;115,574096;7,422922;27,502199;0,806740;7713
158;183,421352;9,043725;25,496305;0,777063;7044
159;109,698096;7,118660;27,728813;0,812802;6565
160;174,907064;9,016000;25,702730;0,775293;5875
161;187,135590;9,055787;25,409240;0,792831;5288
162;99,029794;6,788922;28,173145;0,839963;4766
163;157,634419;8,462324;26,154293;0,796523;4114
164;68,951564;5,685580;29,745362;0,847095;3613
165;58,882098;5,256179;30,430971;0,839060;2994
166;76,463425;5,698365;29,296266;0,857687;2324
167;151,071225;7,925926;26,338986;0,783648;1755
Total;88,337691;4,802178;28,882738;0,865002;3870583
