Slice;MSE;MAE;PSNR;SSIM;Weight
0;176,079607;7,900729;25,673713;0,748868;3153
1;51,567674;3,271348;31,007028;0,896261;19978
2;51,165479;3,170209;31,041033;0,908105;33829
3;43,564575;3,017903;31,739469;0,911576;34185
4;39,008931;2,996340;32,219163;0,914457;34152
5;41,509273;2,990464;31,949352;0,912044;34186
6;38,622509;2,923611;32,262399;0,916467;34128
7;30,804906;2,701870;33,244605;0,923040;34163
8;37,602531;2,869277;32,378633;0,917949;34141
9;31,110909;2,725303;33,201677;0,921567;34154
10;30,456181;2,648599;33,294049;0,925472;34186
11;34,723097;2,843759;32,724619;0,919487;34178
12;35,156155;2,894874;32,670790;0,917830;34216
13;51,026565;3,200671;31,052840;0,912927;34255
14;75,208270;3,576869;29,368148;0,906372;34292
15;42,350249;3,053891;31,862244;0,917201;34347
16;46,994795;3,188561;31,410306;0,916687;34392
17;59,223054;3,355470;30,405896;0,915250;34467
18;41,343216;3,033123;31,966761;0,920500;34538
19;34,435849;2,878489;32,760696;0,919963;34606
20;37,395009;2,895124;32,402667;0,920073;34660
21;38,540385;2,878111;32,271643;0,920214;34679
22;43,796029;2,998646;31,716456;0,917263;34701
23;53,112439;3,187648;30,878841;0,906626;34730
24;50,601025;3,062457;31,089210;0,914998;34744
25;50,575867;3,078153;31,091370;0,914747;34765
26;57,889349;3,206736;30,504817;0,908041;34740
27;48,756569;2,965455;31,250472;0,915842;34708
28;50,826704;3,116646;31,069884;0,909990;34669
29;49,143567;3,069892;31,216137;0,910283;34639
30;44,750917;2,997805;31,622784;0,912538;34631
31;37,724878;2,777476;32,364525;0,918218;34621
32;42,861085;2,988007;31,810172;0,913515;34604
33;37,320421;2,854648;32,411338;0,917386;34592
34;36,500925;2,831349;32,507765;0,917667;34598
35;37,283744;2,869359;32,415608;0,917742;34591
36;38,785159;2,932414;32,244148;0,917503;34593
37;42,499278;2,999509;31,846988;0,913222;34612
38;39,922604;2,970121;32,118615;0,915420;34640
39;46,128625;3,110130;31,491099;0,910534;34659
40;43,075898;3,024511;31,788460;0,912496;34678
41;48,161505;3,199044;31,303803;0,902769;34711
42;42,972866;2,995218;31,798860;0,914773;34716
43;39,593152;2,920802;32,154603;0,916027;34723
44;41,794212;2,970027;31,919642;0,913504;34798
45;47,512014;3,097172;31,362769;0,914114;34794
46;45,500718;3,009707;31,550621;0,916639;34822
47;52,726632;3,193020;30,910503;0,910005;34898
48;43,857944;2,983412;31,710321;0,916661;34965
49;40,842925;2,906339;32,019635;0,918349;34945
50;46,767511;3,160412;31,431361;0,909857;34935
51;38,471888;2,836253;32,279369;0,918766;34932
52;39,735539;2,899671;32,139012;0,917221;34905
53;46,117445;3,087668;31,492151;0,910461;34893
54;39,579061;3,016374;32,156149;0,914559;34872
55;43,822842;3,151789;31,713798;0,912216;34805
56;48,895207;3,225775;31,238141;0,903777;34716
57;40,558951;3,051622;32,049936;0,915779;34656
58;49,371426;3,313142;31,196047;0,910754;34486
59;57,749213;3,457040;30,515343;0,904853;34288
60;56,343178;3,556607;30,622390;0,904739;33927
61;57,830587;3,597506;30,509228;0,903173;33439
62;57,936982;3,687278;30,501245;0,897150;32943
63;36,514022;3,134911;32,506207;0,908251;32199
64;40,823072;3,224755;32,021747;0,909067;31363
65;47,036378;3,435667;31,406465;0,896818;30925
66;31,175540;2,834397;33,192664;0,915390;30392
67;35,483626;2,999325;32,630524;0,907294;29651
68;46,765833;3,382523;31,431517;0,895347;29227
69;37,258912;3,124669;32,418502;0,904304;28724
70;39,943672;3,194789;32,116324;0,906291;28210
71;46,486748;3,416856;31,457512;0,898880;27657
72;38,446522;3,157460;32,282233;0,910507;27226
73;41,026043;3,296578;32,000207;0,905783;26917
74;53,631660;3,839218;30,836591;0,886396;26595
75;32,001595;3,057524;33,079087;0,912915;26337
76;36,708325;3,249300;32,483158;0,913079;26053
77;48,208207;3,648880;31,299594;0,894826;25806
78;38,501545;3,533273;32,276022;0,900761;25561
79;35,905858;3,587550;32,579151;0,897428;25334
80;58,211950;4,402441;30,480682;0,873436;25072
81;39,745098;3,673511;32,137968;0,895834;24837
82;39,505825;3,822178;32,164192;0,884970;24637
83;66,247493;4,842359;29,919109;0,850531;24429
84;47,833574;4,251622;31,333475;0,879453;24203
85;41,770805;4,135350;31,922075;0,878803;23997
86;64,673956;5,037386;30,023509;0,841344;23779
87;43,609431;4,229931;31,734999;0,867277;23581
88;43,284121;4,295790;31,767518;0,868641;23395
89;81,311470;5,714076;29,029285;0,825918;23174
90;52,116979;4,694718;30,961011;0,857214;22910
91;51,754679;4,831052;30,991307;0,841350;22652
92;80,817889;5,784945;29,055729;0,807651;22371
93;50,971425;4,596549;31,057536;0,838480;22082
94;48,620286;4,685483;31,262628;0,836386;21719
95;76,004912;5,808234;29,322387;0,802320;21375
96;59,400124;5,037465;30,392930;0,818983;21006
97;58,996782;4,923557;30,422520;0,837632;20512
98;111,974350;6,685291;27,639618;0,774925;20117
99;112,454891;6,566458;27,621020;0,793460;19486
100;103,704112;6,421965;27,972844;0,792299;18338
