Slice;MSE;MAE;PSNR;SSIM;Weight
0;130094,713689;190,502173;21,006504;0,451027;5983
1;44774,258103;111,717102;25,638816;0,580629;11817
2;34797,088089;98,441603;26,733671;0,616493;14440
3;29568,275198;93,268971;27,440841;0,618722;14535
4;25497,951258;86,354459;28,084048;0,685372;15305
5;23934,601486;81,661319;28,358839;0,674341;17367
6;27033,712460;83,585043;27,830044;0,674354;17528
7;21677,150187;76,631229;28,789079;0,701775;17618
8;24518,474448;80,365224;28,254166;0,700364;17709
9;26626,105760;82,757432;27,896024;0,674016;17795
10;28248,909804;83,872325;27,639083;0,693661;17850
11;29395,299972;86,802252;27,466322;0,677520;17925
12;20525,216231;75,819358;29,026223;0,697149;17990
13;21023,253132;75,929025;28,922102;0,716185;18038
14;21952,256410;77,190795;28,734309;0,710469;18096
15;22376,095663;77,423410;28,651258;0,701560;18147
16;18883,866161;74,133289;29,388191;0,711329;18201
17;18160,437168;72,493607;29,557838;0,704102;18263
18;16498,732176;69,748915;29,974594;0,705109;18318
19;19003,696630;72,840781;29,360720;0,690339;18367
20;14657,605032;66,065306;30,488470;0,706250;18442
21;15148,839773;65,855613;30,345307;0,716204;18505
22;12899,475113;63,059349;31,043380;0,718893;18564
23;16271,321597;67,797439;30,034872;0,716439;18632
24;18539,882391;69,672405;29,468031;0,705791;18706
25;13280,187563;62,610440;30,917058;0,740752;18767
26;14552,195826;66,251686;30,519815;0,726317;18833
27;15515,226080;66,572965;30,241520;0,735036;18896
28;14769,499157;65,847702;30,455443;0,737311;18976
29;16586,321931;68,417707;29,951600;0,732986;19060
30;18005,970099;71,689696;29,594935;0,710630;19130
31;16708,160283;69,931452;29,919814;0,721846;19191
32;18362,591900;71,876194;29,509760;0,728518;19260
33;17261,012517;69,537046;29,778438;0,741968;19334
34;18488,783295;72,774542;29,480017;0,725565;19395
35;19161,117254;74,133298;29,324892;0,720236;19462
36;18782,813115;73,157531;29,411494;0,724973;19520
37;20040,241804;74,416400;29,130071;0,714746;19553
38;18096,959021;72,487060;29,573044;0,725308;19620
39;19864,525797;75,199728;29,168318;0,719666;19673
40;22897,759018;80,240297;28,551171;0,697571;19711
41;23097,729107;78,176507;28,513408;0,714978;19779
42;18994,104010;73,339950;29,362913;0,712802;19825
43;23202,532931;79,675881;28,493747;0,693745;19860
44;22830,571013;78,947676;28,563933;0,689479;19919
45;25373,783161;80,437957;28,105248;0,681253;19978
46;28132,915581;81,273482;27,656953;0,689862;20031
47;31485,864116;84,221390;27,167944;0,686904;20076
48;28305,744934;85,166002;27,630355;0,667684;20136
49;28364,850731;88,522232;27,621295;0,637661;20185
50;32358,564386;92,371227;27,049208;0,627478;20245
51;25748,545096;82,497692;28,041574;0,677653;20312
52;19419,429021;72,925883;29,266736;0,709943;20358
53;19780,049760;73,726424;29,186827;0,723099;20418
54;18763,147964;73,297331;29,416044;0,714175;20478
55;14969,938827;68,225173;30,396900;0,725763;20532
56;17939,933560;72,225176;29,610892;0,711868;20590
57;16003,317612;70,013492;30,107000;0,705198;20651
58;17506,590668;71,380585;29,717085;0,711383;20702
59;14524,313854;65,005512;30,528145;0,723309;20774
60;15570,300182;67,756504;30,226130;0,693172;20854
61;15402,269468;66,447076;30,273253;0,703415;20893
62;16134,372519;67,264265;30,071580;0,717244;20960
63;17899,829694;69,493257;29,620612;0,718439;21021
64;18625,935943;74,282349;29,447920;0,722169;21075
65;17386,925057;74,225504;29,746873;0,724938;21136
66;21171,046613;79,849759;28,891677;0,717700;21196
67;18380,134289;79,705076;29,505614;0,715360;21208
68;20965,736133;84,162910;28,933999;0,705060;21238
69;25792,099412;87,325665;28,034233;0,713609;21245
70;21419,402783;85,505089;28,841027;0,727985;21272
71;23709,099789;89,358635;28,399950;0,718143;21295
72;23682,468005;86,641666;28,404831;0,742276;21316
73;19693,074607;81,619414;29,205965;0,753640;21325
74;22446,025015;85,649283;28,637706;0,742247;21347
75;21298,799925;81,517365;28,865549;0,768505;21372
76;19526,683440;78,505331;29,242816;0,775680;21383
77;16708,424625;75,168051;29,919745;0,784050;21393
78;18041,132714;75,265597;29,586462;0,787999;21407
79;17077,124066;74,641723;29,824953;0,788583;21408
80;17709,043901;75,934400;29,667149;0,789725;21412
81;22478,594473;80,845885;28,631409;0,786942;21424
82;19921,963969;77,279666;29,155779;0,783747;21426
83;17756,495544;73,209469;29,655528;0,801271;21431
84;22056,014178;78,884666;28,713830;0,787872;21442
