Slice;MSE;MAE;PSNR;SSIM;Weight
0;175611,083212;236,597742;19,703581;0,421596;2740
1;115732,275604;173,522819;21,514556;0,474820;10145
2;70394,346577;120,859600;23,673723;0,684886;18928
3;53359,749475;102,707113;24,876962;0,702860;24780
4;47820,375747;103,830880;25,352971;0,690344;25102
5;52271,434696;107,504000;24,966456;0,692660;25190
6;54431,163151;111,928083;24,790624;0,677637;25314
7;50345,110517;111,719993;25,129527;0,680881;25444
8;40990,260148;105,333082;26,022294;0,697304;25547
9;45180,082090;111,968009;25,599630;0,685846;25679
10;46670,049506;111,540567;25,458718;0,697144;25815
11;40562,325313;105,689721;26,067872;0,706170;25975
12;38767,350251;102,971294;26,264439;0,704319;26127
13;34162,478498;96,381965;26,813607;0,712112;26416
14;31017,493422;88,766315;27,233034;0,742893;26602
15;32906,753991;90,899181;26,976250;0,737891;26751
16;29066,960761;85,710752;27,515104;0,755550;26912
17;28631,886707;85,839055;27,580601;0,755161;27045
18;27144,097988;84,708767;27,812346;0,753131;27187
19;23927,573462;79,776695;28,360114;0,771223;27327
20;23030,181990;79,161891;28,526127;0,775681;27463
21;20501,178055;74,671809;29,031313;0,788778;27615
22;20083,223528;72,641417;29,120766;0,797195;27746
23;21488,909822;75,926264;28,826957;0,785584;27856
24;20253,609038;74,435275;29,084076;0,792297;27972
25;23222,705555;78,386214;28,489972;0,792691;28046
26;22448,381209;77,008948;28,637250;0,801043;28163
27;22210,536247;76,445975;28,683510;0,809853;28237
28;23776,108093;79,892672;28,387693;0,805840;28420
29;21546,173553;76,465363;28,815399;0,813469;28510
30;24951,607843;82,047295;28,178115;0,804650;28560
31;23480,242424;81,370075;28,442075;0,803983;28578
32;20130,284118;75,311793;29,110601;0,820262;28636
33;20760,464156;74,351168;28,976730;0,823702;28680
34;21611,375252;78,092351;28,802276;0,813052;28722
35;23227,553609;80,900619;28,489066;0,813919;28773
36;23828,410367;81,987874;28,378150;0,806696;28823
37;23932,211445;84,144719;28,359272;0,796751;28887
38;25323,769327;88,377930;28,113817;0,785456;28924
39;26508,465553;89,733890;27,915255;0,789756;28972
40;27480,018196;90,415268;27,758931;0,791824;29018
41;31688,115838;97,179759;27,140136;0,781154;29075
42;25424,441837;87,276757;28,096586;0,802365;29151
43;27593,713718;88,655546;27,740999;0,797762;29181
44;30541,493437;91,587706;27,300198;0,792272;29331
45;25632,712758;82,968684;28,061155;0,809420;29362
46;22130,843949;78,597910;28,699121;0,810017;29407
47;20195,987095;74,154464;29,096450;0,817941;29447
48;18446,307797;70,147619;29,490006;0,828297;29500
49;19390,147785;70,799517;29,273289;0,828623;29543
50;17774,603634;67,385795;29,651101;0,835333;29551
51;16182,826234;63,919506;30,058557;0,838761;29580
52;15809,512228;63,651403;30,159916;0,833760;29604
53;13758,992977;58,392119;30,763234;0,847710;29616
54;14090,991229;59,424382;30,659685;0,839934;29644
55;13518,533392;57,352051;30,839804;0,847889;29663
56;13463,322930;56,691319;30,857578;0,848967;29669
57;14156,678574;58,110476;30,639487;0,847152;29674
58;13606,537855;56,676726;30,811624;0,850237;29666
59;13318,806864;59,510902;30,904447;0,828447;29777
60;12682,300743;55,500774;31,117120;0,847062;29733
61;12134,112432;55,300339;31,309020;0,846534;29689
62;11174,151814;52,851252;31,666955;0,859576;29681
63;11740,777118;54,301606;31,452132;0,853078;29648
64;12276,418749;55,144236;31,258384;0,851992;29612
65;12971,927214;54,859095;31,019056;0,855136;29566
66;12942,652352;55,224434;31,028868;0,848254;29527
67;11031,234037;51,467552;31,722860;0,862262;29474
68;11406,483180;52,692745;31,577583;0,857590;29430
69;12058,912553;53,774250;31,336019;0,854443;29412
70;11040,532680;50,939811;31,719200;0,862835;29376
71;11858,152002;53,604876;31,408930;0,847930;29368
72;10903,718533;50,728062;31,773354;0,856285;29332
73;11207,197462;51,655686;31,654131;0,853652;29317
74;10218,053285;49,569975;32,055419;0,861143;29389
75;10679,534795;51,234807;31,863577;0,855583;29372
76;10076,448432;50,399416;32,116025;0,853319;29427
77;10613,517185;50,397701;31,890508;0,860326;29415
78;10769,140607;51,330437;31,827290;0,853367;29458
79;9818,243449;50,510606;32,228762;0,850762;29501
80;9854,825797;51,276387;32,212611;0,848488;29569
81;9309,904897;49,881362;32,459648;0,856254;29631
82;9208,003767;48,352513;32,507446;0,865619;29734
83;8976,561732;48,058369;32,618000;0,866819;29879
84;9804,072406;50,963117;32,235035;0,860936;30329
85;8844,591844;48,791828;32,682323;0,871425;30285
86;8769,794007;49,041514;32,719206;0,867549;30234
87;8858,977188;47,587993;32,675265;0,874929;30160
88;9130,200711;48,746321;32,544297;0,871749;30103
89;9715,457704;52,047779;32,274468;0,854809;30050
90;10364,300467;53,563005;31,993700;0,853350;29980
91;10268,491054;49,745615;32,034034;0,879985;29903
92;10510,305655;49,753574;31,932947;0,881850;29831
93;9386,072540;49,503538;32,424262;0,877750;29749
94;9935,216421;51,140231;32,177327;0,872126;29669
95;9366,407900;50,485184;32,433370;0,867732;29571
96;9216,769554;48,347627;32,503313;0,879221;29482
97;10033,109040;49,380170;32,134745;0,878036;29402
98;10750,484975;53,365581;31,834820;0,860035;29317
99;10058,172809;51,968133;32,123910;0,860383;29223
100;10084,999038;50,039824;32,112342;0,878864;29100
101;10022,625560;52,859723;32,139286;0,856988;28998
102;10860,308886;52,930315;31,790679;0,864076;28878
103;10803,687513;50,772948;31,813381;0,876526;28750
104;12019,306007;53,217441;31,350307;0,867426;28617
105;11066,136726;54,271396;31,709140;0,862099;28451
106;10388,955772;55,277165;31,983382;0,846992;28308
107;9907,116292;52,403185;32,189628;0,872091;28136
108;9440,597938;51,578510;32,399105;0,875916;27936
109;10608,582038;55,124009;31,892527;0,864214;27737
110;10518,284281;53,404997;31,929651;0,875166;27515
111;12101,385675;57,077615;31,320750;0,863529;27308
112;12217,223752;56,145371;31,279376;0,868267;27097
113;13543,380951;58,552076;30,831829;0,865509;26867
114;13634,482397;59,016291;30,802714;0,854758;26671
115;13008,428998;57,742181;31,006851;0,860474;26443
116;14664,265143;59,850024;30,486497;0,860815;26250
117;14074,298271;60,043392;30,664833;0,855365;26030
118;15477,846309;64,844299;30,251995;0,837468;25805
119;16490,007727;63,427454;29,976892;0,852168;25625
120;18868,618550;67,879696;29,391699;0,834048;25369
121;19639,675852;68,980402;29,217757;0,830117;25149
122;18902,294935;65,422107;29,383955;0,842060;24914
123;18061,745097;65,678027;29,581503;0,836464;24629
124;15715,990989;62,159031;30,185683;0,843787;24415
125;15015,951145;61,762136;30,383572;0,844964;24071
126;16773,248656;66,153179;29,902929;0,845273;23808
127;15216,089796;62,015567;30,326070;0,856436;23520
128;17590,476601;67,331367;29,696324;0,849703;23185
129;16214,612587;64,675120;30,050035;0,851889;22880
130;14194,596821;61,358569;30,627870;0,863149;22526
131;14488,890654;62,842846;30,538749;0,861414;22159
132;14874,378160;62,912732;30,424713;0,860853;21795
133;16047,267798;66,006334;30,095090;0,861549;21393
134;15486,073630;64,779933;30,249687;0,857299;20997
135;19164,944223;72,401173;29,324025;0,847786;20546
136;16600,285842;67,159432;29,947945;0,856602;20123
137;16947,583596;68,989277;29,858022;0,856502;19654
138;19456,437076;74,621481;29,258467;0,840008;19182
139;17373,605674;71,445190;29,750201;0,837774;18751
140;19928,079434;78,598805;29,154446;0,826187;18229
141;22953,833512;81,517869;28,540548;0,812182;17719
142;19284,524727;77,281330;29,297011;0,820528;17228
143;23169,182917;84,309091;28,499993;0,799508;16718
144;24344,470704;87,835562;28,285097;0,801935;16231
145;22156,382218;84,350329;28,694112;0,809643;15656
146;31377,775894;100,282707;27,182879;0,760339;15100
147;30711,064534;101,068748;27,276152;0,758041;14504
148;43463,520727;120,025061;25,767852;0,704297;13871
149;44691,768600;124,464794;25,646825;0,703802;13293
150;47359,959203;128,355080;25,394987;0,681147;12550
151;65846,295990;163,488940;23,963787;0,617842;11845
152;76237,029147;183,360775;23,327441;0,572514;11116
153;84342,741054;195,104439;22,888623;0,550357;10396
154;87123,675519;202,014157;22,747739;0,483178;9677
155;94979,935159;207,342845;22,372782;0,455450;8945
156;83579,952445;186,685501;22,928080;0,485593;8159
157;73298,220889;175,573630;23,498166;0,460607;7334
158;60135,549040;144,086878;24,357788;0,486672;6617
159;51814,363854;135,570469;25,004599;0,439912;5843
160;57910,409421;137,834372;24,521534;0,443731;5095
161;45166,259565;120,923371;25,600959;0,534399;3999
162;107063,684312;203,820320;21,852678;0,450038;3117
163;78047,301864;177,406411;23,225522;0,490406;2521
164;72462,967136;191,657259;23,547939;0,461448;1704
165;64591,696498;192,434354;24,047333;0,566966;1028
Total;20512,953718;71,054263;29,122767;0,788531;4085979
