Slice;MSE;MAE;PSNR;SSIM;Weight
0;51391,237840;139,635860;25,040210;0,502075;2981
1;33468,599627;105,063705;26,902725;0,600232;4823
2;29616,987170;95,743189;27,433692;0,650025;6937
3;35871,795266;99,682348;26,601569;0,652622;9378
4;34853,750534;108,455444;26,726605;0,578140;12170
5;49483,660945;119,830877;25,204482;0,584268;15148
6;58644,177737;132,214785;24,466852;0,534051;17464
7;70088,201443;141,113606;23,692651;0,549013;18705
8;71174,292846;141,586492;23,625869;0,546140;19710
9;80025,728705;148,121592;23,116804;0,541272;20686
10;71353,346253;140,460645;23,614957;0,562459;21363
11;61735,855622;131,756111;24,243725;0,585477;21887
12;62612,950100;129,327141;24,182459;0,593172;22044
13;62316,509091;129,582614;24,203069;0,596195;22000
14;62337,549071;129,648673;24,201603;0,591722;21897
15;64046,699366;129,604701;24,084133;0,590364;21774
16;52255,070307;117,215226;24,967816;0,625811;21719
17;51984,789503;113,624215;24,990338;0,644197;21644
18;48920,956498;108,273467;25,254151;0,637710;21562
19;53932,678852;116,421725;24,830580;0,599316;21501
20;43283,049359;103,195083;25,785922;0,638838;21455
21;49624,076575;110,063746;25,192176;0,607897;21417
22;39908,363636;99,219744;26,138461;0,646078;21384
23;42046,037086;100,988551;25,911850;0,649135;21356
24;44250,532927;104,012878;25,689915;0,629173;21335
25;34539,201051;92,969363;26,765978;0,664107;21318
26;36282,356563;95,312427;26,552145;0,643256;21309
27;37974,176611;96,113217;26,354217;0,652829;21301
28;39728,281703;100,551857;26,158102;0,626333;21299
29;34098,768971;93,383090;26,821714;0,638889;21322
30;35836,801950;96,899674;26,605808;0,625437;21333
31;39087,217831;103,186833;26,228753;0,601671;21356
32;32183,422310;92,559930;27,072778;0,635589;21354
33;33251,793158;91,123438;26,930950;0,646843;21369
34;29156,759787;84,348179;27,501708;0,668695;21406
35;29552,654097;86,968423;27,443136;0,649158;21428
36;29749,777301;84,645153;27,414264;0,673054;21455
37;31859,175561;87,158063;27,116755;0,671675;21474
38;26414,428804;80,095112;27,930688;0,691934;21497
39;27263,884246;81,390814;27,793224;0,690982;21563
40;28444,681789;83,959170;27,609090;0,686834;21602
41;26776,683855;80,644441;27,871533;0,708223;21642
42;30131,818375;86,578170;27,358847;0,688595;21693
43;26984,451108;82,898957;27,837964;0,691557;21742
44;28944,898068;84,266143;27,533380;0,699125;21789
45;26691,122666;81,137450;27,885432;0,705168;21848
46;28386,148894;84,962167;27,618036;0,697052;21935
