Slice;MSE;MAE;PSNR;SSIM;Weight
0;481250,421969;556,824933;15,325389;0,079225;1493
1;409957,669335;480,713670;16,021710;0,213187;2873
2;317332,860280;411,437836;17,133950;0,232301;4645
3;162779,818667;269,596370;20,033095;0,371868;6750
4;83498,456298;182,983500;22,932316;0,413596;8924
5;56023,214077;148,408723;24,665420;0,442831;11309
6;53110,671587;141,166318;24,897282;0,443472;14092
7;48084,086047;132,729359;25,329087;0,459536;16642
8;49028,745925;131,974236;25,244592;0,507263;19203
9;48659,883272;129,568892;25,277390;0,546805;22274
10;42311,567708;118,846273;25,884509;0,599979;24576
11;36653,088441;105,971978;26,507995;0,644686;26515
12;35414,408055;101,226646;26,657301;0,671921;28207
13;34275,119641;98,621965;26,799311;0,674096;28711
14;32700,115588;96,776634;27,003608;0,662769;28619
15;31491,544726;94,269221;27,167161;0,665834;28563
16;31258,307423;93,488409;27,199446;0,666458;28534
17;31322,834292;94,588370;27,190490;0,659380;28508
18;32327,030005;96,233392;27,053442;0,652375;28495
19;33571,266085;97,857246;26,889423;0,640675;28521
20;32821,399502;96,975099;26,987529;0,640122;28533
21;33962,184262;97,286142;26,839145;0,649799;28568
22;35024,027364;98,298908;26,705440;0,644909;28651
23;37532,712199;100,222492;26,405001;0,639975;28683
24;42999,265851;103,884776;25,814490;0,644468;28768
25;50288,824170;109,825124;25,134385;0,642189;28829
26;50964,438017;114,246653;25,076428;0,634352;28903
27;56891,269479;118,653675;24,598644;0,622751;28993
28;64961,743156;122,296522;24,022524;0,618898;29115
29;65939,938773;118,841592;23,957615;0,626512;29203
30;58415,216943;115,522714;24,483841;0,624405;29321
31;61534,359030;119,403807;24,257924;0,616807;29446
32;65756,193413;121,240135;23,969734;0,609858;29574
33;61016,515634;119,616253;24,294626;0,609365;29711
34;60952,583037;122,060803;24,299179;0,606586;29830
35;46797,964218;110,378377;25,446831;0,623122;30015
36;37940,556516;99,024027;26,358064;0,647954;30195
37;31959,470879;91,729278;27,103104;0,666294;30390
38;29824,757917;87,609919;27,403331;0,678283;30568
39;25756,858099;82,930024;28,040172;0,691852;30789
40;21833,221878;77,128902;28,757922;0,705255;31008
41;19925,403540;74,202697;29,155029;0,714349;31298
42;18796,356937;71,979947;29,408364;0,723538;31591
43;17311,194315;67,857886;29,765830;0,740148;32648
44;16747,350501;65,400069;29,909639;0,754384;33318
45;16392,185240;64,621352;30,002732;0,757155;34161
46;15733,370845;63,271349;30,180883;0,763851;35260
47;15787,382395;64,143877;30,165999;0,758900;36036
48;16184,740005;65,712332;30,058043;0,751160;36443
49;16107,332879;65,898541;30,078864;0,751601;36665
50;16291,907826;65,994633;30,029381;0,758375;36800
51;16767,569958;66,863898;29,904400;0,762487;36908
52;16390,033984;67,058453;30,003302;0,768694;37017
53;16296,172876;67,316838;30,028244;0,772701;37067
54;16010,151593;67,145692;30,105146;0,772949;37152
55;15759,562545;66,857724;30,173659;0,772165;37197
56;15648,649803;66,473383;30,204332;0,767425;37279
57;15465,986629;66,309508;30,255324;0,764168;37394
58;15101,198389;65,277309;30,358986;0,763280;37487
59;14831,283366;64,666656;30,437313;0,761944;37531
60;14774,584490;64,305597;30,453948;0,765067;37691
61;14587,538947;63,513033;30,509280;0,772454;37731
62;14406,871700;63,046154;30,563404;0,781311;37841
63;14428,556391;63,155130;30,556872;0,783073;37923
64;14443,769815;63,390014;30,552295;0,784027;38039
65;14017,238537;62,003810;30,682476;0,793373;38187
66;13480,726056;60,847943;30,851968;0,797105;38267
67;13260,977745;60,522860;30,923345;0,796291;38419
68;13314,048705;60,870184;30,905999;0,793115;38518
69;13518,665840;61,652683;30,839762;0,787540;38688
70;13717,608354;61,654286;30,776317;0,788623;38785
71;13127,376711;59,985319;30,967321;0,794798;38929
72;12612,418311;58,939913;31,141117;0,800102;39081
73;12643,270937;59,175557;31,130506;0,801499;39201
74;12569,656667;59,595584;31,155866;0,799282;39303
75;12633,742183;59,448771;31,133780;0,803312;39431
76;12574,782332;58,601369;31,154096;0,811230;39551
77;12308,202627;58,038213;31,247154;0,812857;39659
78;12263,017840;57,814249;31,263127;0,810422;39798
79;11378,135794;55,968258;31,588389;0,812924;39884
80;10964,081502;54,884851;31,749378;0,816472;40048
81;10658,953846;53,823607;31,871954;0,820643;40105
82;10205,216665;52,866001;32,060878;0,817233;40228
83;10706,417603;53,950193;31,852659;0,809967;40311
84;10638,133538;54,853966;31,880446;0,801637;40453
85;10847,606480;55,987135;31,795761;0,795543;40496
86;11137,349307;57,103010;31,681282;0,798238;40649
87;11661,625670;58,289187;31,481510;0,798964;40702
88;12242,148224;59,893399;31,270524;0,797536;40830
89;13099,134345;62,411467;30,976675;0,788193;40917
90;14230,098025;66,036662;30,617022;0,775771;41010
91;15909,963202;69,962211;30,132409;0,785371;41143
92;17449,383634;73,499727;29,731300;0,788732;41219
93;18153,251977;75,719383;29,559556;0,774763;41349
94;19144,972208;78,182126;29,328553;0,759864;41415
95;20300,591401;80,950195;29,074014;0,752461;41542
96;22292,871071;83,943640;28,667440;0,754534;41581
97;23581,226764;86,595270;28,423437;0,759720;41713
98;23524,337776;87,031669;28,433927;0,767711;41791
99;22918,692311;85,679873;28,547202;0,770144;41906
100;21785,850262;82,334496;28,767355;0,778777;41940
101;20676,160053;79,430024;28,994401;0,787760;42061
102;22854,899780;83,019085;28,559307;0,781499;44013
103;23173,334423;82,694115;28,499215;0,779111;44055
104;23445,542417;82,558590;28,448497;0,777200;44180
105;22474,385064;80,909147;28,632222;0,775615;44242
106;21918,371169;79,831679;28,741018;0,780463;44341
107;22737,654775;81,179791;28,581644;0,771834;44371
108;24498,864742;83,587312;28,257641;0,763612;44441
109;24949,289726;83,068742;28,178518;0,764484;44518
110;24356,752703;81,551771;28,282907;0,766790;44586
111;24067,720497;80,499989;28,334751;0,770199;44622
112;23189,121989;78,592314;28,496257;0,773082;44717
113;21466,501106;74,803710;28,831488;0,784118;44745
114;20161,573993;71,989610;29,103856;0,789957;44849
115;18943,903076;69,796257;29,374406;0,795938;44901
116;18176,854131;68,484474;29,553913;0,797943;44958
117;17737,589845;67,864916;29,660154;0,793285;45061
118;17135,425848;66,945619;29,810152;0,790905;45117
119;16820,295720;66,632627;29,890764;0,793773;45232
