Slice;MSE;MAE;PSNR;SSIM;Weight
0;29203,545487;101,738237;27,494745;0,607261;8475
1;20859,566414;86,586470;28,956048;0,644672;18174
2;18660,292190;84,383472;29,439916;0,643414;18221
3;19563,821144;86,630268;29,234564;0,638453;18294
4;19968,121160;87,193504;29,145729;0,643506;18488
5;22187,879950;91,202045;28,687942;0,623026;18559
6;24326,544402;94,027641;28,288296;0,605960;18659
7;21044,979635;91,454140;28,917615;0,598710;18758
8;20798,295778;90,674710;28,968823;0,597284;18852
9;22103,760239;94,689818;28,704439;0,570305;19119
10;23576,949011;97,829923;28,424224;0,572984;19220
11;25893,380429;100,260399;28,017213;0,577170;19365
12;23226,026536;98,541385;28,489351;0,590215;19521
13;24540,178424;99,169034;28,250323;0,601322;19661
14;21958,324276;94,259357;28,733108;0,616843;19946
15;22507,706579;94,901961;28,625788;0,618551;20094
16;22967,512041;93,795783;28,537961;0,619125;20264
17;21521,392359;91,260939;28,820397;0,632747;20443
18;21596,008155;89,264665;28,805366;0,638543;20602
19;17212,844317;81,898567;29,790574;0,665269;20940
20;17305,002893;80,406833;29,767384;0,676809;21083
21;17018,292802;78,811290;29,839941;0,680227;21284
22;16021,710563;80,784516;30,102012;0,672805;21490
23;16607,842965;81,353215;29,945968;0,683727;21804
24;14631,517599;79,441735;30,496207;0,679638;21990
25;16957,740276;84,270954;29,855420;0,670224;22162
26;14348,632785;78,368289;30,580995;0,695850;22352
27;17237,607129;86,880021;29,784330;0,679885;22557
28;17281,457789;86,659074;29,773297;0,693000;22873
29;16078,219606;85,182958;30,086721;0,688094;23105
30;18801,983403;90,164832;29,407064;0,682498;23257
31;13736,444179;78,812697;30,770357;0,713418;23450
32;20284,782811;91,561963;29,077397;0,678969;23643
33;17860,397375;86,634252;29,630190;0,700629;23927
34;17775,428287;87,947648;29,650900;0,692680;24068
35;20790,672177;93,852486;28,970415;0,695037;24196
36;14933,280801;79,497404;30,407548;0,750227;24366
37;18308,120512;86,309473;29,522663;0,736294;24595
38;17266,627891;82,402001;29,777025;0,756225;24689
39;15679,589727;78,999098;30,195754;0,760910;24803
40;19332,570695;85,355089;29,286204;0,751437;24917
41;17066,342594;79,015806;29,827696;0,772857;25015
42;19610,549172;85,622722;29,224203;0,762756;25238
43;21901,156636;86,752141;28,744430;0,770061;25339
44;17197,987271;79,724469;29,794325;0,787656;25454
45;16292,008769;79,613593;30,029354;0,789215;25544
46;14000,897459;74,126010;30,687542;0,805057;25619
47;15070,415326;77,021304;30,367848;0,798187;25787
48;15192,234630;76,225960;30,332884;0,800866;25879
49;15235,250868;77,092817;30,320604;0,800495;25918
50;17370,482079;83,963677;29,750982;0,770238;25975
51;17269,847039;83,775202;29,776216;0,770938;26059
52;20100,273902;91,273321;29,117081;0,757156;26243
53;20141,281391;92,369793;29,108230;0,739597;26337
54;18640,954148;91,241973;29,444419;0,741163;26411
55;23998,851877;103,072664;28,347196;0,697560;26478
56;23770,369882;104,199490;28,388741;0,690406;26668
57;24559,198593;106,161944;28,246959;0,680914;26733
58;28305,071596;111,782015;27,630458;0,663922;26831
59;22544,621059;100,362703;28,618671;0,703511;26896
60;27282,481296;108,005404;27,790262;0,674948;26973
61;24422,703706;103,484148;28,271163;0,689398;27142
62;23495,065118;101,728961;28,439334;0,694184;27212
63;26644,010112;106,353032;27,893105;0,677753;27295
64;21624,253185;96,197043;28,799689;0,722510;27395
65;25307,364971;103,134629;28,116631;0,697385;27457
66;22463,835487;96,620470;28,634261;0,726053;27621
67;21952,358213;93,642401;28,734289;0,739255;27693
68;22060,037881;91,535208;28,713038;0,748118;27771
69;15411,097924;77,245222;30,270765;0,796948;27838
70;18900,608652;82,620068;29,384342;0,788181;27878
71;16026,287303;73,786492;30,100771;0,822277;28047
72;13672,377482;68,205359;30,790660;0,836031;28102
73;14387,773236;69,028408;30,569164;0,827944;28135
74;10929,336743;60,166538;31,763162;0,851956;28152
75;10481,218062;59,316648;31,944983;0,850168;28281
76;8833,483073;54,817143;32,687781;0,862076;28298
77;8768,519682;53,920203;32,719838;0,864882;28325
78;8813,947125;54,009910;32,697396;0,861381;28331
79;7727,838002;51,404960;33,268521;0,869490;28346
80;8566,938919;52,904675;32,820844;0,866924;28454
81;8395,602375;52,055672;32,908582;0,868746;28459
82;8198,503951;51,909587;33,011754;0,871729;28475
83;10309,684100;54,815962;32,016647;0,863797;28509
84;8221,224392;51,259841;32,999735;0,875190;28517
85;9507,654111;53,575013;32,368367;0,870401;28645
86;8061,237434;51,502176;33,085083;0,870123;28669
87;7331,763918;49,832261;33,497016;0,872763;28668
88;8425,181581;51,810262;32,893308;0,865880;28687
89;7230,956377;48,907774;33,557143;0,876651;28792
90;7503,099875;49,349901;33,396693;0,874522;28796
91;7558,219238;49,338094;33,364905;0,876507;28891
92;6908,605843;47,876119;33,755196;0,879967;28925
93;8036,587339;50,713782;33,098384;0,870374;29019
94;7432,338818;49,519386;33,437846;0,879078;29113
95;7903,742378;50,174902;33,170773;0,874791;29190
96;8392,839386;51,131598;32,910011;0,874127;29269
97;7641,952717;49,296748;33,317057;0,880836;29440
98;8536,390053;51,182926;32,836358;0,873399;29637
99;9246,247754;54,437217;32,489445;0,873174;30498
100;9758,759877;56,248542;32,255154;0,866993;30526
101;10940,726975;58,616246;31,758638;0,862294;30543
102;9099,207335;55,400499;32,559065;0,876212;30540
103;11421,270684;60,011583;31,571956;0,863971;30519
104;10941,709111;57,933831;31,758249;0,876345;30479
105;11808,695652;59,422969;31,427081;0,869869;30452
106;11949,147271;61,119889;31,375732;0,865434;30427
107;9329,836255;56,100009;32,450360;0,882831;30401
108;10310,040423;57,913437;32,016497;0,878036;30329
