Slice;MSE;MAE;PSNR;SSIM;Weight
0;169481,479226;299,546047;19,857878;0,230193;3153
1;14648,487737;68,631263;30,491173;0,674610;19978
2;16805,001153;68,323908;29,894714;0,882785;33829
3;14046,541583;65,347791;30,673406;0,890433;34185
4;12906,143828;64,908754;31,041135;0,892014;34152
5;13419,965600;64,967691;30,871586;0,896096;34186
6;11897,398969;62,438606;31,394580;0,900737;34128
7;10843,075842;60,879782;31,797575;0,905491;34163
8;11439,315310;61,124484;31,565100;0,904764;34141
9;10743,968613;60,348275;31,837453;0,906696;34154
10;10754,811911;60,627044;31,833072;0,906292;34186
11;11619,797531;62,109734;31,497115;0,902415;34178
12;12935,336918;65,622187;31,031323;0,899700;34216
13;16653,252138;69,860969;29,934110;0,891868;34255
14;21915,765310;74,474046;28,741534;0,877035;34292
15;12898,259295;65,096420;31,043789;0,896364;34347
16;15567,403582;69,048558;30,226939;0,892797;34392
17;19928,783358;73,857327;29,154293;0,887478;34467
18;14975,430193;69,196298;30,395307;0,897869;34538
19;14243,036699;67,151065;30,613074;0,899892;34606
20;14626,042239;66,626947;30,497832;0,898088;34660
21;12426,389227;63,832269;31,205651;0,904657;34679
22;12554,642690;63,631509;31,161057;0,903620;34701
23;13619,375986;64,722113;30,807528;0,898766;34730
24;12446,899378;62,868279;31,198489;0,906390;34744
25;12582,332806;62,723939;31,151489;0,905486;34765
26;13456,805066;63,600720;30,859680;0,902233;34740
27;12549,831509;62,223140;31,162721;0,905903;34708
28;12203,671522;61,898281;31,284195;0,906326;34669
29;12300,804065;61,790395;31,249765;0,904556;34639
30;11559,654645;61,070479;31,519652;0,905268;34631
31;11484,170648;60,946015;31,548104;0,905685;34621
32;12002,653104;61,562522;31,356328;0,903001;34604
33;11405,457909;60,817812;31,577973;0,904459;34592
34;10989,536043;60,197905;31,739307;0,905389;34598
35;11067,798213;60,320221;31,708488;0,905170;34591
36;10698,632440;59,336593;31,855818;0,907899;34593
37;10762,004392;59,495269;31,830169;0,907763;34612
38;11159,249885;60,577050;31,672750;0,906566;34640
39;11026,571800;60,305822;31,724695;0,907495;34659
40;11448,671319;61,147385;31,561550;0,905931;34678
41;12170,764081;62,849234;31,295922;0,901717;34711
42;11704,049775;61,991560;31,465739;0,903804;34716
43;11958,384241;62,527100;31,372375;0,902824;34723
44;12820,661417;64,049816;31,069996;0,899237;34798
45;12290,996379;62,830337;31,253230;0,903683;34794
46;12685,143875;63,331809;31,116146;0,902666;34822
47;13188,001605;64,356589;30,947311;0,899425;34898
48;11974,599514;62,168340;31,366491;0,906220;34965
49;12247,491086;62,834755;31,268629;0,906081;34945
50;13120,496465;64,480721;30,969598;0,901737;34935
51;12293,539448;63,267491;31,252331;0,906548;34932
52;13076,587079;64,558287;30,984156;0,904403;34905
53;14580,914223;67,213832;30,511253;0,896827;34893
54;12892,871760;65,441414;31,045604;0,903268;34872
55;13859,331016;66,971893;30,731678;0,900581;34805
56;15479,838691;69,112715;30,251436;0,894223;34716
57;13381,797784;66,336277;30,883956;0,902903;34656
58;14875,711187;67,805001;30,424323;0,899088;34486
59;17789,282315;71,322066;29,647516;0,892699;34288
60;15066,332302;67,776896;30,369025;0,899841;33927
61;16931,486229;69,894584;29,862150;0,896708;33439
62;17385,796315;71,484170;29,747154;0,890045;32943
63;12781,755458;66,409485;31,083196;0,896387;32199
64;14208,979498;68,428921;30,623472;0,892556;31363
65;15327,545740;68,454875;30,294374;0,889185;30925
66;11164,316926;61,964571;31,670779;0,887971;30392
67;11500,120738;63,093108;31,542077;0,878379;29651
68;12726,298286;65,483372;31,102079;0,874620;29227
69;11672,768695;64,954655;31,477362;0,871388;28724
70;12300,785253;67,887123;31,249772;0,855631;28210
71;13899,654771;71,674350;30,719060;0,838288;27657
72;12772,682583;71,723160;31,086280;0,827162;27226
73;12990,345135;73,093714;31,012894;0,823317;26917
74;14883,098327;75,905180;30,422167;0,822732;26595
75;13750,564149;75,813808;30,765895;0,812746;26337
76;14082,048747;77,770463;30,662442;0,802534;26053
77;16045,663799;81,180433;30,095524;0,794845;25806
78;15482,800829;83,419927;30,250605;0,766000;25561
79;16089,081866;85,975912;30,083788;0,756091;25334
80;18079,797064;89,096771;29,577165;0,751152;25072
81;17057,386319;89,754248;29,829976;0,734684;24837
82;16878,981045;90,624163;29,875638;0,727924;24637
83;18698,589381;92,578104;29,431012;0,738923;24429
84;17838,320208;92,599327;29,635561;0,727626;24203
85;17289,683877;91,576833;29,771230;0,738165;23997
86;19089,838934;93,747698;29,341078;0,751205;23779
87;19645,342946;96,898637;29,216504;0,726529;23581
88;19858,367001;98,803270;29,169665;0,717015;23395
89;22270,938120;102,640157;28,671715;0,727950;23174
90;23397,715583;107,022861;28,457366;0,694873;22910
91;22772,403320;107,490266;28,575012;0,693702;22652
92;26555,834607;112,820616;27,907501;0,699945;22371
93;29230,534915;119,772847;27,490732;0,684042;22082
94;30563,899995;124,888370;27,297012;0,675132;21719
95;38426,851556;134,640982;26,302753;0,688891;21375
96;39243,474055;137,042750;26,211426;0,701411;21006
97;45640,748830;147,569776;25,555573;0,701352;20512
98;62577,225630;160,844485;24,184937;0,705926;20117
