Slice;MSE;MAE;PSNR;SSIM;Weight
0;37,743701;4,860411;32,362359;0,933861;3453
1;19,406759;3,431898;35,251274;0,951283;9706
2;59,165322;5,282999;30,410131;0,930779;19205
3;48,403502;4,024587;31,282036;0,918208;31643
4;49,872504;3,718696;31,152192;0,901076;44770
5;39,714911;3,621340;32,141268;0,911296;44779
6;98,584270;4,760538;28,192727;0,880571;58740
7;108,651881;4,770034;27,770431;0,869777;71128
8;96,656031;4,164282;28,278514;0,883142;82900
9;95,987901;4,036915;28,308639;0,888501;90424
10;89,773533;3,930847;28,599320;0,889721;90914
11;95,149655;4,036212;28,346731;0,883540;90936
12;99,937959;4,135500;28,133499;0,880039;91262
13;103,738947;4,219363;27,971385;0,873211;91629
14;101,869010;4,272370;28,050383;0,870983;92022
15;101,282493;4,362940;28,075460;0,870916;92321
16;100,501561;4,398704;28,109076;0,870223;92575
17;103,394445;4,450846;27,985832;0,867336;92535
18;97,984785;4,335934;28,219217;0,867290;92804
19;96,311828;4,367910;28,294007;0,866218;93077
20;90,809110;4,193716;28,549509;0,873224;93410
21;91,340983;4,274469;28,524147;0,871159;93814
22;89,463400;4,237642;28,614350;0,873744;94167
23;90,784322;4,268732;28,550695;0,876528;94168
24;92,134833;4,351606;28,486565;0,875460;94569
25;92,194533;4,466033;28,483752;0,871743;94858
26;90,246244;4,447537;28,576512;0,873893;95125
27;89,154690;4,373409;28,629362;0,878324;95410
28;91,255573;4,415743;28,528210;0,879059;95648
29;96,320717;4,574649;28,293607;0,874785;95695
30;97,392453;4,595142;28,245551;0,872144;95930
31;98,075416;4,561410;28,215202;0,869466;96133
32;96,010950;4,517012;28,307596;0,876340;96344
33;94,616927;4,439887;28,371115;0,879938;96543
34;94,707747;4,392502;28,366949;0,878161;96769
35;92,807079;4,360480;28,454993;0,880163;96843
36;101,571459;4,574757;28,063087;0,877063;97048
37;102,494032;4,631633;28,023818;0,872863;97267
38;96,491499;4,432917;28,285913;0,881646;97402
39;98,737075;4,528342;28,186001;0,879642;97560
40;95,017851;4,480404;28,352752;0,883309;97699
41;100,553746;4,656916;28,106821;0,882962;97877
42;99,269423;4,564809;28,162649;0,880012;98065
43;103,863129;4,795411;27,966190;0,872853;98275
44;94,069318;4,561865;28,396324;0,882514;98488
45;94,957216;4,589120;28,355524;0,883987;98681
46;85,926091;4,432387;28,789553;0,889850;98879
47;90,954529;4,621505;28,542560;0,884233;99140
48;95,014183;4,748573;28,352919;0,882138;99341
49;102,188241;4,843563;28,036794;0,873258;99548
50;98,181756;4,735063;28,210496;0,876534;99771
51;96,076386;4,696057;28,304637;0,881330;99966
52;109,016358;4,956859;27,755887;0,874323;100137
53;97,035331;4,684153;28,261505;0,879310;100365
54;100,445505;4,829570;28,111499;0,877950;100587
55;110,540176;5,072299;27,695602;0,867456;100845
56;120,335981;5,314010;27,326849;0,864558;101089
57;118,162169;5,305906;27,406019;0,865467;101345
58;118,192806;5,412920;27,404893;0,862755;101579
59;125,414772;5,618600;27,147317;0,859078;101762
60;126,921320;5,591381;27,095458;0,852149;101919
61;134,099664;5,815621;26,856527;0,845295;102083
62;148,159453;6,068237;26,423510;0,838275;102174
63;146,855250;5,998719;26,461909;0,841956;102245
64;146,012865;6,025359;26,486892;0,841446;102293
65;143,006752;5,970812;26,577238;0,843130;102338
66;158,962267;6,266662;26,117863;0,837826;102403
67;168,588174;6,470322;25,862533;0,828310;102485
68;165,904529;6,450680;25,932221;0,829028;102565
69;170,342917;6,465108;25,817563;0,831352;102675
70;167,616063;6,483919;25,887647;0,832063;102759
71;177,849282;6,615319;25,630282;0,827748;102854
72;181,759896;6,659198;25,535823;0,824533;102922
73;173,905967;6,536594;25,727659;0,818763;102996
74;171,837462;6,573786;25,779625;0,827261;103028
75;173,062541;6,495055;25,748773;0,829362;103037
76;183,321718;6,650638;25,498664;0,826440;103025
77;185,625847;6,648636;25,444419;0,827047;103030
78;193,069455;6,842110;25,273668;0,824493;102945
79;179,986835;6,626569;25,578396;0,824886;102849
80;195,589915;6,887313;25,217339;0,824351;102647
81;195,871013;6,908553;25,211102;0,821909;102398
82;185,709029;6,710360;25,442473;0,830256;102158
83;195,905724;6,920147;25,210332;0,828927;102062
84;229,816096;7,562476;24,516999;0,810702;101727
85;225,964660;7,489563;24,590398;0,805330;101415
86;236,785202;7,738504;24,387258;0,806193;101011
87;248,121329;7,905770;24,184163;0,801818;100594
88;241,929488;7,735161;24,293916;0,806721;100110
89;278,666934;8,430872;23,679949;0,792512;99830
90;274,648353;8,406517;23,743034;0,791141;99216
91;339,374976;9,515313;22,824005;0,778101;98577
92;330,762153;9,410512;22,935646;0,787489;97588
93;323,665723;8,945515;23,029837;0,797183;95678
94;185,615957;6,633817;25,444651;0,845818;87287
95;211,266994;6,953179;24,882487;0,829892;87268
96;71,411777;4,590057;29,593105;0,875565;74164
97;76,184438;4,836132;29,312141;0,863466;58773
98;109,589991;5,543945;27,733095;0,846960;44738
99;113,434136;5,679452;27,583366;0,849529;31755
100;124,139621;6,033411;27,191699;0,857162;19245
101;168,822759;6,753131;25,856494;0,840406;19245
102;112,736783;6,372439;27,610147;0,841103;9760
Total;137,596975;5,524682;27,374646;0,858554;9174836
