Slice;MSE;MAE;PSNR;SSIM;Weight
0;346,358127;8,181796;22,735550;0,798264;12261
1;217,565906;6,111913;24,754895;0,831317;50959
2;192,897145;5,899982;25,277546;0,837289;88114
3;213,670303;6,306504;24,833362;0,826258;94599
4;209,577983;6,229117;24,917347;0,825586;94598
5;206,506149;6,226067;24,981474;0,822762;94565
6;206,111968;6,180697;24,989772;0,821106;94545
7;207,505228;6,233601;24,960513;0,820932;94490
8;198,465502;6,078355;25,153953;0,821211;94455
9;184,761791;5,883121;25,464682;0,822100;94354
10;182,201014;5,931298;25,525296;0,816933;94277
11;184,214571;5,961078;25,477564;0,819030;94188
12;166,605015;5,556757;25,913923;0,827946;94120
13;163,864189;5,506491;25,985963;0,827998;94057
14;150,602789;5,331493;26,352473;0,827498;94008
15;131,739640;4,945605;26,933639;0,836543;93943
16;130,233366;4,927980;26,983581;0,841480;93891
17;116,115888;4,667548;27,481887;0,844509;93815
18;126,148827;4,920308;27,121971;0,837138;93773
19;118,372468;4,726621;27,398297;0,847393;93694
20;119,105709;4,657218;27,371478;0,848533;93625
21;120,298636;4,780067;27,328197;0,843968;93542
22;117,807334;4,846226;27,419080;0,837625;93488
23;111,771869;4,664076;27,647478;0,844580;93420
24;102,771816;4,434415;28,012063;0,850830;93337
25;104,643864;4,471781;27,933666;0,851785;93234
26;102,215735;4,545698;28,035626;0,845629;93156
27;101,718949;4,428292;28,056785;0,851008;93058
28;96,287971;4,335015;28,295083;0,853704;92978
29;93,763728;4,465718;28,410455;0,848015;92876
30;93,195076;4,482049;28,436874;0,845005;92779
31;91,777837;4,406899;28,503425;0,848897;92684
32;86,893730;4,253432;28,740919;0,854097;92585
33;83,770754;4,268953;28,899879;0,852072;92477
34;82,773363;4,266509;28,951898;0,850974;92346
35;79,941486;4,098961;29,103081;0,860149;92218
36;84,801614;4,134505;28,846762;0,858785;92093
37;73,749791;3,942420;29,453196;0,864675;91959
38;79,325333;4,013019;29,136685;0,861274;91789
39;72,497522;3,804044;29,527572;0,870206;91602
40;77,353260;3,909634;29,246017;0,869806;91417
41;76,683573;3,937133;29,283780;0,866583;91209
42;79,848642;4,088917;29,108128;0,863061;91029
43;83,964295;4,120040;28,889857;0,866269;90828
44;87,153214;4,168007;28,727970;0,865905;90651
45;95,176790;4,388735;28,345493;0,857705;90514
46;100,300884;4,537644;28,117756;0,852828;90387
47;98,679669;4,350555;28,188527;0,862225;90291
48;94,110311;4,270646;28,394432;0,867523;90236
49;102,481831;4,457813;28,024335;0,861144;90181
50;100,596879;4,463692;28,104959;0,862451;90159
51;99,728037;4,343155;28,142631;0,869919;90207
52;103,033488;4,457624;28,001020;0,867751;90240
53;110,113545;4,650875;27,712396;0,864110;90343
54;115,669313;4,748800;27,498622;0,858547;90430
55;118,051991;4,784660;27,410070;0,859574;90573
56;112,504663;4,635809;27,619098;0,865766;90708
57;121,050651;4,879247;27,301132;0,860376;90896
58;132,740066;5,149241;26,900783;0,850120;91027
59;147,958841;5,451314;26,429394;0,848501;91207
60;155,726119;5,607885;26,207189;0,846123;91361
61;161,887397;5,773100;26,038673;0,841127;91516
62;161,939794;5,810852;26,037268;0,838894;91685
63;162,952623;5,774070;26,010190;0,842432;91838
64;164,617635;5,741122;25,966040;0,845640;92001
65;170,266683;5,827819;25,819507;0,840970;92147
66;175,447336;6,010471;25,689336;0,829158;92255
67;178,784468;5,958519;25,607506;0,834115;92427
68;170,045904;5,806915;25,825142;0,839912;92607
69;172,214914;5,863419;25,770096;0,838329;92758
70;179,998547;6,075340;25,578114;0,829899;92926
71;188,755638;6,117955;25,371804;0,832455;93112
72;183,537128;6,061937;25,493564;0,836429;93272
73;185,548347;6,040585;25,446233;0,837919;93459
74;192,374294;6,247622;25,289333;0,831293;93675
75;196,097193;6,264412;25,206090;0,831930;93865
76;199,341066;6,270412;25,134836;0,836273;94064
77;208,221236;6,478498;24,945553;0,832901;94293
78;204,652450;6,398231;25,020634;0,824248;94493
79;192,316392;6,111403;25,290641;0,836803;94737
80;207,888582;6,414949;24,952497;0,829956;94949
81;211,558789;6,553485;24,876493;0,823086;95213
82;217,283946;6,728921;24,760527;0,814578;95437
83;215,868564;6,661611;24,788910;0,819238;95674
84;222,565873;6,766745;24,656218;0,822518;95882
85;154,437503;5,669849;26,243276;0,845244;75732
86;99,908125;4,900690;28,134796;0,837367;33491
Total;142,529102;5,227012;26,815641;0,843151;7865354
