Slice;MSE;MAE;PSNR;SSIM;Weight
0;391,691761;15,732069;22,201359;0,382542;1687
1;237,468306;9,370736;24,374747;0,687375;26914
2;217,044667;7,781524;24,765312;0,755331;55164
3;181,785092;6,895607;25,535221;0,768436;78252
4;180,458996;6,805777;25,567018;0,774106;78626
5;186,841407;7,038385;25,416072;0,760481;78364
6;173,143133;6,843657;25,746751;0,764162;78123
7;152,438355;6,471431;26,299861;0,775280;78003
8;144,902580;6,237035;26,520042;0,789347;77900
9;155,461558;6,423027;26,214573;0,784585;77806
10;147,302502;6,337658;26,448702;0,785751;77768
11;141,466557;6,322612;26,624266;0,785992;77759
12;138,137293;6,410823;26,727694;0,781515;77739
13;124,576775;5,915352;27,176433;0,799463;77805
14;114,645174;5,830539;27,537246;0,801635;77841
15;130,387219;6,181577;26,978453;0,778521;77912
16;125,171922;6,032557;27,155734;0,788964;78047
17;125,810641;6,037626;27,133630;0,791044;78190
18;122,425078;5,756666;27,252100;0,802094;78308
19;125,408896;5,800386;27,147520;0,794627;78306
20;125,840885;5,796036;27,132586;0,799511;78352
21;125,844670;5,689288;27,132455;0,807845;78362
22;128,064180;5,792806;27,056527;0,802210;78342
23;121,379143;5,513812;27,289363;0,815939;78266
24;127,004707;5,691974;27,092605;0,808394;78185
25;130,597443;5,624572;26,971457;0,808320;78220
26;140,137620;5,840785;26,665256;0,804013;78259
27;132,013438;5,506661;26,924622;0,820750;78362
28;133,607098;5,612686;26,872508;0,820553;78386
29;121,996755;5,240494;27,267321;0,832816;78264
30;105,257944;5,036604;27,908255;0,829049;78106
31;83,212401;4,506312;28,928923;0,849578;78027
32;89,220191;4,647654;28,626172;0,841280;77878
33;85,000862;4,486583;28,836570;0,850562;77736
34;87,188986;4,587439;28,726187;0,834920;77540
35;91,063117;4,667378;28,537378;0,835465;77364
36;96,099465;4,713977;28,303594;0,833611;77193
37;97,138708;4,759507;28,256880;0,829202;76946
38;101,480117;5,017214;28,066994;0,816151;76798
39;99,606438;4,963309;28,147930;0,820348;76641
40;94,533297;4,986478;28,374956;0,819184;76614
41;97,581582;5,088811;28,237125;0,809970;76567
42;107,183945;5,499909;27,829506;0,788084;76572
43;99,679191;5,296552;28,144759;0,799674;76678
44;112,413446;5,405487;27,622621;0,798412;76767
45;120,756269;5,678596;27,311707;0,786017;76925
46;123,219317;5,734150;27,224016;0,786473;76957
47;135,774864;6,004809;26,802610;0,775161;76314
48;154,968637;6,480721;26,228365;0,760404;73111
49;164,457892;6,423198;25,970256;0,820161;50038
50;377,715426;10,047859;22,359156;0,730634;25178
Total;129,345508;5,781429;26,934733;0,789920;3729462
