Slice;MSE;MAE;PSNR;SSIM;Weight
0;3044,374743;40,419701;37,314120;0,705604;486
1;10254,257369;65,679824;32,040058;0,399400;3155
2;18624,096477;76,965853;29,448348;0,477861;8458
3;12180,767127;74,643555;31,292354;0,384057;16013
4;25820,290232;95,375517;28,029490;0,406477;25869
5;25774,089828;94,530155;28,037267;0,469181;37249
6;28693,624458;96,025896;27,571246;0,519169;49390
7;27836,030561;94,292663;27,703027;0,530592;59946
8;28451,097376;94,050743;27,608110;0,521543;68600
9;46500,650627;109,191126;25,474510;0,533477;75730
10;49379,150618;112,138509;25,213664;0,554124;79446
11;46822,459957;109,104725;25,444558;0,572426;83686
12;35580,230398;101,426154;26,637012;0,579940;88421
13;43836,714640;106,717372;25,730720;0,594501;90759
14;44836,293977;110,383259;25,632803;0,576808;91082
15;41962,429950;106,693062;25,920494;0,585988;91113
16;42959,527426;107,889175;25,818506;0,571903;91008
17;34139,357967;98,830647;26,816547;0,579481;90905
18;37651,003504;102,736649;26,391335;0,582277;90742
19;32536,780481;97,827446;27,025355;0,576968;90621
20;43958,456432;110,000199;25,718676;0,555222;90445
21;47403,998051;109,112039;25,390951;0,575837;90308
22;44209,389136;106,939723;25,693955;0,572725;90151
23;45049,934148;109,785603;25,612159;0,585784;90020
24;55680,714622;118,445636;24,692052;0,576105;89737
25;59899,371680;122,483114;24,374878;0,561493;89273
26;55465,156563;119,062174;24,708898;0,577023;89057
27;50696,185359;113,596350;25,099347;0,595971;88822
28;48683,386204;109,332223;25,275293;0,581365;88531
29;53237,323442;113,935938;24,886938;0,571242;88430
30;56157,780343;115,799556;24,655001;0,569836;88374
31;55067,514046;116,837608;24,740146;0,556733;88354
32;54074,138992;115,603270;24,819204;0,558740;88307
33;53521,329712;114,368606;24,863831;0,566010;88368
34;49046,437826;109,656739;25,243026;0,582943;88405
35;56924,826440;121,797385;24,596084;0,553166;88350
36;51895,436038;117,864558;24,997808;0,544345;88318
37;50590,761622;115,489459;25,108388;0,556694;88322
38;46783,629999;113,371664;25,448162;0,556886;88389
39;41521,523939;108,384386;25,966367;0,565293;88497
40;50201,577174;118,191108;25,141926;0,560431;88599
41;47276,421795;115,048850;25,402654;0,555118;88536
42;43767,065896;111,430332;25,737626;0,561357;88427
43;43167,760967;109,255319;25,797505;0,574287;88356
44;43706,728012;110,992373;25,743617;0,576786;88243
45;47459,985525;112,416127;25,385824;0,579025;88151
46;42773,762136;110,043764;25,837326;0,582878;88109
47;35948,950452;102,280384;26,592238;0,601345;88097
48;35700,593052;100,715819;26,622346;0,580743;88053
49;33992,700370;97,550635;26,835244;0,590165;88022
50;36528,980222;100,084824;26,522725;0,583321;88029
51;38744,457779;102,401363;26,267004;0,580259;88025
52;37515,551507;102,286334;26,406987;0,571602;88037
53;40940,504014;105,794252;26,027569;0,575684;88069
54;43557,572811;110,506349;25,758464;0,581907;88125
55;48157,397908;114,144713;25,322470;0,572414;88126
56;50725,646717;115,867451;25,096825;0,556468;88156
57;51314,749014;117,465447;25,046678;0,560131;88212
58;50569,458157;115,387927;25,110218;0,557525;88210
59;48587,453777;113,080478;25,283859;0,553068;88235
60;53857,022076;118,685953;24,836677;0,529235;88197
61;56884,483167;121,260505;24,599162;0,523712;88102
62;61801,628399;125,385385;24,239101;0,520323;88003
63;68562,774042;132,348995;23,788216;0,499867;87941
64;71838,360122;137,047310;23,585537;0,489314;87909
65;70668,062415;135,912477;23,656869;0,467340;87863
66;74307,451163;143,791993;23,438777;0,425889;87771
67;72814,708385;139,222558;23,526910;0,458284;87667
68;78072,079884;145,322675;23,224143;0,434596;87627
69;75941,106216;143,862677;23,344331;0,418602;87567
70;79929,299133;145,864913;23,122040;0,444199;87640
71;77600,043029;142,974349;23,250481;0,447794;87754
72;77453,257039;144,676097;23,258704;0,443310;87940
73;76770,691921;143,245358;23,297146;0,446193;88169
74;73722,029408;139,831595;23,473128;0,429861;88412
75;68675,027134;138,508041;23,781112;0,420171;88670
76;66216,328846;135,659581;23,939450;0,420540;88917
77;58841,177397;124,239940;24,452287;0,455827;89139
78;65275,041724;127,533047;24,001629;0,467690;89373
79;69594,244502;131,020799;23,723367;0,454432;89570
80;63034,693949;123,684788;24,153304;0,471089;89727
81;58731,877225;119,016889;24,460362;0,463723;89823
82;55638,879450;113,856952;24,695317;0,471772;89963
83;50898,601433;108,993014;25,082043;0,474998;90178
84;45175,021249;103,905914;25,600117;0,482716;90311
85;47463,477471;104,035273;25,385505;0,492359;90238
86;45936,148330;106,037138;25,527555;0,466401;90285
87;43901,979491;102,706264;25,724260;0,485680;90401
88;45735,466832;102,439871;25,546569;0,513778;90538
89;44251,315371;103,941420;25,689838;0,494993;90782
90;48116,906564;107,770419;25,326124;0,489665;91153
91;45374,989459;103,295459;25,580935;0,523378;93732
92;44887,605755;101,994174;25,627836;0,512545;94743
93;57039,592287;116,872643;24,587336;0,497863;92928
94;62213,549308;120,133787;24,210251;0,511628;88850
95;61498,285095;121,171751;24,260470;0,505465;83039
96;52582,410182;108,787219;24,940695;0,501248;75425
97;46212,200943;103,892209;25,501534;0,521340;66606
98;27584,946270;87,053265;27,742379;0,525759;53769
99;34485,499295;102,349538;26,772735;0,464263;41841
100;48874,119957;124,250600;25,258311;0,432341;32895
101;37033,918436;106,641484;26,463104;0,479637;24349
Total;51215,375181;114,909341;25,545642;0,524701;8280761
