Slice;MSE;MAE;PSNR;SSIM;Weight
0;89621,587503;141,416882;22,624974;0,600083;15108
1;78702,479399;133,735090;23,189216;0,537199;51527
2;97980,169461;157,383710;22,237719;0,517013;71025
3;94280,542375;153,737822;22,404880;0,515175;71257
4;91062,175545;151,083799;22,555721;0,524171;71469
5;85815,234589;144,786778;22,813456;0,524667;71700
6;84594,521072;143,337082;22,875678;0,527793;71944
7;84502,055472;143,206670;22,880428;0,554293;72289
8;97528,260939;157,600952;22,257796;0,526752;72906
9;87756,686424;147,366112;22,716298;0,542486;73931
10;88535,367247;150,763425;22,677932;0,522535;74974
11;70058,356266;126,820580;23,694501;0,567669;76151
12;66019,971213;121,193754;23,952347;0,591056;77397
13;60119,353906;114,547395;24,358958;0,588121;78552
14;57839,136069;109,970993;24,526883;0,623280;79636
15;58887,096428;107,896228;24,448899;0,614586;80879
16;51079,498315;102,774107;25,066634;0,624659;82809
17;42366,382220;92,746846;25,878887;0,634933;83868
18;31687,613481;80,511319;27,140205;0,646548;84591
19;37422,184607;88,815557;26,417809;0,630166;85262
20;33459,775314;83,317280;26,903870;0,657050;85880
21;34324,203592;85,263320;26,793096;0,634980;86467
22;38209,014753;89,131155;26,327443;0,639712;87099
23;44844,491268;96,083646;25,632010;0,627808;87667
24;39260,237365;89,681121;26,209571;0,650630;88151
25;36810,114685;86,851393;26,489429;0,674925;88660
26;41308,028547;90,960377;25,988756;0,673217;89116
27;39275,271429;85,816083;26,207908;0,706876;89600
28;40783,941504;86,663420;26,044209;0,707216;89989
29;39008,369371;86,461249;26,237522;0,690919;90359
30;41163,560721;88,168556;26,003971;0,684163;90685
31;38316,365323;84,867818;26,315258;0,690555;90977
32;36610,162882;83,205592;26,513083;0,697205;91256
33;33454,795684;80,726635;26,904516;0,691294;91471
34;31756,965701;78,480195;27,130711;0,692873;91693
35;28142,398799;72,812578;27,655489;0,726708;91921
36;28080,156861;75,312479;27,665105;0,706764;92107
37;30094,059792;79,375307;27,364293;0,677464;92287
38;30756,833676;78,726103;27,269684;0,701198;92458
39;31551,669569;80,316557;27,158877;0,682113;92582
40;32029,543346;81,115048;27,093593;0,683183;92718
41;33561,929043;84,762145;26,890631;0,661406;92817
42;33558,180973;81,975242;26,891116;0,677609;92920
43;32938,888712;81,149653;26,972011;0,690227;93002
44;31494,571932;78,771368;27,166744;0,698839;93060
45;32005,844925;79,219232;27,096808;0,690661;93116
46;29395,186741;75,042845;27,466338;0,702202;93161
47;27833,037401;72,225968;27,703494;0,716111;93179
48;27727,652193;72,590566;27,719969;0,716933;93247
49;29107,034743;75,312924;27,509121;0,700551;93256
50;29065,908668;74,849038;27,515261;0,703888;93242
51;27003,634319;71,071727;27,834878;0,715275;93207
52;28700,834848;73,651374;27,570155;0,705825;93114
53;31127,488813;77,763901;27,217660;0,687016;93054
54;30301,906864;75,818384;27,334400;0,703154;92982
55;29719,965465;75,817926;27,418618;0,691650;92891
56;30165,479069;76,380715;27,353998;0,689095;92807
57;32807,787942;79,779097;26,989331;0,677716;92767
58;34074,660051;80,309251;26,824785;0,669213;92711
59;33267,264672;79,560187;26,928930;0,676970;92628
60;33494,900338;80,786092;26,899314;0,662950;92603
61;33117,816139;81,927276;26,948484;0,655725;92548
62;32937,105359;79,813749;26,972246;0,668859;92531
63;30284,553428;77,823073;27,336889;0,649988;92507
64;33564,225570;81,998579;26,890334;0,636828;92530
65;33178,211137;82,821993;26,940571;0,628511;92575
66;31768,408191;79,916297;27,129146;0,651907;92643
67;31664,076770;80,753205;27,143433;0,639596;92745
68;31533,363319;80,577032;27,161398;0,651139;92844
69;29660,738360;81,054469;27,427281;0,643350;92979
70;25739,611875;75,450513;28,043080;0,662250;93135
71;25785,768746;76,095155;28,035300;0,657252;93300
72;24213,427795;74,329274;28,308538;0,670047;93498
73;24647,048422;76,541730;28,231451;0,645434;93697
74;26918,540917;76,829028;27,848585;0,666803;93922
75;30525,857917;82,265290;27,302422;0,634649;94114
76;28823,170928;81,757346;27,551683;0,619106;94303
77;30755,591975;82,881989;27,269859;0,621219;94504
78;29610,663963;80,733109;27,434618;0,623937;94683
79;28328,006831;79,338679;27,626940;0,639439;94867
80;26403,400961;78,271700;27,932502;0,633334;95079
81;28436,354691;83,080775;27,610361;0,602100;95283
82;31280,664083;85,046177;27,196341;0,612371;95458
83;29388,696692;83,245719;27,467297;0,612892;95652
84;31287,035230;86,527970;27,195456;0,613126;95799
85;31534,011237;86,844784;27,161308;0,638251;65673
Total;39355,898826;89,423678;26,349962;0,645645;7517051
