Slice;MSE;MAE;PSNR;SSIM;Weight
0;36746,014357;102,419809;26,496998;0,488864;22010
1;51485,940331;117,773720;25,032214;0,580000;69215
2;46980,359010;119,575957;25,429937;0,545131;77346
3;45809,014554;118,482427;25,539591;0,543476;78190
4;49360,010860;126,518230;25,215348;0,512756;78087
5;45772,677922;121,415234;25,543037;0,532872;78009
6;39592,243501;111,123997;26,172999;0,572423;77897
7;46087,938137;123,051162;25,513228;0,522531;77850
8;43258,690926;117,594943;25,788367;0,558362;77826
9;41871,819928;114,758943;25,929882;0,579368;77658
10;41949,606813;116,739561;25,921822;0,563077;77500
11;40200,797558;112,782542;26,106754;0,572620;77316
12;37047,275330;108,091485;26,461538;0,579076;77133
13;38751,987512;110,630681;26,266161;0,568808;76874
14;39288,447423;106,165580;26,206452;0,588491;76706
15;36917,175731;104,530120;26,476816;0,593206;76344
16;37878,471389;103,582597;26,365176;0,609938;75844
17;34587,539960;98,510040;26,759904;0,605212;75350
18;30998,877163;93,798774;27,235641;0,622452;74896
19;26315,921746;86,591729;27,946914;0,658970;74475
20;27447,569596;88,497736;27,764061;0,647618;74200
21;23611,850219;81,411277;28,417800;0,667797;74028
22;24033,997887;82,031996;28,340840;0,668149;73838
23;23121,886546;80,532262;28,508868;0,663891;73616
24;25903,564538;84,149411;28,015505;0,651100;73375
25;22235,371141;79,723314;28,678657;0,651652;73231
26;22696,262878;79,869498;28,589557;0,641559;73129
27;30910,898635;92,050060;27,247984;0,610209;73102
28;36121,761602;98,959016;26,571411;0,566432;73029
29;38191,440044;100,279018;26,329440;0,584829;72920
30;41845,075334;106,680343;25,932657;0,556576;72889
31;44230,469146;109,493177;25,691885;0,552276;72843
32;51583,597600;123,145422;25,023984;0,495792;72843
33;49072,684324;117,736417;25,240703;0,541302;72831
34;51006,940078;124,099655;25,072808;0,510954;73062
35;47898,175418;119,099447;25,345911;0,552933;73185
36;48394,027642;119,332533;25,301183;0,548597;73295
37;49996,973349;124,488266;25,159663;0,525068;73544
38;44202,202987;116,811065;25,694661;0,555347;73798
39;43341,296819;115,060175;25,780081;0,548188;74200
40;40989,204176;112,072456;26,022406;0,551999;74431
41;39308,740812;110,974655;26,204209;0,538664;74826
42;40391,399899;113,694980;26,086211;0,548712;75054
43;31936,193477;102,181384;27,106269;0,556898;75420
44;38150,435102;111,543831;26,334105;0,517132;75665
45;35994,744533;108,594571;26,586709;0,527653;75959
46;32850,922141;102,230292;26,983625;0,546443;76125
47;39291,838053;114,248164;26,206077;0,501177;76272
48;44707,114640;122,203457;25,645334;0,524489;50384
Total;38793,774213;107,327314;26,373294;0,570430;3597620
