Slice;MSE;MAE;PSNR;SSIM;Weight
0;110,108347;4,378010;27,712601;0,910722;4984
1;167,875396;5,151480;25,880933;0,884761;92798
2;224,557960;6,005561;24,617519;0,863374;94048
3;217,404115;5,930949;24,758126;0,862882;94379
4;195,997434;5,511365;25,208300;0,869338;95073
5;192,555402;5,535448;25,285247;0,865799;95520
6;177,854198;5,131125;25,630162;0,878610;95794
7;190,832520;5,401841;25,324280;0,877051;95946
8;145,789915;4,660456;26,493529;0,884501;95961
9;119,568708;4,161167;27,354628;0,896592;96000
10;111,775614;4,083736;27,647333;0,895522;96040
11;99,663259;3,837111;28,145453;0,899863;96059
12;97,467266;3,879074;28,242216;0,899492;96108
13;120,793978;4,270525;27,310351;0,890613;96150
14;97,185412;3,844738;28,254793;0,900497;96186
15;126,320550;4,388080;27,116064;0,883796;96194
16;111,161281;4,189648;27,671268;0,887886;96236
17;125,494327;4,363529;27,144563;0,888808;96240
18;101,742007;4,025656;28,055801;0,893857;96274
19;113,940925;4,233601;27,564006;0,885733;96284
20;116,510343;4,298605;27,467159;0,887312;96251
21;82,677997;3,682600;28,956904;0,897741;96235
22;80,910763;3,706985;29,050741;0,898514;96227
23;100,969211;4,185723;28,088914;0,885194;96267
24;94,538336;4,102386;28,374724;0,885982;96332
25;76,439661;3,662365;29,297616;0,901026;96388
26;122,087381;4,532691;27,264096;0,884103;96463
27;97,302424;4,257743;28,249567;0,883248;96573
28;86,931319;4,032986;28,739041;0,888249;96708
29;100,704853;4,286034;28,100300;0,882676;96901
30;88,051049;3,909693;28,683458;0,894726;97102
31;80,741609;3,695735;29,059830;0,905191;97310
32;86,308596;3,776398;28,770263;0,901732;97584
33;69,732785;3,473265;29,696434;0,913851;97850
34;71,142159;3,391064;29,609533;0,911524;98214
35;75,761088;3,568426;29,336342;0,903185;98618
36;71,202174;3,445244;29,605871;0,910222;99058
37;60,192666;3,114764;30,335368;0,920693;99421
38;50,509134;3,075074;31,097104;0,922455;99795
39;52,368611;3,063268;30,940093;0,924673;100225
40;41,414068;2,831711;31,959325;0,933829;100684
41;47,910788;2,974412;31,326470;0,923922;101141
42;51,405076;2,995171;31,020744;0,923796;101687
43;39,567478;2,727600;32,157420;0,932795;102122
44;37,126932;2,668008;32,433913;0,937230;102653
45;37,428782;2,602523;32,398747;0,938278;103050
46;43,897194;2,861303;31,706436;0,930753;103146
Total;101,274564;3,972471;28,492417;0,898779;4486279
