Slice;MSE;MAE;PSNR;SSIM;Weight
0;263,973330;7,974961;23,915203;0,747146;12261
1;182,892600;5,655527;25,508842;0,820327;50959
2;114,667113;4,534058;27,536415;0,851425;88114
3;120,159389;4,578167;27,333227;0,843962;94599
4;116,385790;4,606493;27,471804;0,846331;94598
5;103,700418;4,362798;27,972999;0,851566;94565
6;117,061621;4,570342;27,446658;0,842081;94545
7;99,549857;4,268155;28,150397;0,852889;94490
8;110,061955;4,505595;27,714431;0,846381;94455
9;106,019384;4,363132;27,876951;0,845876;94354
10;95,715890;4,320980;28,320963;0,843453;94277
11;93,926339;4,218393;28,402930;0,853427;94188
12;96,386273;4,178602;28,290652;0,856901;94120
13;106,212052;4,320029;27,869066;0,851782;94057
14;100,372670;4,299932;28,114649;0,848163;94008
15;88,149814;3,988355;28,678590;0,856532;93943
16;103,736013;4,306164;27,971508;0,851589;93891
17;106,534648;4,323871;27,855895;0,854721;93815
18;105,322054;4,419833;27,905610;0,848383;93773
19;108,067838;4,325955;27,793839;0,855326;93694
20;108,019151;4,350793;27,795796;0,854632;93625
21;105,680561;4,341953;27,890853;0,858352;93542
22;101,820597;4,374979;28,052447;0,853541;93488
23;92,731985;4,135688;28,458508;0,859613;93420
24;79,558182;3,737146;29,123955;0,875129;93337
25;76,417948;3,754928;29,298850;0,879017;93234
26;82,456417;3,870926;28,968559;0,875131;93156
27;72,198629;3,592469;29,545514;0,885804;93058
28;69,554766;3,521145;29,707535;0,889728;92978
29;65,024280;3,534272;30,000048;0,886809;92876
30;62,850731;3,640522;30,147700;0,881106;92779
31;59,349219;3,430074;30,396654;0,889695;92684
32;53,627909;3,244845;30,836895;0,899966;92585
33;60,301275;3,380311;30,327539;0,895789;92477
34;57,126026;3,295779;30,562463;0,893256;92346
35;63,578325;3,319721;30,097713;0,895556;92218
36;58,035160;3,142866;30,493892;0,902480;92093
37;57,363227;3,135734;30,544468;0,905471;91959
38;55,553356;3,146205;30,683701;0,900549;91789
39;55,938211;3,055479;30,653718;0,905976;91602
40;54,475634;2,977488;30,768781;0,912686;91417
41;56,865189;3,066901;30,582339;0,906473;91209
42;61,210933;3,254260;30,262514;0,899201;91029
43;65,449784;3,280343;29,971721;0,897070;90828
44;61,913746;3,209661;30,212933;0,902869;90651
45;69,197815;3,435524;29,729880;0,894271;90514
46;70,764900;3,535475;29,632625;0,894489;90387
47;75,542734;3,453312;29,348877;0,897763;90291
48;79,412640;3,455971;29,131907;0,899402;90236
49;80,546357;3,519710;29,070345;0,897819;90181
50;76,945984;3,522499;29,268944;0,895656;90159
51;82,007571;3,535701;28,992264;0,896177;90207
52;83,567797;3,526507;28,910414;0,898901;90240
53;84,453140;3,639197;28,864646;0,896357;90343
54;102,894161;4,092591;28,006896;0,877278;90430
55;94,051682;3,886534;28,397138;0,886895;90573
56;108,032511;4,117774;27,795259;0,882362;90708
57;115,491100;4,286272;27,505318;0,878177;90896
58;124,853714;4,609808;27,166789;0,867613;91027
59;128,912737;4,766147;27,027845;0,868873;91207
60;134,415057;4,868467;26,846324;0,870702;91361
61;147,967197;5,128437;26,429149;0,860096;91516
62;151,013699;5,378666;26,340640;0,846396;91685
63;158,414763;5,384253;26,132847;0,854571;91838
64;153,109358;5,234530;26,280786;0,858793;92001
65;161,137454;5,499007;26,058839;0,849615;92147
66;153,670890;5,375037;26,264888;0,849226;92255
67;153,156902;5,280719;26,279438;0,855246;92427
68;159,287797;5,434481;26,108979;0,851396;92607
69;161,964089;5,466386;26,036616;0,852374;92758
70;167,158104;5,633257;25,899529;0,844029;92926
71;149,933134;5,245704;26,371827;0,856221;93112
72;158,125021;5,327762;26,140798;0,859168;93272
73;161,211109;5,392621;26,056854;0,852539;93459
74;159,143475;5,379845;26,112915;0,849825;93675
75;152,797539;5,227603;26,289640;0,858276;93865
76;164,726941;5,476388;25,963157;0,850916;94064
77;176,918509;5,680072;25,653071;0,849010;94293
78;180,075699;5,751823;25,576253;0,841217;94493
79;176,273452;5,686733;25,668935;0,843859;94737
80;184,583197;5,887666;25,468882;0,841395;94949
81;171,903805;5,602271;25,777949;0,847351;95213
82;183,863334;5,909836;25,485852;0,833914;95437
83;200,180718;6,152769;25,116581;0,836052;95674
84;199,397290;6,158559;25,133611;0,834281;95882
85;146,483706;5,229758;26,472910;0,851968;75732
86;94,979308;4,443642;28,354514;0,857037;33491
Total;111,278578;4,382955;27,938927;0,866226;7865354
