Slice;MSE;MAE;PSNR;SSIM;Weight
0;93,633097;4,193716;28,416510;0,879852;63619
1;95,902142;4,156524;28,312521;0,873321;74353
2;84,048009;3,971430;28,885529;0,881993;74695
3;83,029990;3,947363;28,938454;0,880539;74491
4;86,488446;4,077597;28,761223;0,877236;74475
5;90,205169;4,180078;28,578489;0,878377;74290
6;93,012965;4,347412;28,445369;0,869395;74200
7;99,901582;4,462547;28,135080;0,869158;74133
8;93,431864;4,245160;28,425853;0,875153;74278
9;86,536013;4,075805;28,758835;0,877332;74362
10;104,067730;4,572481;27,957643;0,857923;74413
11;84,204136;4,162132;28,877469;0,870618;74421
12;71,459590;3,918482;29,590198;0,881899;74536
13;64,652997;3,766116;30,024917;0,881613;74567
14;66,407519;3,827025;29,908631;0,881396;74664
15;81,795773;4,199807;29,003495;0,868886;74667
16;83,495601;4,093344;28,914168;0,866925;74788
17;83,265692;4,162960;28,926143;0,870841;74767
18;72,037840;4,021596;29,555197;0,871363;74736
19;73,284721;4,013416;29,480669;0,879120;74761
20;79,859945;4,110293;29,107514;0,874110;74728
21;78,509310;4,024197;29,181592;0,876284;74762
22;87,451471;4,387603;28,713132;0,860592;74842
23;81,063941;4,219789;29,042526;0,865464;75022
24;82,271274;4,239162;28,978321;0,863154;75175
25;77,213198;4,041780;29,253888;0,869291;75418
26;78,551586;4,064930;29,179254;0,864436;75651
27;79,522925;4,055611;29,125880;0,865134;75812
28;83,599863;4,023847;28,908748;0,863085;75899
29;82,215518;3,924172;28,981266;0,868425;76054
30;78,223973;3,911253;29,197405;0,874084;76228
31;77,269935;3,844705;29,250698;0,880005;76448
32;82,274666;3,902980;28,978142;0,880572;76613
33;79,903902;3,927299;29,105124;0,876400;76932
34;76,631507;3,872863;29,286730;0,878002;77106
35;80,026919;3,925928;29,098443;0,879351;77195
36;94,323262;4,219797;28,384615;0,869602;77185
37;72,634369;3,806459;29,519382;0,886984;77105
38;76,314750;3,940134;29,304719;0,881958;77039
39;93,575738;4,275420;28,419171;0,874177;77075
40;95,313579;4,382056;28,339256;0,876096;77164
41;89,592366;4,325144;28,608094;0,876999;77415
42;94,548347;4,356454;28,374264;0,881662;77606
43;83,585431;4,012379;28,909498;0,890100;77794
44;82,160808;4,130574;28,984157;0,879657;77925
45;79,495547;4,088719;29,127376;0,887716;77593
46;67,841884;3,858847;29,815825;0,895729;77108
47;100,966750;4,716912;28,089020;0,866636;76001
Total;83,411267;4,103085;28,940842;0,874972;3620111
