Slice;MSE;MAE;PSNR;SSIM;Weight
0;6570,990226;67,927083;33,972792;0,482543;486
1;17682,331537;82,136797;29,673705;0,275666;3155
2;20192,908016;85,849935;29,097112;0,283287;8458
3;13462,442765;71,540920;30,857862;0,513529;16013
4;13087,640032;74,210000;30,980487;0,500421;25869
5;32082,052780;96,257638;27,086479;0,523269;37249
6;22631,392590;85,588257;28,601988;0,530902;49390
7;41888,771895;99,966136;25,928124;0,599977;59946
8;44176,860175;102,302930;25,697151;0,611842;68600
9;29344,526502;84,406451;27,473829;0,634025;75730
10;30426,102359;84,210501;27,316637;0,645241;79446
11;32467,108381;85,677724;27,034664;0,647069;83686
12;27729,550220;78,873175;27,719672;0,678251;88421
13;35654,623608;88,978735;26,627942;0,663315;90759
14;32848,334117;83,374470;26,983967;0,690015;91082
15;38374,209783;89,131902;26,308706;0,687248;91113
16;34805,715893;85,194741;26,732594;0,693934;91008
17;34564,128442;86,824977;26,762845;0,688980;90905
18;35154,514029;85,857580;26,689289;0,683586;90742
19;39229,264740;89,907257;26,212999;0,690613;90621
20;40223,183062;90,901553;26,104336;0,693644;90445
21;51817,112282;102,941135;25,004368;0,672238;90308
22;46168,606538;98,025069;25,505633;0,672184;90151
23;52234,277538;105,344135;24,969545;0,649322;90020
24;50443,482443;103,744186;25,121050;0,654997;89737
25;43256,068195;97,118311;25,788630;0,639976;89273
26;50797,670346;106,072044;25,090662;0,623170;89057
27;47264,914368;99,356331;25,403712;0,652587;88822
28;51004,114355;103,989111;25,073048;0,637246;88531
29;43110,941355;97,254744;25,803225;0,617522;88430
30;56667,300699;112,219239;24,615775;0,610409;88374
31;45565,548770;100,673982;25,562734;0,607978;88354
32;43843,830274;98,877145;25,730015;0,621590;88307
33;50583,465508;103,653393;25,109015;0,620474;88368
34;52363,210950;105,848776;24,958838;0,625210;88405
35;48708,469496;102,937306;25,273056;0,613413;88350
36;56676,657352;114,193358;24,615059;0,594529;88318
37;48936,932406;106,692602;25,252733;0,606626;88322
38;52071,023860;111,533087;24,983139;0,604540;88389
39;38927,487802;96,602235;26,246537;0,617731;88497
40;44030,049639;101,159991;25,711609;0,614707;88599
41;46021,780067;105,524826;25,519467;0,593604;88536
42;50560,259106;110,331799;25,111008;0,597487;88427
43;43603,154511;99,940117;25,753922;0,608612;88356
44;42392,698344;99,191143;25,876190;0,618630;88243
45;44601,373552;102,359440;25,655618;0,615023;88151
46;42436,390925;99,620913;25,871716;0,609063;88109
47;45832,604334;103,618738;25,537355;0,601729;88097
48;37591,128616;95,349233;26,398247;0,608253;88053
49;37561,088273;95,276272;26,401719;0,607965;88022
50;36115,682241;92,483835;26,572142;0,618933;88029
51;42353,477580;101,323783;25,880210;0,601688;88025
52;41163,603121;100,087736;26,003966;0,610104;88037
53;41880,944805;102,311540;25,928936;0,604043;88069
54;45425,067030;104,040715;25,576145;0,605887;88125
55;46736,084606;104,588010;25,452577;0,612323;88126
56;42487,866056;100,914595;25,866451;0,598658;88156
57;51775,120664;109,795187;25,007889;0,600143;88212
58;54091,769731;114,443669;24,817789;0,571548;88210
59;49881,525290;110,910636;25,169703;0,566584;88235
60;43830,063698;102,516355;25,731379;0,587603;88197
61;48148,049488;109,514619;25,323314;0,561736;88102
62;56409,515494;118,583889;24,635577;0,546943;88003
63;58375,428981;119,191913;24,486799;0,558678;87941
64;46203,199399;107,591839;25,502380;0,578501;87909
65;43476,924940;105,207038;25,766512;0,572084;87863
66;45806,698249;108,068952;25,539810;0,555827;87771
67;46665,716039;107,903692;25,459121;0,566586;87667
68;52731,237997;115,856448;24,928421;0,541550;87627
69;53761,929494;117,970091;24,844352;0,536836;87567
70;46469,363031;106,718644;25,477433;0,564074;87640
71;46637,243567;106,957176;25,461772;0,567371;87754
72;42303,985445;101,533602;25,885288;0,584312;87940
73;45069,065817;104,819324;25,610315;0,569688;88169
74;51956,510519;113,116568;24,992701;0,561888;88412
75;39648,074343;98,377625;26,166880;0,570200;88670
76;41544,889909;99,464849;25,963925;0,575924;88917
77;41330,710194;101,023648;25,986372;0,565469;89139
78;46785,309747;106,765399;25,448006;0,545614;89373
79;37227,658904;96,878028;26,440443;0,554702;89570
80;52923,733904;115,851995;24,912596;0,509258;89727
81;46952,870423;107,817330;25,432479;0,527284;89823
82;41309,265009;101,514834;25,988626;0,520214;89963
83;44981,233738;105,096531;25,618787;0,524217;90178
84;43311,208247;101,087531;25,783098;0,549350;90311
85;45421,032204;104,587469;25,576531;0,526065;90238
86;45569,111502;107,473124;25,562395;0,501650;90285
87;45801,059369;108,515083;25,540345;0,500931;90401
88;49378,842387;112,481168;25,213692;0,485951;90538
89;54732,789848;119,622546;24,766625;0,478440;90782
90;44342,838085;106,440775;25,680866;0,493202;91153
91;43715,088977;104,532049;25,742787;0,514944;93732
92;54146,781757;119,479740;24,813374;0,481327;94743
93;50069,707989;114,044895;25,153350;0,503892;92928
94;49622,619336;110,966899;25,192304;0,517984;88850
95;53281,178049;116,714122;24,883362;0,504769;83039
96;42012,727663;103,841399;25,915291;0,522520;75425
97;41004,196379;96,995751;26,020817;0,561186;66606
98;40656,288940;98,802061;26,057823;0,533431;53769
99;23875,990727;79,739854;28,369486;0,542083;41841
100;30744,895698;91,301345;27,271370;0,526183;32895
101;34303,823894;97,294447;26,795675;0,489998;24349
Total;44469,347680;102,417886;26,019854;0,578476;8280761
