Slice;MSE;MAE;PSNR;SSIM;Weight
0;180070,703013;281,283088;19,594670;0,199265;1394
1;52720,440962;104,276592;24,929310;0,651337;45428
2;49154,290158;105,407399;25,233486;0,605438;88979
3;53460,138871;109,638966;24,868800;0,615153;89551
4;52522,408184;106,713778;24,945654;0,619818;90126
5;47886,103610;100,779719;25,347005;0,641232;90648
6;55284,532450;109,748140;24,723064;0,619889;91126
7;48307,525489;101,570399;25,308953;0,654383;91471
8;50611,606847;104,406779;25,106599;0,641040;91364
9;52799,760785;106,461266;24,922781;0,645621;91767
10;57131,283253;112,228367;24,580360;0,633221;92172
11;50902,379112;103,404628;25,081720;0,661769;92532
12;50987,038200;102,415123;25,074502;0,658657;92905
13;54065,777778;105,066098;24,819876;0,644924;93240
14;51940,645211;101,855136;24,994027;0,650370;93557
15;50938,706946;98,885904;25,078621;0,667356;93877
16;46009,533253;92,840162;25,520622;0,677035;94158
17;49368,068868;97,446374;25,214639;0,664696;94441
18;51219,494416;98,597842;25,054747;0,655054;94734
19;44388,050279;91,933901;25,676440;0,668595;95069
20;43847,639296;90,507850;25,729638;0,679079;95347
21;41304,375792;89,815512;25,989140;0,664699;95670
22;42531,387427;90,946389;25,862005;0,654339;95969
23;38173,840784;85,206155;26,331442;0,684855;96272
24;38570,758555;87,573840;26,286519;0,667817;96581
25;41058,876894;91,854728;26,015030;0,644949;96860
26;38473,226020;87,556243;26,297514;0,666018;97186
27;35113,113687;82,570447;26,694407;0,680820;97478
28;36515,077370;83,124533;26,524378;0,698494;97777
29;37581,211488;85,537359;26,399393;0,699644;98048
30;39199,576232;86,947761;26,216287;0,695423;98318
31;41590,933896;88,797054;25,959114;0,680254;98632
32;44747,527790;92,648359;25,641410;0,672936;98922
33;48557,875256;97,886583;25,286504;0,663243;99227
34;41939,416294;90,472570;25,922877;0,689972;99509
35;37088,724504;84,536836;26,456681;0,701273;99820
36;36605,163081;83,933659;26,513677;0,685482;100165
37;37294,522408;85,523443;26,432650;0,683633;100477
38;36944,309145;84,642511;26,473625;0,685803;100820
39;38034,685060;85,766370;26,347302;0,692663;101194
40;39643,879079;87,418428;26,167339;0,683917;101554
41;43461,983615;91,909705;25,768005;0,676914;101921
42;39895,727580;84,539226;26,139836;0,706661;102254
43;38421,160219;83,334535;26,303395;0,696717;102653
44;37410,180717;82,141042;26,419202;0,715457;103012
45;36234,738903;82,122509;26,557849;0,703842;103364
46;34641,527578;78,339190;26,753130;0,720854;103725
47;28370,476864;69,899087;27,620435;0,739671;104080
48;29006,378099;72,837513;27,524166;0,728660;104470
49;28751,860848;72,231362;27,562441;0,729197;104864
50;28093,860182;69,192311;27,662986;0,744919;105280
51;28112,584163;70,489160;27,660093;0,741403;105724
52;30048,478511;72,748503;27,370875;0,738055;106196
53;32424,078456;75,354962;27,040424;0,735359;106658
54;35219,268072;78,220610;26,681297;0,725011;107180
55;33286,802960;76,077289;26,926379;0,730303;107699
56;32875,013601;76,059566;26,980441;0,726141;108224
57;35502,194206;80,050101;26,646548;0,699259;108761
58;39126,241550;83,822071;26,224419;0,687250;109319
59;40965,289978;84,526076;26,024940;0,686446;109853
60;43447,709028;89,590884;25,769432;0,659413;110416
61;40701,281134;87,097819;26,053020;0,665633;111011
62;40349,763064;84,639871;26,090690;0,680788;111524
63;41278,465967;87,439443;25,991865;0,655838;111935
64;41197,401427;88,554076;26,000402;0,649547;112277
65;45741,604726;95,351277;25,545987;0,621023;112575
66;47879,448114;98,182393;25,347609;0,606855;112806
67;50917,160669;101,589937;25,080459;0,615779;112990
68;56317,805294;107,862504;24,642643;0,607379;113145
69;56985,188873;109,638879;24,591480;0,610976;113203
70;61015,387942;112,023618;24,294706;0,603671;113218
71;55919,059539;107,310673;24,673502;0,623024;113119
72;59681,452177;110,096602;24,390707;0,617983;113000
73;57851,077708;108,723201;24,525986;0,611229;112858
74;65459,847627;116,210653;23,989351;0,599935;112697
75;61451,191257;110,659629;24,263797;0,629918;112545
76;62369,420627;112,328055;24,199383;0,611700;112356
77;64103,495431;114,943873;24,080284;0,596865;112175
78;58841,606516;108,433733;24,452255;0,607859;111979
79;56420,913300;105,080814;24,634699;0,628618;111788
80;57319,281904;106,690834;24,566093;0,618884;111584
81;58541,237368;108,688324;24,474482;0,606607;111401
82;51885,512493;100,468054;24,998639;0,611877;111186
83;54087,113674;103,833850;24,818162;0,603860;110984
84;51885,729065;103,233169;24,998621;0,597556;110735
85;33888,939335;83,053487;26,848521;0,648790;100156
Total;45151,010816;93,419128;25,637354;0,657836;8683265
