Slice;MSE;MAE;PSNR;SSIM;Weight
0;96781,875519;254,697225;22,291160;0,384581;1687
1;35550,470982;107,746034;26,640647;0,662739;26914
2;40532,785730;103,401938;26,071036;0,642069;55164
3;39700,868783;95,792638;26,161101;0,682898;78252
4;42357,408491;94,497908;25,879806;0,703520;78626
5;39797,369813;92,508945;26,150557;0,701013;78364
6;39645,720518;93,858774;26,167137;0,693133;78123
7;35811,076394;89,028230;26,608927;0,703237;78003
8;35096,489243;87,819089;26,696464;0,710043;77900
9;33981,040434;87,593579;26,836734;0,702130;77806
10;36330,672153;89,486248;26,546366;0,699646;77768
11;34953,693952;88,059035;26,714170;0,711320;77759
12;34765,276837;88,032686;26,737644;0,704736;77739
13;36515,385284;91,817647;26,524341;0,691859;77805
14;36879,568968;93,007926;26,481242;0,687857;77841
15;35574,648732;90,283486;26,637694;0,693802;77912
16;32235,607775;83,911720;27,065742;0,710880;78047
17;34355,795882;86,001535;26,789100;0,700410;78190
18;31335,572968;80,881864;27,188724;0,709844;78308
19;33733,457973;83,425274;26,868492;0,708451;78306
20;30842,311619;78,773324;27,257631;0,717301;78352
21;33595,862484;81,757255;26,886243;0,713284;78362
22;33820,275612;83,849340;26,857329;0,709791;78342
23;32652,570056;80,893932;27,009927;0,711912;78266
24;32216,328759;79,620931;27,068340;0,711107;78185
25;34005,407517;80,248856;26,833621;0,713007;78220
26;35384,401845;85,552799;26,660982;0,693622;78259
27;35459,002272;86,280589;26,651835;0,693252;78362
28;32339,907228;82,157707;27,051712;0,705170;78386
29;29651,867934;78,454347;27,428580;0,710683;78264
30;24623,479272;73,416268;28,235606;0,714987;78106
31;26970,673023;76,536443;27,840182;0,689548;78027
32;20261,848738;67,474852;29,082310;0,700328;77878
33;23475,171349;72,881291;28,443013;0,680746;77736
34;20753,237245;70,581835;28,978242;0,675590;77540
35;20931,117109;71,565541;28,941176;0,681433;77364
36;21787,305274;72,078492;28,767065;0,685024;77193
37;23059,787383;75,630676;28,520547;0,664768;76946
38;21364,089690;74,247546;28,852256;0,662050;76798
39;20761,930351;74,529240;28,976424;0,649796;76641
40;20272,966925;75,721696;29,079927;0,634563;76614
41;22608,863662;78,954700;28,606313;0,638919;76567
42;20663,523168;76,488109;28,997057;0,651526;76572
43;23420,868359;78,859314;28,453071;0,654531;76678
44;27234,483984;85,014264;27,797909;0,635540;76767
45;30141,355138;89,684576;27,357472;0,617692;76925
46;27658,393752;85,699332;27,730831;0,632703;76957
47;31916,582121;92,165605;27,108936;0,604974;76314
48;29260,205441;88,323741;27,486327;0,605073;73111
49;19879,768816;72,340896;29,164987;0,635142;50038
50;48629,115577;116,894273;25,280137;0,426758;25178
Total;30670,718601;83,557909;27,263982;0,671078;3729462
